seed,shot,contrast,contrast_group,metric,pixel_stride,n_categories,macro_delta,n_positive_categories,n_negative_categories,categories_positive,categories_negative,exceeds_effect_scale
0,2,A1_L - A1_J,matching,pixel_ap,1,6,0.0059782072157596325,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,True
0,2,A1_L - A1_J,matching,pixel_ap,8,6,0.0055155981985558974,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,True
0,2,DUP_J - A1_J,weight,pixel_ap,1,6,-0.01054941815272361,2,4,bracket_black;bracket_brown,bracket_white;connector;metal_plate;tubes,True
0,2,DUP_J - A1_J,weight,pixel_ap,8,6,-0.008451889696791849,2,4,bracket_black;bracket_brown,bracket_white;connector;metal_plate;tubes,True
0,2,DUP_L - DUP_J,matching,pixel_ap,1,6,0.0022259531018639714,5,1,bracket_black;bracket_brown;bracket_white;connector;tubes,metal_plate,False
0,2,DUP_L - DUP_J,matching,pixel_ap,8,6,0.0010665874223779778,3,3,bracket_brown;connector;tubes,bracket_black;bracket_white;metal_plate,False
0,2,TRI_J - DUP_J,representation,pixel_ap,1,6,-0.0030374543491524155,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,2,TRI_J - DUP_J,representation,pixel_ap,8,6,-0.0010491935667302499,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,2,TRI_L - DUP_L,representation,pixel_ap,1,6,0.005032143665014505,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,True
0,2,TRI_L - DUP_L,representation,pixel_ap,8,6,0.004421543990069793,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,2,BAL_J - A1_J,representation,pixel_ap,1,6,-0.008437993156889397,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,True
0,2,BAL_J - A1_J,representation,pixel_ap,8,6,-0.0073210255884648585,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,True
0,2,BAL_L - A1_L,representation,pixel_ap,1,6,-0.0026020473491380706,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,2,BAL_L - A1_L,representation,pixel_ap,8,6,-0.002541897685436325,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,2,TRI_L - TRI_J,matching,pixel_ap,1,6,0.010295551116030892,5,1,bracket_black;bracket_brown;bracket_white;connector;tubes,metal_plate,True
