seed,shot,category,method,pixel_stride,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap
0,2,bracket_black,A1_J,1,79,0.9469347284150286,0.012453255110288703,0.4607712765957447,0.561718394831281
0,2,bracket_black,A1_J,8,79,0.9498238120973826,0.014647863408783117,0.4607712765957447,0.561718394831281
0,2,bracket_black,A1_L,1,79,0.9457564838624659,0.012372890647871315,0.45279255319148937,0.5603113531911076
0,2,bracket_black,A1_L,8,79,0.9487041295391396,0.014433728233691491,0.45279255319148937,0.5603113531911076
0,2,bracket_black,DUP_J,1,79,0.9470645770011287,0.017595897462021646,0.4753989361702127,0.5824820692923546
0,2,bracket_black,DUP_J,8,79,0.9502956112022274,0.020066580275830036,0.4753989361702127,0.5824820692923546
0,2,bracket_black,DUP_L,1,79,0.9461104661315598,0.017932955714594693,0.4621010638297873,0.5785204463679563
0,2,bracket_black,DUP_L,8,79,0.9493912107520761,0.02002968650924617,0.4621010638297873,0.5785204463679563
0,2,bracket_black,TRI_J,1,79,0.942205406175064,0.015778689664409817,0.47938829787234044,0.5764820482888724
0,2,bracket_black,TRI_J,8,79,0.9458112703761294,0.018055578185973004,0.47938829787234044,0.5764820482888724
0,2,bracket_black,TRI_L,1,79,0.9431635174343037,0.01652285494373687,0.4753989361702127,0.5793580740287998
0,2,bracket_black,TRI_L,8,79,0.9466914968940232,0.018444164487841246,0.4753989361702127,0.5793580740287998
0,2,bracket_black,BAL_J,1,79,0.9425740350676807,0.011150210646731098,0.47207446808510634,0.561077603905514
0,2,bracket_black,BAL_J,8,79,0.9457638986359859,0.013042686377683695,0.47207446808510634,0.561077603905514
0,2,bracket_black,BAL_L,1,79,0.9427412560672893,0.010987005379026403,0.4541223404255319,0.5580177388137727
0,2,bracket_black,BAL_L,8,79,0.9458136215626587,0.012632746575607878,0.4541223404255319,0.5580177388137727
0,2,bracket_brown,A1_J,1,77,0.9038258110231175,0.03422953940374186,0.5708898944193062,0.7598400574200707
0,2,bracket_brown,A1_J,8,77,0.9039260470367484,0.03336958319325251,0.5708898944193062,0.7598400574200707
0,2,bracket_brown,A1_L,1,77,0.9121038884775873,0.037715726109474546,0.552790346907994,0.7371496498349854
0,2,bracket_brown,A1_L,8,77,0.9123518896184327,0.039099086876613114,0.552790346907994,0.7371496498349854
0,2,bracket_brown,DUP_J,1,77,0.8947033598705221,0.03604926185574423,0.5150829562594268,0.7149788611545356
0,2,bracket_brown,DUP_J,8,77,0.8951119726215567,0.035321624039088506,0.5150829562594268,0.7149788611545356
0,2,bracket_brown,DUP_L,1,77,0.900615866818985,0.03876918937700532,0.5113122171945701,0.7016401944694092
0,2,bracket_brown,DUP_L,8,77,0.9011379357360016,0.038977918629171326,0.5113122171945701,0.7016401944694092
0,2,bracket_brown,TRI_J,1,77,0.9153051517628831,0.03810516683972021,0.5407239819004525,0.7379669213664904
0,2,bracket_brown,TRI_J,8,77,0.9152140793935396,0.03730236593058413,0.5407239819004525,0.7379669213664904
0,2,bracket_brown,TRI_L,1,77,0.9231728931720597,0.04184524568805028,0.5444947209653092,0.747203874411268
0,2,bracket_brown,TRI_L,8,77,0.9233213473580139,0.04145489763783314,0.5444947209653092,0.747203874411268
0,2,bracket_brown,BAL_J,1,77,0.9191500902234611,0.03601377536060646,0.5761689291101055,0.7542956958361293
0,2,bracket_brown,BAL_J,8,77,0.9188949912164149,0.03529768097625929,0.5761689291101055,0.7542956958361293
0,2,bracket_brown,BAL_L,1,77,0.9279390919978571,0.03948560664334335,0.5716440422322775,0.7586885658644605
0,2,bracket_brown,BAL_L,8,77,0.9279971070673244,0.04017309650456524,0.5716440422322775,0.7586885658644605
0,2,bracket_white,A1_J,1,60,0.9948926069710806,0.1460069608541584,0.8266666666666667,0.8071000882339985
0,2,bracket_white,A1_J,8,60,0.9959438899418237,0.10598851655794717,0.8266666666666667,0.8071000882339985
0,2,bracket_white,A1_L,1,60,0.9946273565454089,0.15378241932126793,0.8077777777777778,0.7861102519232801
0,2,bracket_white,A1_L,8,60,0.9956621503861216,0.10841576102443233,0.8077777777777778,0.7861102519232801
0,2,bracket_white,DUP_J,1,60,0.9942051824074666,0.13424251798707243,0.7966666666666666,0.7518960630688917
0,2,bracket_white,DUP_J,8,60,0.9952586409917331,0.10061822938074788,0.7966666666666666,0.7518960630688917
