seed,shot,method,n_images_with_defect_mask,defect_pixels_A_study,defect_pixels_B_faithful,mask_pixels_differ,pixel_ap_A_study,pixel_ap_B_faithful,delta_B_minus_A,pixel_auroc_A_study,pixel_auroc_B_faithful,stored_pixel_ap,A_matches_stored
0,1,B,41,240091,243835,36608,0.6465064614011895,0.6420203984211017,-0.004486062980087802,0.9915222008908705,0.9903313669963212,0.64650646140119,True
0,1,S,41,240091,243835,36608,0.6663220174741987,0.6628942075099019,-0.003427809964296813,0.9949804195578275,0.9945831454318331,0.6663220174741987,True
0,1,C,41,240091,243835,36608,0.12326373107172904,0.12037693668261662,-0.002886794389112421,0.9661562046377193,0.9631451833354544,0.12326373107172899,True
0,1,A1_J,41,240091,243835,36608,0.6733424634002663,0.6654101967538183,-0.007932266646447972,0.9936741450016137,0.9925930324326431,0.6733424634002667,True
0,1,TRI_J,41,240091,243835,36608,0.7040607008684127,0.6974664469707972,-0.006594253897615476,0.9949267260264271,0.9940757653093217,0.7040607008684127,True
0,1,BAL_J,41,240091,243835,36608,0.6968828356898532,0.6886324936104699,-0.008250342079383355,0.9949779755954621,0.9940978608106581,0.6968828356898532,True
0,1,DUP_J,41,240091,243835,36608,0.6696079410988871,0.6631838461164831,-0.006424094982404038,0.9929293639978671,0.9917716748592392,0.6696079410988871,True
0,1,DUP_BAL_J,41,240091,243835,36608,0.6733424634002663,0.6654101967538183,-0.007932266646447972,0.9936741450016137,0.9925930324326431,0.6733424634002667,True
0,1,DUP_EXPECTED_J,41,240091,243835,36608,0.6696079410988871,0.6631838461164831,-0.006424094982404038,0.9929293639978671,0.9917716748592392,0.6696079410988871,True
0,1,A1_L,41,240091,243835,36608,0.6841799622767648,0.6756058174545576,-0.008574144822207197,0.9945398777905761,0.9937223428208362,0.6841799622767648,True
0,1,DUP_L,41,240091,243835,36608,0.6770362797869973,0.6702529466723004,-0.006783333114696921,0.9936934358503343,0.992752086802992,0.6770362797869973,True
0,1,TRI_L,41,240091,243835,36608,0.7098432326515459,0.7030623145598104,-0.006780918091735533,0.9955755432610045,0.9949868254132973,0.7098432326515458,True
0,1,BAL_L,41,240091,243835,36608,0.7017432263399249,0.6928434049437248,-0.008899821396200158,0.9956508790956395,0.9950800235236127,0.7017432263399249,True
0,2,B,41,240091,243835,36608,0.7357182004362929,0.7316054977130939,-0.004112702723198969,0.9965319085148774,0.9958150633007522,0.735718200436293,True
0,2,S,41,240091,243835,36608,0.7127451857583067,0.7101931980963485,-0.0025519876619581883,0.99736230176892,0.9972239445442064,0.7127451857583067,True
0,2,C,41,240091,243835,36608,0.23447079368884127,0.22830262717371214,-0.0061681665151291365,0.9854296311682204,0.9844654930738139,0.23447079368884138,True
0,2,A1_J,41,240091,243835,36608,0.7477175160763246,0.7401936037486545,-0.007523912327670135,0.9974604811194112,0.9968771407630563,0.7477175160763245,True
0,2,TRI_J,41,240091,243835,36608,0.7618860552110457,0.7563230146523963,-0.005563040558649424,0.9977847867348749,0.9973648420875423,0.7618860552110458,True
