perturbation,config,dataset,seed,shot,n_category_units,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,ci_family_level,ci_family_low,ci_family_high,ci_family_excludes_zero,n_replicates,interval_defined,direction
input_geometry (common_region - native_frame),controlled_A1_J,mpdd,0,1,6,0.033901370665787356,0.03148486930880009,0.01199728062368142,0.054316401845686126,True,0.9916666666666667,0.0037420119152663123,0.06310452868174951,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,mpdd,0,4,6,0.045820025213578586,0.044472863899089436,0.020793812412289205,0.06882600834013691,True,0.9916666666666667,0.013217692634755644,0.07768553630755559,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,mpdd,1,1,6,0.02434308752649328,0.026280306434709248,0.006737552365094099,0.041940734525668336,True,0.9916666666666667,-0.007511379060709183,0.046282426485300926,False,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,mpdd,1,4,6,0.04040016825095494,0.039483998253767465,0.015740302219458817,0.06471127689997352,True,0.9916666666666667,0.006530848473182438,0.0737325660674284,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,btad,0,1,3,0.05152708876599443,0.05009384508584361,0.03441322605803552,0.06586117782260328,True,0.9916666666666667,0.030560458853298212,0.06909946833654339,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,btad,0,4,3,0.04886038734670339,0.04765229083876366,0.034532120675023883,0.061813807337938995,True,0.9916666666666667,0.03092023833557077,0.06712565944566133,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,btad,1,1,3,0.051730813000517184,0.04981287159381427,0.03625328157834033,0.06281469649079306,True,0.9916666666666667,0.0321844742411836,0.0674818510506925,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_J,btad,1,4,3,0.049399463323461346,0.04770440284482822,0.03690421163916234,0.0584442414885829,True,0.9916666666666667,0.03174935721191019,0.06119418922189885,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,mpdd,0,1,6,0.03244742403311496,0.028343823257871693,0.007126613956109593,0.051809382138386886,True,0.9916666666666667,0.0016462499066455009,0.061559780346565375,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,mpdd,0,4,6,0.04050712267215412,0.038966520805391994,0.016184788813374505,0.0644917827574188,True,0.9916666666666667,0.009040504092271919,0.07262087427397076,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,mpdd,1,1,6,0.02660058951108929,0.029511407422369584,0.007301143862383074,0.04765566077976661,True,0.9916666666666667,-0.0046752508221806054,0.0533883245386113,False,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,mpdd,1,4,6,0.03497798228550819,0.031667816601745814,0.004098145316531816,0.058483521037605825,True,0.9916666666666667,-0.0036728719131833196,0.067779326868813,False,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,btad,0,1,3,0.04976896024560995,0.048529450645984594,0.03334508908997586,0.06371028750563444,True,0.9916666666666667,0.02945620584420333,0.06814853792220839,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,btad,0,4,3,0.04773648189104929,0.04624789574598159,0.03437784389440246,0.058543216831326204,True,0.9916666666666667,0.030008374071587227,0.06466910985055517,True,1000,True,positive
