perturbation,config,dataset,seed,shot,n_category_units,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_excludes_zero,ci_family_level,ci_family_low,ci_family_high,ci_family_excludes_zero,n_replicates,interval_defined,direction
input_geometry (common_region - native_frame),controlled_A1_L,btad,1,1,3,0.0506012438886565,0.048864846559976444,0.03514794333060682,0.06252519675137967,True,0.9916666666666667,0.030690727224461405,0.0676338187648489,True,1000,True,positive
input_geometry (common_region - native_frame),controlled_A1_L,btad,1,4,3,0.04821909916128353,0.046486951906731994,0.03552672456589564,0.056843973867798506,True,0.9916666666666667,0.031068852114214795,0.06019323216116522,True,1000,True,positive
input_geometry (common_region - native_frame),PatchCore_native_local128,mpdd,0,1,6,0.0005503231467068881,-0.000575346052402312,-0.003184860943924516,0.001749546588507229,False,0.9916666666666667,-0.0037092394582170615,0.0023861210028671156,False,995,True,negative
input_geometry (common_region - native_frame),PatchCore_native_local128,mpdd,0,4,6,0.0005400006308960703,-4.336837787307877e-05,-0.0024554782350017287,0.0027240783502462404,False,0.9916666666666667,-0.003233540102270969,0.0036442996203132514,False,995,True,negative
input_geometry (common_region - native_frame),PatchCore_native_local128,mpdd,1,1,6,0.0007835551472994418,-0.0021515190689245503,-0.00998134615348402,0.001958534701119293,False,0.9916666666666667,-0.015752297450519225,0.003110582440209508,False,995,True,negative
input_geometry (common_region - native_frame),PatchCore_native_local128,mpdd,1,4,6,0.0008043329594645265,0.0016246006196930403,-0.001546765971726783,0.00530402499271814,False,0.9916666666666667,-0.002510093943996495,0.006975414114827447,False,995,True,positive
input_geometry (common_region - native_frame),PatchCore_native_local128,btad,0,1,3,0.0018080741020571889,0.0004241971202534123,-0.005056632599324658,0.006474584896355006,False,0.9916666666666667,-0.006971145003765855,0.009730914938684155,False,1000,True,positive
input_geometry (common_region - native_frame),PatchCore_native_local128,btad,0,4,3,0.0019787408932975814,-0.0037835640165737273,-0.01320662495140668,0.0056212952327568365,False,0.9916666666666667,-0.01603682223087299,0.008409292835322527,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_local128,btad,1,1,3,0.003984237886979547,0.0043220353194024855,-0.002370041088987271,0.011802263061219105,False,0.9916666666666667,-0.0042341666081053934,0.013844357047297173,False,1000,True,positive
input_geometry (common_region - native_frame),PatchCore_native_local128,btad,1,4,3,0.0019101279881137967,-0.0019680958265785786,-0.011793021228442016,0.007282976280285178,False,0.9916666666666667,-0.014599219191523275,0.010161166951067993,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,mpdd,0,1,6,2.7773024599081486e-05,-0.0012434626506784311,-0.0024517687031017504,-0.0002241674863180404,True,0.9916666666666667,-0.0028487769895899884,0.000243452501284778,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,mpdd,0,4,6,1.3836675659795183e-05,-0.003254183063989416,-0.0062498674325713105,-0.0006586770498871661,True,0.9916666666666667,-0.00736308794114442,-0.00022981612233197654,True,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,mpdd,1,1,6,0.00010189665071094756,-0.0016524336584603735,-0.003999062810622533,0.0003339475965520516,False,0.9916666666666667,-0.004778645671172183,0.0009955007729007253,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,mpdd,1,4,6,7.393564692115273e-05,-0.0019630051502085204,-0.0057573303634494205,0.0012584073389775847,False,0.9916666666666667,-0.0068434887489802285,0.0021686842099619408,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,btad,0,1,3,0.00010077847607342649,-0.0030546661044463974,-0.008367556844210611,0.0023601415952584134,False,0.9916666666666667,-0.011506513932876146,0.003572232385846331,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,btad,0,4,3,6.55066861721676e-05,-0.003901215997583415,-0.008934901046065341,0.0019245120839570405,False,0.9916666666666667,-0.011574789716071369,0.003933206225627221,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,btad,1,1,3,8.648989743625934e-05,-0.002111213462516319,-0.0063517837981087585,0.0021724970425926124,False,0.9916666666666667,-0.007318820834307101,0.003309404109301527,False,1000,True,negative
input_geometry (common_region - native_frame),PatchCore_native_official224,btad,1,4,3,0.00010961115692881274,-0.003852497476558906,-0.009240196265745298,0.0020124704091981985,False,0.9916666666666667,-0.01187942583011833,0.003869245170334467,False,1000,True,negative
input_geometry (common_region - native_frame),anomalydino_canvas,mpdd,0,1,6,0.0315949604651225,0.02515082914063932,-0.009595180775804103,0.051919381653794554,False,0.9916666666666667,-0.02529632537962105,0.059335287821623714,False,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,mpdd,0,4,6,0.031686969072766136,0.02445459277828436,-0.0054002436715266675,0.04669168571163538,False,0.9916666666666667,-0.019517972053814756,0.05353133250735088,False,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,mpdd,1,1,6,0.03732001107007743,0.03756545763815916,0.019609663717870072,0.05403093517998498,True,0.9916666666666667,0.01254815238260613,0.05982496200712614,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,mpdd,1,4,6,0.04074142747717274,0.03800891674378635,0.019010815218417416,0.05570187107409613,True,0.9916666666666667,0.011776677872833399,0.06205145446228583,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,btad,0,1,3,0.061643327809677906,0.06068182837883202,0.048170257852377454,0.07559096104925678,True,0.9916666666666667,0.04499898735401961,0.08077132543116665,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,btad,0,4,3,0.046807899483990334,0.04587003262493622,0.03401712863613746,0.058339650882114916,True,0.9916666666666667,0.03128903180673629,0.064428168839338,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,btad,1,1,3,0.06243428564969816,0.06186148417454993,0.04827285751376611,0.07642909452744294,True,0.9916666666666667,0.04530352558871663,0.08224146708934754,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas,btad,1,4,3,0.05479908931847832,0.05431861181895844,0.04177807969557043,0.06923090970066023,True,0.9916666666666667,0.038387754745811756,0.07444598011281867,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,mpdd,0,1,6,0.02795155535403987,0.02137137996484327,-0.016077091200015502,0.04912904032745382,False,0.9916666666666667,-0.03411731758264335,0.05862797126719604,False,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,mpdd,0,4,6,0.0321646514924504,0.030426815876085204,0.007638593127093034,0.04914009413167307,True,0.9916666666666667,-0.00486875657545629,0.0559224493084715,False,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,mpdd,1,1,6,0.03477241375078027,0.033238927669434794,0.014852953938530098,0.04984784340878524,True,0.9916666666666667,0.006514921035639712,0.05651374535347402,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,mpdd,1,4,6,0.03801664867977289,0.031880825953272754,-0.0054186195446255655,0.062453432203275386,False,0.9916666666666667,-0.019583811418855252,0.07015358841678017,False,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,btad,0,1,3,0.05143078737533702,0.050297261557368786,0.04013447687596303,0.061718515572360765,True,0.9916666666666667,0.036683737670086494,0.0663928033107473,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,btad,0,4,3,0.04282975560721225,0.04160508571658062,0.03130590926190917,0.05337813001734094,True,0.9916666666666667,0.027463263265800897,0.057172932943346584,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,btad,1,1,3,0.055122571037228396,0.05476953323345363,0.04224514427241528,0.07077639816821067,True,0.9916666666666667,0.03888939779892783,0.07530427694619059,True,1000,True,positive
input_geometry (common_region - native_frame),anomalydino_canvas_rotation,btad,1,4,3,0.04825333322478542,0.047429138216032576,0.03667306350127563,0.061326718624858896,True,0.9916666666666667,0.03309182794005671,0.06597341823632122,True,1000,True,positive
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,mpdd,0,1,6,,-0.012112603000796671,-0.022624246542832283,-0.0033545021356933703,True,0.975,-0.025309649142360398,-0.0019077393182676688,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,mpdd,0,4,6,,0.005167808114991222,-0.004001262503606735,0.026440940483935804,False,0.975,-0.005213829921004744,0.028976035815099704,False,1000,,positive
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,mpdd,1,1,6,,-0.013483688877491698,-0.019830210603787733,-0.006645433452896721,True,0.975,-0.020960526151852885,-0.005169297495972098,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,mpdd,1,4,6,,-0.022656788358756747,-0.050081907116475755,-0.006730824338327255,True,0.975,-0.05395212636177333,-0.005056516266363532,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,btad,0,1,3,,-0.04127517446670697,-0.055788611776696605,-0.02928857644876001,True,0.975,-0.05816992600075612,-0.02786744676540373,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,btad,0,4,3,,-0.03198500972627092,-0.0398175329114381,-0.024456394184117092,True,0.975,-0.04186688203812615,-0.0229450742168161,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,btad,1,1,3,,-0.026964624415415438,-0.03774427991628765,-0.017649631186470734,True,0.975,-0.03938247856051058,-0.01652733211904972,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, native frame)",anomalydino_canvas_pair,btad,1,4,3,,-0.01874590850333221,-0.02737262229952021,-0.01140961651914116,True,0.975,-0.02843102478544987,-0.010943259793105849,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,mpdd,0,1,6,,-0.008333153825000618,-0.015109485911595522,-0.0037383548027997353,True,0.975,-0.01646728645506512,-0.0033074589876505023,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,mpdd,0,4,6,,-0.0008044149828096242,-0.005223631217188011,0.004599369928884268,False,0.975,-0.006115562324875831,0.005918757863151577,False,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,mpdd,1,1,6,,-0.009157158908767338,-0.015748998782325642,-0.002582479519479642,True,0.975,-0.016416379592231925,-0.0015501837036796045,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,mpdd,1,4,6,,-0.016528697568243152,-0.031176079230242126,-0.005926071618008411,True,0.975,-0.033571968450349425,-0.0046774917870407474,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,btad,0,1,3,,-0.030890607645243734,-0.04296332481899991,-0.02130739169795105,True,0.975,-0.04599081231905621,-0.02031939034627315,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,btad,0,4,3,,-0.027720062817915312,-0.035269708603487895,-0.02017666803357384,True,0.975,-0.036457101599703716,-0.019224679806009275,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,btad,1,1,3,,-0.01987267347431913,-0.03090229669964982,-0.010802559202484865,True,0.975,-0.03222347207941219,-0.00964668391176078,True,1000,,negative
"reference_augmentation (canvas_rotation - canvas, common_region frame)",anomalydino_canvas_pair,btad,1,4,3,,-0.011856434900406353,-0.017748672492417305,-0.006787797820330681,True,0.975,-0.019289442935450454,-0.006223900994702508,True,1000,,negative
