method,frame,dataset,seed,shot,category,region_grid,n_pixels,pixel_ap,pixel_auroc,seconds,source,bootstrap_stride,pixel_ap_on_bootstrap_grid
controlled_A1_J,native,mpdd,0,1,bracket_black,32x32,80896,0.013920852011358118,0.9318510346002838,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,1,0.013920852011358118
controlled_A1_J,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.010274731966875145,0.9262981030034734,0.93,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,8,0.00962391530624207
controlled_A1_L,native,mpdd,0,1,bracket_black,32x32,80896,0.012030108572178675,0.9290801236674262,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,1,0.012030108572178675
controlled_A1_L,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.009271959091544393,0.9198735977741512,0.96,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,8,0.008835210927429425
PatchCore_native_local128,native,mpdd,0,1,bracket_black,128x128,1294336,0.002302575218672402,0.7733501768584613,0.1,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,8,0.002235389394631705
PatchCore_native_local128,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.0023397370272130336,0.7680796635167739,0.88,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,8,0.0022167246608295176
PatchCore_native_official224,native,mpdd,0,1,bracket_black,224x224,3963904,0.0033198993371835127,0.8434045825562608,0.3,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,8,0.0028376970628203016
PatchCore_native_official224,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.0033476125303712545,0.8434474064940353,0.88,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,8,0.003173673874472276
anomalydino_canvas,native,mpdd,0,1,bracket_black,32x32,80896,0.03964839488053545,0.9121237025108924,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_black.npz,1,0.03964839488053545
anomalydino_canvas,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.023429638568317722,0.9134700275578133,0.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_black.npz,8,0.023134409005232552
anomalydino_canvas_rotation,native,mpdd,0,1,bracket_black,32x32,80896,0.06042304543888409,0.9131867386592901,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_black.npz,1,0.06042304543888409
anomalydino_canvas_rotation,common_region,mpdd,0,1,bracket_black,392x392,12139456,0.044146481733702385,0.9152160061079493,0.89,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_black.npz,8,0.04405461432316119
controlled_A1_J,native,mpdd,0,1,bracket_brown,32x32,78848,0.03394317356705114,0.8896349462017366,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,1,0.03394317356705114
controlled_A1_J,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.040238613930084564,0.9008171333755981,0.9,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,8,0.03974591189135595
controlled_A1_L,native,mpdd,0,1,bracket_brown,32x32,78848,0.03941518448532522,0.9022428932696831,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,1,0.03941518448532522
controlled_A1_L,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.04478865200391644,0.9090960737940728,0.9,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,8,0.04388218160805032
PatchCore_native_local128,native,mpdd,0,1,bracket_brown,128x128,1261568,0.026021204124496287,0.8834666192190649,0.1,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,8,0.027694110163585008
PatchCore_native_local128,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.026025717957155373,0.8816308186265309,0.85,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,8,0.02573206832265166
PatchCore_native_official224,native,mpdd,0,1,bracket_brown,224x224,3863552,0.03943205536701891,0.9223441045000045,0.28,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,8,0.039641232285710315
PatchCore_native_official224,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.039337985594547244,0.9221965774060803,0.92,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,8,0.03870715294604734
anomalydino_canvas,native,mpdd,0,1,bracket_brown,32x32,78848,0.04340099245307276,0.911832165930827,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_brown.npz,1,0.04340099245307276
anomalydino_canvas,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.05100107479533445,0.9206683146656112,0.89,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_brown.npz,8,0.051290148845341194
anomalydino_canvas_rotation,native,mpdd,0,1,bracket_brown,32x32,78848,0.0454547818199867,0.9130731346056253,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_brown.npz,1,0.0454547818199867
anomalydino_canvas_rotation,common_region,mpdd,0,1,bracket_brown,392x392,11832128,0.05447569713366411,0.9223622032694321,0.89,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_brown.npz,8,0.05468764828492364
controlled_A1_J,native,mpdd,0,1,bracket_white,32x32,61440,0.12150176551836099,0.9949317357990927,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz,1,0.12150176551836099
controlled_A1_J,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.13557752365759645,0.9921503133982963,0.68,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz,8,0.12621081919409488
controlled_A1_L,native,mpdd,0,1,bracket_white,32x32,61440,0.13164702885516907,0.9958894966464804,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz,1,0.13164702885516907
controlled_A1_L,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.14121573417037464,0.9920238233684405,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white\patch_scores.npz,8,0.127892933358646
