dataset,seed,shot,perturbation,n_configs,n_configs_with_defined_interval,n_configs_point_positive,n_configs_interval_excludes_zero_95,all_configs_same_direction,configs_same_direction_as_dataset_mean,mean_of_config_bootstrap_deltas,config_deltas,undecided_configs,note
mpdd,0,1,input_geometry (common_region - native_frame),6,6,4,3,False,4,0.017422015494845604,"{""controlled_A1_J"": 0.03148486930880009, ""controlled_A1_L"": 0.028343823257871693, ""PatchCore_native_local128"": -0.000575346052402312, ""PatchCore_native_official224"": -0.0012434626506784311, ""anomalydino_canvas"": 0.02515082914063932, ""anomalydino_canvas_rotation"": 0.02137137996484327}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
mpdd,0,4,input_geometry (common_region - native_frame),6,6,4,4,False,4,0.022503873652831418,"{""controlled_A1_J"": 0.044472863899089436, ""controlled_A1_L"": 0.038966520805391994, ""PatchCore_native_local128"": -4.336837787307877e-05, ""PatchCore_native_official224"": -0.003254183063989416, ""anomalydino_canvas"": 0.02445459277828436, ""anomalydino_canvas_rotation"": 0.030426815876085204}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
mpdd,1,1,input_geometry (common_region - native_frame),6,6,4,4,False,4,0.02046535773954798,"{""controlled_A1_J"": 0.026280306434709248, ""controlled_A1_L"": 0.029511407422369584, ""PatchCore_native_local128"": -0.0021515190689245503, ""PatchCore_native_official224"": -0.0016524336584603735, ""anomalydino_canvas"": 0.03756545763815916, ""anomalydino_canvas_rotation"": 0.033238927669434794}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
mpdd,1,4,input_geometry (common_region - native_frame),6,6,5,3,False,5,0.023450525503676146,"{""controlled_A1_J"": 0.039483998253767465, ""controlled_A1_L"": 0.031667816601745814, ""PatchCore_native_local128"": 0.0016246006196930403, ""PatchCore_native_official224"": -0.0019630051502085204, ""anomalydino_canvas"": 0.03800891674378635, ""anomalydino_canvas_rotation"": 0.031880825953272754}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
btad,0,1,input_geometry (common_region - native_frame),6,6,5,4,False,5,0.034495319447306,"{""controlled_A1_J"": 0.05009384508584361, ""controlled_A1_L"": 0.048529450645984594, ""PatchCore_native_local128"": 0.0004241971202534123, ""PatchCore_native_official224"": -0.0030546661044463974, ""anomalydino_canvas"": 0.06068182837883202, ""anomalydino_canvas_rotation"": 0.050297261557368786}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
btad,0,4,input_geometry (common_region - native_frame),6,6,4,4,False,4,0.028948420818684154,"{""controlled_A1_J"": 0.04765229083876366, ""controlled_A1_L"": 0.04624789574598159, ""PatchCore_native_local128"": -0.0037835640165737273, ""PatchCore_native_official224"": -0.003901215997583415, ""anomalydino_canvas"": 0.04587003262493622, ""anomalydino_canvas_rotation"": 0.04160508571658062}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
btad,1,1,input_geometry (common_region - native_frame),6,6,5,4,False,5,0.03625325956978007,"{""controlled_A1_J"": 0.04981287159381427, ""controlled_A1_L"": 0.048864846559976444, ""PatchCore_native_local128"": 0.0043220353194024855, ""PatchCore_native_official224"": -0.002111213462516319, ""anomalydino_canvas"": 0.06186148417454993, ""anomalydino_canvas_rotation"": 0.05476953323345363}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
btad,1,4,input_geometry (common_region - native_frame),6,6,4,4,False,4,0.031686418580568955,"{""controlled_A1_J"": 0.04770440284482822, ""controlled_A1_L"": 0.046486951906731994, ""PatchCore_native_local128"": -0.0019680958265785786, ""PatchCore_native_official224"": -0.003852497476558906, ""anomalydino_canvas"": 0.05431861181895844, ""anomalydino_canvas_rotation"": 0.047429138216032576}",[],"a direction statement, not a ranking: no configuration is ordered and no cross-configuration significance test is run"
