method,dataset,seed,shot,category,n_test,grid,map_size,pixel_ap,pixel_auroc,pixel_ap_stride8,pixel_auroc_stride8,image_image_auroc,image_image_ap,image_score,memory_bank_s,scoring_s,s_per_image,peak_gpu_mb,reference_ids,rotation,masking
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_black,79,32x32,448x448,0.07101969188253997,0.9352920892386553,0.08848034278018016,0.9366971207284883,0.3829787234042553,0.5743792293019812,official mean of the top 1% patch distances,0.296,6.21,0.0786,112.51611328125,bracket_black/train/good/240.png;bracket_black/train/good/252.png;bracket_black/train/good/135.png;bracket_black/train/good/223.png,False,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_brown,77,32x32,448x448,0.06543594889842393,0.9408679408713566,0.06412964339008531,0.9407937912618103,0.6236802413273002,0.7279732070907304,official mean of the top 1% patch distances,0.31,6.093,0.0791,112.51611328125,bracket_brown/train/good/040.png;bracket_brown/train/good/158.png;bracket_brown/train/good/139.png;bracket_brown/train/good/144.png,False,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_white,60,32x32,448x448,0.07916900277385071,0.9968132431167157,0.07007257189113883,0.997631236670993,0.6333333333333333,0.554488714222249,official mean of the top 1% patch distances,0.341,4.747,0.0791,112.51611328125,bracket_white/train/good/099.png;bracket_white/train/good/084.png;bracket_white/train/good/068.png;bracket_white/train/good/010.png,False,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,connector,44,32x32,448x448,0.351441107619045,0.9817595398407869,0.3576577395710405,0.9813865465019295,0.9047619047619049,0.7966209128112046,official mean of the top 1% patch distances,0.328,3.65,0.083,112.51611328125,connector/train/good/014.png;connector/train/good/046.png;connector/train/good/071.png;connector/train/good/036.png,False,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,metal_plate,97,32x32,448x448,0.8782035998844337,0.9761383321505966,0.878882482403574,0.9764563061202917,1.0,1.0,official mean of the top 1% patch distances,0.303,8.393,0.0865,112.51611328125,metal_plate/train/good/002.png;metal_plate/train/good/038.png;metal_plate/train/good/011.png;metal_plate/train/good/025.png,False,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,tubes,101,32x32,448x448,0.5952946822555301,0.9763491519342944,0.5986252192072579,0.9768916273535918,0.9510869565217391,0.9801038572002033,official mean of the top 1% patch distances,0.343,9.867,0.0977,112.51611328125,tubes/train/good/121.png;tubes/train/good/050.png;tubes/train/good/020.png;tubes/train/good/110.png,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,01,70,32x32,448x448,0.3941440025884006,0.9365929892813936,0.3877056431634612,0.9311140537998199,0.9164237123420798,0.9683684806825983,official mean of the top 1% patch distances,0.125,8.239,0.1177,112.51611328125,01/train/ok/0150.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,02,230,32x32,448x448,0.6365599367993933,0.9647150128209088,0.6359685054985451,0.9643610042370712,0.9455,0.9914389823720768,official mean of the top 1% patch distances,0.075,17.115,0.0744,112.51611328125,02/train/ok/0151.png,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,03,441,32x42,448x448,0.6664126579392601,0.9948643486980383,0.6700256727448348,0.9950461403747949,0.9204268292682927,0.7354800753359609,official mean of the top 1% patch distances,0.081,34.944,0.0792,118.80029296875,03/train/ok/0439.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,4,01,70,32x32,448x448,0.36093402061650726,0.9252336721253613,0.35569651969116656,0.9202437450284686,0.9096209912536443,0.9668045492516755,official mean of the top 1% patch distances,0.434,6.775,0.0968,112.51611328125,01/train/ok/0150.bmp;01/train/ok/0381.bmp;01/train/ok/0006.bmp;01/train/ok/0004.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,4,02,230,32x32,448x448,0.604346489562165,0.9601289454953362,0.6038390109816529,0.9598662953645898,0.9143333333333333,0.9861756008898414,official mean of the top 1% patch distances,0.262,16.364,0.0711,112.51611328125,02/train/ok/0151.png;02/train/ok/0381.png;02/train/ok/0006.png;02/train/ok/0004.png,False,False
AnomalyDINO_native_dinov2_vits14,btad,0,4,03,441,32x42,448x448,0.7139484379180888,0.9973958439810104,0.7170545118818747,0.9974975157711964,0.9957317073170732,0.9487296854541754,official mean of the top 1% patch distances,0.297,39.033,0.0885,118.80029296875,03/train/ok/0439.bmp;03/train/ok/0621.bmp;03/train/ok/0160.bmp;03/train/ok/0549.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,1,01,70,32x32,448x448,0.4023440006086484,0.9409944670220011,0.39613899800269603,0.9347217332459391,0.8989310009718172,0.9636228733765597,official mean of the top 1% patch distances,0.082,6.32,0.0903,112.51611328125,01/train/ok/0202.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,1,02,230,32x32,448x448,0.6204084817730061,0.961758658670713,0.6198259200854097,0.9614662729367526,0.9423333333333334,0.9911972025886759,official mean of the top 1% patch distances,0.073,13.558,0.0589,112.51611328125,02/train/ok/0121.png,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,1,03,441,32x42,448x448,0.6585115951973584,0.9945253364222668,0.6622860733228877,0.9946795881970688,0.9585365853658536,0.8021261365742339,official mean of the top 1% patch distances,0.066,30.822,0.0699,118.80029296875,03/train/ok/0852.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,4,01,70,32x32,448x448,0.4304127664343253,0.9492915883012624,0.42405284485463096,0.943666338283932,0.9222546161321672,0.9727877994239713,official mean of the top 1% patch distances,0.38,8.335,0.1191,112.51611328125,01/train/ok/0202.bmp;01/train/ok/0152.bmp;01/train/ok/0264.bmp;01/train/ok/0336.bmp,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,4,02,230,32x32,448x448,0.6176126181992523,0.9607829112317665,0.6172325820863127,0.9605572604000692,0.92,0.9870212124767317,official mean of the top 1% patch distances,0.244,15.701,0.0683,112.51611328125,02/train/ok/0121.png;02/train/ok/0182.png;02/train/ok/0090.png;02/train/ok/0168.png,False,False
AnomalyDINO_native_dinov2_vits14,btad,1,4,03,441,32x42,448x448,0.7050518992752093,0.9967440812173884,0.708509882803308,0.996868553682528,0.983780487804878,0.8870321149873507,official mean of the top 1% patch distances,0.292,36.582,0.083,118.80029296875,03/train/ok/0852.bmp;03/train/ok/0836.bmp;03/train/ok/0280.bmp;03/train/ok/0575.bmp,False,False
