dataset,category,seed,shot,method,status,pixel_ap,map_size,n_support,support_ids,query_ids_hash,source
btad,03,0,4,PatchCore_native,produced,0.22694963424948192,128x128,4,0439.bmp;0621.bmp;0160.bmp;0549.bmp,4d13901fc4b9c580,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k4
btad,03,0,4,controlled_A1_J,produced,0.7598117994415157,grid x 14 (448x448 or 448x588),4,0439.bmp;0621.bmp;0160.bmp;0549.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,0,4,controlled_A1_L,produced,0.7598117994415157,grid x 14 (448x448 or 448x588),4,0439.bmp;0621.bmp;0160.bmp;0549.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,1,1,AnomalyDINO_native,produced,0.6585115951973584,448x448,1,03/train/ok/0852.bmp,4d13901fc4b9c580,02_baselines/anomalydino_native_per_category.csv
btad,03,1,1,PatchCore_native,produced,0.11386606593927573,128x128,1,0852.bmp,4d13901fc4b9c580,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k1
btad,03,1,1,controlled_A1_J,produced,0.7171422868444184,grid x 14 (448x448 or 448x588),1,0852.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,1,1,controlled_A1_L,produced,0.7171422868444184,grid x 14 (448x448 or 448x588),1,0852.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,1,4,AnomalyDINO_native,produced,0.7050518992752093,448x448,4,03/train/ok/0852.bmp;03/train/ok/0836.bmp;03/train/ok/0280.bmp;03/train/ok/0575.bmp,4d13901fc4b9c580,02_baselines/anomalydino_native_per_category.csv
btad,03,1,4,PatchCore_native,produced,0.2415913916026185,128x128,4,0852.bmp;0836.bmp;0280.bmp;0575.bmp,4d13901fc4b9c580,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k4
btad,03,1,4,controlled_A1_J,produced,0.7583662203832839,grid x 14 (448x448 or 448x588),4,0852.bmp;0836.bmp;0280.bmp;0575.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,1,4,controlled_A1_L,produced,0.7583662203832839,grid x 14 (448x448 or 448x588),4,0852.bmp;0836.bmp;0280.bmp;0575.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
