dataset,category,seed,shot,method,status,pixel_ap,map_size,n_support,support_ids,query_ids_hash,source
mpdd,bracket_black,1,4,PatchCore_native,produced,0.003993740650367504,128x128,4,240.png;252.png;135.png;223.png,9e7bda60a74260de,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,bracket_black,1,4,controlled_A1_J,produced,0.09637862795393629,grid x 14 (448x448 or 448x588),4,240.png;252.png;135.png;223.png,9e7bda60a74260de,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_black,1,4,controlled_A1_L,produced,0.09637862795393629,grid x 14 (448x448 or 448x588),4,240.png;252.png;135.png;223.png,9e7bda60a74260de,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,0,1,AnomalyDINO_native,produced,0.04625529301852949,448x448,1,bracket_brown/train/good/039.png,0dc3b724bde90785,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_brown,0,1,PatchCore_native,produced,0.026041228855090217,128x128,1,039.png,0dc3b724bde90785,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k1
mpdd,bracket_brown,0,1,controlled_A1_J,produced,0.03506210389028021,grid x 14 (448x448 or 448x588),1,039.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,0,1,controlled_A1_L,produced,0.03506210389028021,grid x 14 (448x448 or 448x588),1,039.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,0,4,AnomalyDINO_native,produced,0.04672821328946718,448x448,4,bracket_brown/train/good/039.png;bracket_brown/train/good/160.png;bracket_brown/train/good/150.png;bracket_brown/train/good/051.png,0dc3b724bde90785,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_brown,0,4,PatchCore_native,produced,0.03035417709770421,128x128,4,039.png;160.png;150.png;051.png,0dc3b724bde90785,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k4
mpdd,bracket_brown,0,4,controlled_A1_J,produced,0.03423984116464034,grid x 14 (448x448 or 448x588),4,039.png;160.png;150.png;051.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,0,4,controlled_A1_L,produced,0.03423984116464034,grid x 14 (448x448 or 448x588),4,039.png;160.png;150.png;051.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,1,1,AnomalyDINO_native,produced,0.05553121854985726,448x448,1,bracket_brown/train/good/040.png,0dc3b724bde90785,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_brown,1,1,PatchCore_native,produced,0.019703871722813893,128x128,1,040.png,0dc3b724bde90785,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k1
mpdd,bracket_brown,1,1,controlled_A1_J,produced,0.03555623098398234,grid x 14 (448x448 or 448x588),1,040.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,1,1,controlled_A1_L,produced,0.03555623098398234,grid x 14 (448x448 or 448x588),1,040.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,1,4,AnomalyDINO_native,produced,0.06543594889842393,448x448,4,bracket_brown/train/good/040.png;bracket_brown/train/good/158.png;bracket_brown/train/good/139.png;bracket_brown/train/good/144.png,0dc3b724bde90785,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_brown,1,4,PatchCore_native,produced,0.029317122074776273,128x128,4,040.png;158.png;139.png;144.png,0dc3b724bde90785,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,bracket_brown,1,4,controlled_A1_J,produced,0.05310831659097217,grid x 14 (448x448 or 448x588),4,040.png;158.png;139.png;144.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_brown,1,4,controlled_A1_L,produced,0.05310831659097217,grid x 14 (448x448 or 448x588),4,040.png;158.png;139.png;144.png,0dc3b724bde90785,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,0,1,AnomalyDINO_native,produced,0.08459177023594121,448x448,1,bracket_white/train/good/023.png,3071362c80536a35,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_white,0,1,PatchCore_native,produced,0.003967098674259866,128x128,1,023.png,3071362c80536a35,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k1
mpdd,bracket_white,0,1,controlled_A1_J,produced,0.12344926711098607,grid x 14 (448x448 or 448x588),1,023.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,0,1,controlled_A1_L,produced,0.12344926711098607,grid x 14 (448x448 or 448x588),1,023.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,0,4,AnomalyDINO_native,produced,0.08137546904554976,448x448,4,bracket_white/train/good/023.png;bracket_white/train/good/103.png;bracket_white/train/good/003.png;bracket_white/train/good/073.png,3071362c80536a35,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_white,0,4,PatchCore_native,produced,0.001030246207529045,128x128,4,023.png;103.png;003.png;073.png,3071362c80536a35,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k4
mpdd,bracket_white,0,4,controlled_A1_J,produced,0.12325964092516042,grid x 14 (448x448 or 448x588),4,023.png;103.png;003.png;073.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,0,4,controlled_A1_L,produced,0.12325964092516042,grid x 14 (448x448 or 448x588),4,023.png;103.png;003.png;073.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,1,1,AnomalyDINO_native,produced,0.06557997529438261,448x448,1,bracket_white/train/good/099.png,3071362c80536a35,02_baselines/anomalydino_native_per_category.csv
mpdd,bracket_white,1,1,PatchCore_native,produced,0.0033618251453465904,128x128,1,099.png,3071362c80536a35,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k1
mpdd,bracket_white,1,1,controlled_A1_J,produced,0.06131573094052067,grid x 14 (448x448 or 448x588),1,099.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,1,1,controlled_A1_L,produced,0.06131573094052067,grid x 14 (448x448 or 448x588),1,099.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,1,4,AnomalyDINO_native,produced,0.07916900277385071,448x448,4,bracket_white/train/good/099.png;bracket_white/train/good/084.png;bracket_white/train/good/068.png;bracket_white/train/good/010.png,3071362c80536a35,02_baselines/anomalydino_native_per_category.csv
