dataset,seed,shot,method,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_image_ap,macro_image_auroc
mvtec,0,1,B,15,0.5205667579214134,0.9497603671986404,0.9652007091637878,0.9339464715506113
mvtec,0,1,S,15,0.5602244670351761,0.9582709736726555,0.9670060269011981,0.9387350040407516
mvtec,0,1,C,15,0.47293011551215486,0.9529429756430408,0.9587414701274211,0.9231600143193871
mvtec,0,1,A1_J,15,0.5615491499281517,0.963750192511085,0.9763281844675012,0.9571059161632108
mvtec,0,1,TRI_J,15,0.5745428622792247,0.9634040794149453,0.9782035062157128,0.9579940505459488
mvtec,0,1,BAL_J,15,0.5801505702059813,0.9668064102334512,0.9795974186790039,0.9619351639059877
mvtec,0,1,DUP_J,15,0.5491761331273605,0.9591153931417742,0.9749320799837391,0.9522074647105422
mvtec,0,1,DUP_BAL_J,15,0.5615491499281517,0.963750192511085,0.9763281844675012,0.9571059161632108
mvtec,0,1,DUP_EXPECTED_J,15,0.5491761331273605,0.9591153931417742,0.9749320799837391,0.9522074647105422
mvtec,0,1,A1_L,15,0.5625927111492198,0.9651184793615201,0.9779716280716825,0.9593515426646763
mvtec,0,1,DUP_L,15,0.5485358030344808,0.9595602720145754,0.9744034830658822,0.9511928036752715
mvtec,0,1,TRI_L,15,0.5789467908562103,0.9661068820095426,0.9790611667247016,0.95914086530738
mvtec,0,1,BAL_L,15,0.5857166747829701,0.9700021030272499,0.9813928625791626,0.9646700407933666
mvtec,0,2,B,15,0.5434093987996517,0.9570347894336242,0.9731524585679703,0.9547596544903784
mvtec,0,2,S,15,0.5706140390276981,0.9637708934417962,0.9695110004493913,0.9491724250208907
mvtec,0,2,C,15,0.48769308281509066,0.9570026878056617,0.9616972340505582,0.9301040858988409
mvtec,0,2,A1_J,15,0.5753255942225423,0.9682485881557028,0.9807008756619505,0.9675779425446502
mvtec,0,2,TRI_J,15,0.5855665523160667,0.9677075668469117,0.9815562563134309,0.9662879998854861
