dataset,seed,shot,group,metric,contrast,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level
mvtec,0,1,exploratory,pixel_ap,A1_L - A1_J,0.001043561221068079,0.0010522604015385907,-0.0011388218794864786,0.003029041919949818,1000,0.95
mvtec,0,1,exploratory,pixel_ap,TRI_L - TRI_J,0.004403928576985572,0.00452566787480535,0.0027251517566916606,0.0062709644303666455,1000,0.95
mvtec,0,1,exploratory,pixel_ap,BAL_L - BAL_J,0.005566104576988806,0.005695725536808282,0.0033850576687011803,0.00785893359327353,1000,0.95
mvtec,0,1,exploratory,pixel_ap,DUP_L - DUP_J,-0.0006403300928796707,-0.0006200319360041336,-0.0020178215016127734,0.0007706907565355793,1000,0.95
mvtec,0,1,exploratory,pixel_ap,DUP_J - A1_J,-0.012373016800791281,-0.01235722389901646,-0.015285098242676827,-0.009497480036021725,1000,0.95
mvtec,0,1,exploratory,pixel_ap,B - A1_J,-0.040982392006738366,-0.04103543117255308,-0.047350567824198476,-0.03496059837851188,1000,0.95
mvtec,0,1,exploratory,pixel_ap,S - A1_J,-0.0013246828929756038,-0.0023260617994581945,-0.013756161233762582,0.008199549405480915,1000,0.95
mvtec,0,1,exploratory,pixel_ap,C - A1_J,-0.08861903441599689,-0.08786663794704522,-0.10274625356803753,-0.0719956094937343,1000,0.95
mvtec,0,1,exploratory,pixel_ap,TRI_J - DUP_J,0.02536672915186422,0.02506081433044848,0.019402341015265882,0.030363151017908718,1000,0.95
mvtec,0,1,exploratory,pixel_ap,TRI_L - DUP_L,0.030410987821729463,0.03020651414125797,0.02431073256301969,0.036002446989719036,1000,0.95
mvtec,0,1,exploratory,pixel_ap,BAL_J - A1_J,0.018601420277829517,0.018230802083564854,0.013385002294433485,0.02301105510296181,1000,0.95
mvtec,0,1,exploratory,pixel_ap,BAL_L - A1_L,0.023123963633750244,0.022874267218834548,0.017746677247367712,0.027939444670694914,1000,0.95
mvtec,0,2,exploratory,pixel_ap,A1_L - A1_J,0.0017672135912718545,0.0017625683497051008,-0.00022268741474776288,0.003790699663255065,1000,0.95
mvtec,0,2,exploratory,pixel_ap,TRI_L - TRI_J,0.0036142236556871987,0.0037907717226566117,0.0021395877107501524,0.005638104736426894,1000,0.95
mvtec,0,2,exploratory,pixel_ap,BAL_L - BAL_J,0.005088344871679085,0.005249980434418223,0.0033951842617835383,0.0071937235528512,1000,0.95
mvtec,0,2,exploratory,pixel_ap,DUP_L - DUP_J,0.00021563457201767555,0.000278443582881302,-0.0012045125546509658,0.0018366841491300938,1000,0.95
mvtec,0,2,exploratory,pixel_ap,DUP_J - A1_J,-0.009436547801498385,-0.009474730169761131,-0.01216487872928081,-0.006817370504044076,1000,0.95
mvtec,0,2,exploratory,pixel_ap,B - A1_J,-0.03191619542289059,-0.03191971054395728,-0.0380824402831968,-0.026037337230439755,1000,0.95
mvtec,0,2,exploratory,pixel_ap,S - A1_J,-0.004711555194844119,-0.005757966452013859,-0.016985484438320524,0.004506042891217342,1000,0.95
mvtec,0,2,exploratory,pixel_ap,C - A1_J,-0.0876325114074516,-0.08784815152413966,-0.10149592102818558,-0.07372971147965884,1000,0.95
mvtec,0,2,exploratory,pixel_ap,TRI_J - DUP_J,0.019677505895022818,0.01939875070583744,0.013975635738654717,0.024515605388001967,1000,0.95
mvtec,0,2,exploratory,pixel_ap,TRI_L - DUP_L,0.02307609497869234,0.022911078845612748,0.017404380069715203,0.02827469452502974,1000,0.95
mvtec,0,2,exploratory,pixel_ap,BAL_J - A1_J,0.014430151014975134,0.014089378769604472,0.00937533492072352,0.01870622968889359,1000,0.95
mvtec,0,2,exploratory,pixel_ap,BAL_L - A1_L,0.017751282295382365,0.017576790854317594,0.012775795221728274,0.022154774748725934,1000,0.95
mvtec,0,4,exploratory,pixel_ap,A1_L - A1_J,-0.0014583455083867491,-0.001420041154040304,-0.0035657566508887233,0.0006918205468311648,1000,0.95
mvtec,0,4,exploratory,pixel_ap,TRI_L - TRI_J,0.0014494597754773908,0.0016477232451878327,-0.00024278740785510774,0.0035800674203439603,1000,0.95
