dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mvtec,0,1,B,bottle,0.7951998486839387,0.9833742277615789,0.9995115995115995,0.9984126984126984
mvtec,0,1,B,cable,0.5958691784611668,0.9008107413914628,0.9398389216097925,0.8821214392803598
mvtec,0,1,B,capsule,0.4696052327512637,0.968484647980257,0.9466975111723266,0.8197048264858396
mvtec,0,1,B,carpet,0.5067023422833246,0.9892171855492594,0.9997530559328313,0.9991974317817014
mvtec,0,1,B,grid,0.4717089259230684,0.9936642625045026,0.999697519661222,0.9991645781119465
mvtec,0,1,B,hazelnut,0.7466935214109018,0.9918260734135707,0.9053320935477811,0.8414285714285714
mvtec,0,1,B,leather,0.31916217915755535,0.989565916706613,1.0,1.0
mvtec,0,1,B,metal_nut,0.6464837883343606,0.9329928609848348,0.9936955246399873,0.9721407624633431
mvtec,0,1,B,pill,0.5670894976128552,0.9244247048908669,0.9886658296391722,0.9367157665030006
mvtec,0,1,B,screw,0.14382442651232466,0.8923879291854048,0.8806589973713862,0.7548678007788481
mvtec,0,1,B,tile,0.5883628269880748,0.9571770851345172,0.9989831346503587,0.9974747474747475
mvtec,0,1,B,toothbrush,0.5057062268890544,0.9892245681496313,0.970783314686843,0.925
mvtec,0,1,B,transistor,0.420369964528326,0.8685315051788383,0.860166293160847,0.9041666666666667
mvtec,0,1,B,wood,0.6428410725851429,0.9280221460067155,0.9978443420378904,0.9929824561403509
mvtec,0,1,B,zipper,0.3888823366998431,0.9367016531415508,0.9963824998347794,0.9858193277310925
mvtec,0,1,S,bottle,0.8332266697365756,0.9893717392377899,0.9984502173021735,0.9952380952380953
mvtec,0,1,S,cable,0.6314507400557126,0.926014235055811,0.9359441328171239,0.8841829085457271
mvtec,0,1,S,capsule,0.4619227887709738,0.9808133113002406,0.9640842078059508,0.8496210610291185
mvtec,0,1,S,carpet,0.6040808066390093,0.9918222827010023,0.9985951193859939,0.9955858747993579
mvtec,0,1,S,grid,0.419883770528764,0.99046557484561,1.0,1.0
mvtec,0,1,S,hazelnut,0.7819320794869353,0.9909935129097378,0.9181738891019484,0.8603571428571428
mvtec,0,1,S,leather,0.38545042911759675,0.9922425712919328,1.0,1.0
mvtec,0,1,S,metal_nut,0.7151685100550751,0.9637432927846954,0.9940760216046056,0.9780058651026393
mvtec,0,1,S,pill,0.686713759972916,0.9658637680692563,0.9829928906775537,0.9178941625750137
mvtec,0,1,S,screw,0.13651676873631646,0.8985499529856871,0.8850771621160014,0.7526132404181185
mvtec,0,1,S,tile,0.5944841908512688,0.9501756546712872,0.9995814217159732,0.9989177489177489
mvtec,0,1,S,toothbrush,0.592963653684816,0.9919037325610983,0.9924792578574559,0.9805555555555555
mvtec,0,1,S,transistor,0.5137985646118091,0.8918511756882049,0.8435031726302001,0.8958333333333334
mvtec,0,1,S,wood,0.6393336644137549,0.941640155492785,0.9954076539905872,0.9850877192982456
mvtec,0,1,S,zipper,0.40644060886611877,0.9086136454946905,0.9967252565124058,0.9871323529411765
mvtec,0,1,C,bottle,0.6604737757090795,0.9539539942390867,0.9910125171763101,0.9698412698412698
mvtec,0,1,C,cable,0.37962092388074253,0.9092959661885989,0.9195365064904026,0.8839955022488756
mvtec,0,1,C,capsule,0.40001334684266504,0.9772918995640628,0.9905904989337726,0.9541284403669725
mvtec,0,1,C,carpet,0.5978522662674581,0.9866070649033111,0.9998751560549314,0.9995987158908507
mvtec,0,1,C,grid,0.1850634390528068,0.9278237791448557,0.9539003348551355,0.8822055137844611
mvtec,0,1,C,hazelnut,0.48949495227584944,0.9797354540455773,0.9655941495409627,0.9353571428571429
mvtec,0,1,C,leather,0.2108739457486511,0.9873284221523541,1.0,1.0
mvtec,0,1,C,metal_nut,0.7494146069975589,0.9529397815393873,0.9959903929737098,0.9828934506353861
mvtec,0,1,C,pill,0.6723281636149688,0.9714155216132729,0.9772380416069442,0.9211674849972722
mvtec,0,1,C,screw,0.1392127211518723,0.9590786077720298,0.8763916945892378,0.7142857142857143
mvtec,0,1,C,tile,0.6517192444718185,0.9496562851675708,0.9994477676127922,0.9985569985569985
mvtec,0,1,C,toothbrush,0.5630759939599811,0.9776624437637159,0.9492154416073088,0.8638888888888889
mvtec,0,1,C,transistor,0.3612690072032726,0.8494756033410227,0.7823760787680981,0.82
mvtec,0,1,C,wood,0.5965468884839611,0.9692428604638724,1.0,1.0
mvtec,0,1,C,zipper,0.4369924570216362,0.9426369507468921,0.979953471701708,0.9214810924369747
mvtec,0,1,A1_J,bottle,0.8113713019025609,0.9857246778619931,1.0,1.0
mvtec,0,1,A1_J,cable,0.6260388084091233,0.9447843779109661,0.9609295963857272,0.926911544227886
mvtec,0,1,A1_J,capsule,0.4907054408617645,0.977576618507243,0.9788935984928435,0.9198244914240128
mvtec,0,1,A1_J,carpet,0.5917242216626063,0.9919252393701701,1.0,1.0
mvtec,0,1,A1_J,grid,0.4683816858168964,0.9936330932402204,1.0,1.0
mvtec,0,1,A1_J,hazelnut,0.7310700678677864,0.9934487154730526,0.9564646346992578,0.9239285714285714
mvtec,0,1,A1_J,leather,0.2913284803908831,0.9903627592625879,1.0,1.0
mvtec,0,1,A1_J,metal_nut,0.7324624957083407,0.955951323798475,0.9983385367841926,0.9926686217008798
mvtec,0,1,A1_J,pill,0.6510071299184081,0.9524327129559143,0.9927914417729806,0.9585379159847245
