method,image_index,sample_id,image_label,region,diagnostic_level,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,bracket_brown/test/bend_and_parts_mismatch/000.png,1,abnormal_normal,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,19,990,0.009115493387886971,0.0002764493227005005,0.0026659145951271057,0.006658047437667847,0.012346059083938599,0.02672104388475418,0.0,0.06480678915977478
A1_G,0,bracket_brown/test/bend_and_parts_mismatch/000.png,1,defect,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,19,34,0.012351344613467945,0.0012328028678894045,0.0043694451451301575,0.009494200348854065,0.014713749289512634,0.0402818441390991,0.0,0.046811819076538086
A1_G,0,bracket_brown/test/bend_and_parts_mismatch/000.png,1,clean_defect,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,19,15,0.012517789999643961,0.0021021902561187745,0.004987195134162903,0.01143413782119751,0.016391679644584656,0.02759995162487027,0.0018966197967529297,0.04666328430175781
A1_G,0,bracket_brown/test/bend_and_parts_mismatch/000.png,1,boundary,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,19,19,0.012219940361223723,0.0,0.004990383982658386,0.009238511323928833,0.01267436146736145,0.037842297554016094,0.0,0.046811819076538086
A1_G,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1,abnormal_normal,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,15,994,0.009332239987624722,0.0002721831202507019,0.0025916248559951782,0.006708383560180664,0.012444786727428436,0.02774399071931839,0.0,0.09233197569847107
A1_G,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1,defect,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,15,30,0.01619569261868795,0.0007205307483673098,0.004105463624000549,0.01015406847000122,0.024882741272449493,0.05139603614807125,9.340047836303711e-05,0.06677639484405518
A1_G,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1,clean_defect,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,15,15,0.010772655407587687,0.00013585388660430908,0.0020749419927597046,0.00860971212387085,0.012603282928466797,0.03185736835002898,9.340047836303711e-05,0.03691303730010986
A1_G,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1,boundary,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,15,15,0.021618729829788207,0.004518443346023559,0.007304579019546509,0.014660805463790894,0.02572333812713623,0.06057385802268981,0.003876030445098877,0.06677639484405518
A1_G,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1,abnormal_normal,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,12,996,0.008697606264108634,2.0235776901245117e-05,0.002345450222492218,0.006620883941650391,0.012140318751335144,0.024917252361774445,0.0,0.06252184510231018
A1_G,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1,defect,32x32 patch diagnostic from pooled 448x448 masks; not a full-pixel measurement,12,28,0.012684163238321031,0.0002740636467933655,0.0028283149003982544,0.01026780903339386,0.015302829444408417,0.04240721315145492,0.0001499950885772705,0.0455472469329834
