category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_candle,200,0.9754999999999999,0.976034807535819,0.9170731707317075,0.9836174764767611,0.2126208889592761,0.9440420301565868
mvtec_capsules,160,0.5928333333333333,0.7476235410198091,0.7692307692307693,0.9554894791440374,0.30606803575452957,0.612611703211518
mvtec_cashew,150,0.9454,0.9718716195257384,0.923076923076923,0.9768077298528541,0.5619352858718452,0.8929922480085175
mvtec_chewinggum,150,0.984,0.9929509890806343,0.9746192893401014,0.9866978466404605,0.5739250090180761,0.7898012922521894
mvtec_fryum,150,0.9046,0.958587830227184,0.8708133971291867,0.8860153077892501,0.3561215954682135,0.7166695779732054
mvtec_macaroni1,200,0.8028,0.8093874204527557,0.757201646090535,0.9890841136512003,0.16048737331185803,0.8991358666103998
mvtec_macaroni2,200,0.5505,0.5284366278532923,0.6830985915492959,0.9316360481086039,0.006222630014695319,0.6794349496270635
mvtec_pcb1,200,0.7643,0.701349403398349,0.8384279475982533,0.9667177986219679,0.37599775272429375,0.7244405070201846
mvtec_pcb2,200,0.8691,0.8740691260403078,0.8097560975609757,0.9598656419356777,0.16325943811732432,0.7644793504819327
mvtec_pcb3,201,0.844158415841584,0.8571035625935224,0.7830188679245284,0.9818099090952276,0.4624978671603182,0.7275950055753372
mvtec_pcb4,201,0.9783168316831683,0.9727890914916375,0.9523809523809523,0.9472782741902501,0.28689707923162877,0.7210836947360687
mvtec_pipe_fryum,150,0.9678000000000001,0.9840805872803426,0.9411764705882353,0.9866947539193556,0.6180624688154922,0.9049736101448491
