method,method_column,dataset,n_units,n_timed_repeats,scope,preprocess_s,encode_s,score_s,total_s_median,total_s_min,total_s_max,peak_vram_mb,peak_vram_median_mb,device_start_mb,device_peak_mb,device_peak_delta_mb,n_refs_values,n_queries,protocol,stages,status,n_failed_repeats,peak_vram_source,note
a1_j,controlled_A1_J,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",30.441,161.966,4.384,197.118,196.823,197.424,2376.8,2376.8,2802,5317,2515,"1,4",432,"DINOv2-B/14 smaller_edge=448 (branch B) + AnomalyCLIP ViT-L/14@336 image_size=518 (branch C), weights 1/2 : 1/2; output frame = controlled canvas grid*14 (448x448 for MPDD); no rotation; memory bank K",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,"branches B and C are encoded back to back inside one process, so the reported peak carries both encoders resident; production runs one --branch per process, and the per-branch peaks are in SPEED_VRAM_BENCH.json (phase_peaks)"
a1_l,controlled_A1_L,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",30.556,160.308,4.39,195.3,195.162,195.491,2376.8,2376.8,2611,5356,2745,"1,4",432,"same B+C encoding as A1_J; different rule L(q)=sum_b w_b min_r d_b(q,r); output frame = controlled canvas grid*14; no rotation; memory bank K",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,"identical encoding to A1_J but measured as its own complete end-to-end pass, so the row is the cost of running the L rule alone; only the fusion order differs"
adino_canvas,anomalydino_canvas,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",13.95,11.551,5.461,30.959,30.871,36.532,111.6,111.6,2601,3303,702,"1,4",432,"DINOv2-S/14 smaller_edge=448, agnostic preprocessing, no mask; output frame = controlled canvas grid*14; no rotation; memory bank K",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,"CPU FAISS, k=1, distance/2, official dists2map upsampling"
adino_canvas_rotation,anomalydino_canvas_rotation,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",23.883,14.141,40.875,78.863,78.794,79.012,111.6,111.6,3072,3343,271,"1,4",432,"DINOv2-S/14 smaller_edge=448, agnostic preprocessing; official unknown-dataset fallback: each of the K references rotated into 8 angles; output frame = controlled canvas grid*14; memory bank K*8",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,"each of the K references is rotated into 8 angles, so the memory bank holds K*8 rows; the augmentation is charged to preprocess"
patchcore_local128,PatchCore_native_local128,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",14.136,8.588,1.472,24.19,24.08,24.331,403.1,403.1,2850,3733,883,"1,4",432,"WideResNet50-2 layer2+layer3, --resize 144 --imagesize 128, --pretrain_embed_dimension 1024 --target_embed_dimension 256, --patchsize 3, --anomaly_scorer_num_nn 1, approx_greedy_coreset p=0.1, CPU FAISS; no rotation",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,"the vendored CLI runs in a child process with its classes patched in-process; score = fit+predict minus preprocess minus encode, i.e. approx-greedy coreset + FAISS retrieval + segmentor upsampling"
patchcore_official224,PatchCore_native_official224,mpdd,6,3,"sum over 6 units (mpdd seed 0, K in {1,4}, 3 categories; the K=1 and K=4 units cover the same 216 query images), median of 3 timed repeats",14.279,19.234,3.406,36.931,36.557,37.162,409.8,409.8,3029,4251,1222,"1,4",432,"WideResNet50-2 layer2+layer3, --resize 256 --imagesize 224, --pretrain_embed_dimension 1024 --target_embed_dimension 1024, --patchsize 3, --anomaly_scorer_num_nn 1, approx_greedy_coreset p=0.1, CPU FAISS; no rotation",preprocess/encode/score,ok,0,in-process torch.cuda.max_memory_allocated (PyTorch caching allocator); device_peak_mb / device_peak_delta_mb are the 1 Hz device-wide nvidia-smi cross-check,same instrumentation as local128; the CLI's metric computation and --dump_predictions happen after predict and are excluded
