method,dataset,seed,shot,frame,macro_pixel_ap,macro_pixel_auroc,note,source
AnomalyDINO_native_dinov2_vits14,btad,0,1,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.5657055324423513,0.9653907836001135,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,btad,0,4,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.5597429826989203,0.9609194872005693,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,btad,1,1,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.5604213591930043,0.9657594873716603,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,btad,1,4,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.5843590946362623,0.9689395269168058,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.2761414136126752,0.9566231361273712,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.3193599549922781,0.9693639762545271,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.30056687335294463,0.9569953505497498,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,448x448 (AnomalyDINO) / 128x128 (PatchCore),0.3400940055523039,0.967870049525401,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,btad,0,1,128x128,0.20873657316065772,0.8752398155900035,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,btad,0,4,128x128,0.3200477626086549,0.933563718117255,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,btad,1,1,128x128,0.2613475700061613,0.8892032490985647,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,btad,1,4,128x128,0.3516276171536472,0.9380149202657483,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,mpdd,0,1,128x128,0.15305972596074255,0.8816639459915904,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,mpdd,0,4,128x128,0.1774940173778782,0.8786407895953435,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,mpdd,1,1,128x128,0.14398264418079554,0.8899438709729838,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native,mpdd,1,4,128x128,0.1824329532783816,0.8995563682717541,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,mpdd,0,1,grid x 14 (448x448 or 448x588),0.31440996738097865,0.9587745522460347,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,mpdd,0,4,grid x 14 (448x448 or 448x588),0.38699362568098966,0.9694988118456128,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,mpdd,1,1,grid x 14 (448x448 or 448x588),0.34167157876706017,0.963179433543721,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,mpdd,1,4,grid x 14 (448x448 or 448x588),0.4058513415747375,0.9716520086542376,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,btad,0,1,grid x 14 (448x448 or 448x588),0.6209727790552885,0.9736943300774028,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,btad,0,4,grid x 14 (448x448 or 448x588),0.6516955477516769,0.9750668221772032,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,btad,1,1,grid x 14 (448x448 or 448x588),0.6340069347195748,0.9739976940297943,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_J,btad,1,4,grid x 14 (448x448 or 448x588),0.649137203513586,0.9760233665292226,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,mpdd,0,1,grid x 14 (448x448 or 448x588),0.31934009466031105,0.9615449453179332,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,mpdd,0,4,grid x 14 (448x448 or 448x588),0.39459767175176846,0.972894518476941,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,mpdd,1,1,grid x 14 (448x448 or 448x588),0.34821213860868006,0.9658244511728963,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,mpdd,1,4,grid x 14 (448x448 or 448x588),0.41260997827835255,0.9750964339932269,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,btad,0,1,grid x 14 (448x448 or 448x588),0.6302003637127722,0.9750262398407575,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,btad,0,4,grid x 14 (448x448 or 448x588),0.6628246840695663,0.9759652478467128,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,btad,1,1,grid x 14 (448x448 or 448x588),0.6422963195688194,0.9750022550085354,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_A1_L,btad,1,4,grid x 14 (448x448 or 448x588),0.6555846922227154,0.9766851968912039,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,mpdd,0,1,grid x 14 (448x448 or 448x588),0.2815914125662486,0.9499778078088955,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,mpdd,0,4,grid x 14 (448x448 or 448x588),0.36015586464265015,0.9601428405606344,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,mpdd,1,1,grid x 14 (448x448 or 448x588),0.3265569322478777,0.9522221312621425,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,mpdd,1,4,grid x 14 (448x448 or 448x588),0.3645852562616329,0.9632803584030989,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,btad,0,1,grid x 14 (448x448 or 448x588),0.5895296074871046,0.9704866819335273,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,btad,0,4,grid x 14 (448x448 or 448x588),0.6269786519904318,0.9722563673122643,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_B,btad,1,1,grid x 14 (448x448 or 448x588),0.6026222317931156,0.9707365249197477,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
