check,value
target_conditions,72
baseline_rows_matched,72
controlled_reference_rows,72
duplicate_keys,0
missing_keys,0
extra_keys,0
macro_checks,16
macro_checks_verified,16
macro_checks_failed,0
duplicate_detail,
missing_detail,
extra_detail,
