method,dataset,seed,shot,memory_bank_s,scoring_s,evaluation_s,wall_clock_s,peak_gpu_mb,peak_ram_mb,stages_separated,source,note
PatchCore_native,btad,1,1,,,,55.5,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native,btad,1,4,,,,65.2,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native,mpdd,0,1,,,,56.9,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native,mpdd,0,4,,,,54.3,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native,mpdd,1,1,,,,60.3,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native,mpdd,1,4,,,,61.2,,,whole-run wall clock only,CLOSE/02_baselines/resource_cost.csv,whole-run wall clock (memory bank + scoring + results); PatchCore peak GPU memory is not instrumented
PatchCore_native_local128,mvtec,0,1,,,29.4,176.6,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,mvtec,0,4,,,25.0,157.8,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,mvtec,1,1,,,27.3,143.8,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,mvtec,1,4,,,35.7,158.3,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,visa,0,1,,,40.2,193.6,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,visa,0,4,,,37.9,155.5,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,visa,1,1,,,37.7,153.9,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_local128,visa,1,4,,,34.7,152.5,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_local128.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mpdd,0,1,,,25.8,116.6,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mpdd,0,4,,,22.6,96.4,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mpdd,1,1,,,22.3,92.4,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mpdd,1,4,,,22.9,93.6,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,btad,0,1,,,39.4,114.8,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,btad,0,4,,,39.3,115.0,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,btad,1,1,,,39.8,109.1,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,btad,1,4,,,44.9,122.9,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mvtec,0,1,,,98.6,460.0,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,visa,0,1,,,121.0,441.7,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mvtec,0,4,,,74.4,306.1,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mvtec,1,1,,,78.7,276.9,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,mvtec,1,4,,,77.6,284.3,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,visa,0,4,,,97.7,326.4,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,visa,1,1,,,97.2,295.2,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
PatchCore_native_official224,visa,1,4,,,97.6,302.4,,,run (bank+scoring) and evaluation separated,NEW/05_baselines/patchcore_state_official224.json,peak GPU memory is not instrumented inside the vendored PatchCore process; no value is reported rather than a proxy
AnomalyDINO_native_dinov2_vits14,btad,0,1,0.056999999999999995,0.06516666666666666,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,0,4,0.19933333333333336,0.08356666666666666,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,1,0.05266666666666667,0.06530000000000001,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,4,0.21633333333333335,0.08373333333333333,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
