method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
PatchCore_native_local128,mpdd,0,4,bracket_white,canvas grid*14 (448x448),0.0007494851527829678,0.7895128849478197,0.0006607884423613247,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_white.npz,True
PatchCore_native_local128,mpdd,0,4,connector,canvas grid*14 (448x448),0.05215220109681169,0.9407143418774854,0.05252428434566306,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_connector.npz,True
PatchCore_native_local128,mpdd,0,4,metal_plate,canvas grid*14 (448x448),0.7842532980794064,0.9590856044007148,0.7830827833087795,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,True
PatchCore_native_local128,mpdd,0,4,tubes,canvas grid*14 (448x448),0.1079276395061637,0.9053060015758723,0.10987675991365588,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_tubes.npz,True
PatchCore_native_local128,mpdd,1,1,bracket_black,canvas grid*14 (448x448),0.0027981225759715978,0.8269296974545004,0.002985022343959976,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,True
PatchCore_native_local128,mpdd,1,1,bracket_brown,canvas grid*14 (448x448),0.018540282296463317,0.8651996670622777,0.018225305295167762,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_local128,mpdd,1,1,bracket_white,canvas grid*14 (448x448),0.002554423037672178,0.9416223065898226,0.002518384913819375,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,True
PatchCore_native_local128,mpdd,1,1,connector,canvas grid*14 (448x448),0.03717069715722587,0.910445328297008,0.03816971362999565,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_connector.npz,True
PatchCore_native_local128,mpdd,1,1,metal_plate,canvas grid*14 (448x448),0.5950365810763321,0.9186218808186618,0.5945466953450328,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_metal_plate.npz,True
PatchCore_native_local128,mpdd,1,1,tubes,canvas grid*14 (448x448),0.08623157451472367,0.9026525915717338,0.08855035400928041,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k1\predictions\mvtec_tubes.npz,True
