shot,kind,branch,base,category,seed,method,macro_pixel_ap,delta_vs_base
2,within,C,A1_J,bracket_black,9,A1_J__perm_C_within_p09,0.014327810484077516,-0.0003200529247056015
2,within,C,TRI_J,bracket_black,9,TRI_J__perm_C_within_p09,0.017869425572913482,-0.00018615261305952174
2,within,S,TRI_J,bracket_black,9,TRI_J__perm_S_within_p09,0.021841373722031366,0.0037857955360583624
2,within,C,BAL_J,bracket_black,9,BAL_J__perm_C_within_p09,0.012999701690195202,-4.29846874884926e-05
2,within,S,BAL_J,bracket_black,9,BAL_J__perm_S_within_p09,0.015160684038954842,0.002117997661271147
2,within,C,A1_J,bracket_brown,0,A1_J__perm_C_within_p00,0.04682942921907655,0.013459846025824035
2,within,C,TRI_J,bracket_brown,0,TRI_J__perm_C_within_p00,0.04985612261546675,0.012553756684882622
2,within,S,TRI_J,bracket_brown,0,TRI_J__perm_S_within_p00,0.061391324154204834,0.024088958223620706
2,within,C,BAL_J,bracket_brown,0,BAL_J__perm_C_within_p00,0.0481009517428119,0.012803270766552612
2,within,S,BAL_J,bracket_brown,0,BAL_J__perm_S_within_p00,0.05476655664131215,0.019468875665052864
2,cross,C,A1_J,bracket_brown,0,A1_J__perm_C_cross_p00,0.03733716307439814,0.0039675798811456275
2,cross,C,TRI_J,bracket_brown,0,TRI_J__perm_C_cross_p00,0.041213403728087676,0.0039110377975035485
2,cross,S,TRI_J,bracket_brown,0,TRI_J__perm_S_cross_p00,0.0409914735558749,0.0036891076252907745
2,cross,C,BAL_J,bracket_brown,0,BAL_J__perm_C_cross_p00,0.039251860871839066,0.003954179895579779
2,cross,S,BAL_J,bracket_brown,0,BAL_J__perm_S_cross_p00,0.03809448995282097,0.0027968089765616835
2,within,C,A1_J,bracket_brown,1,A1_J__perm_C_within_p01,0.044392182822659755,0.011022599629407243
2,within,C,TRI_J,bracket_brown,1,TRI_J__perm_C_within_p01,0.04652242522345235,0.009220059292868225
2,within,S,TRI_J,bracket_brown,1,TRI_J__perm_S_within_p01,0.05218423242620701,0.014881866495622884
2,within,C,BAL_J,bracket_brown,1,BAL_J__perm_C_within_p01,0.04460577283948062,0.009308091863221332
2,within,S,BAL_J,bracket_brown,1,BAL_J__perm_S_within_p01,0.04919165251591549,0.013893971539656207
2,within,C,A1_J,bracket_brown,2,A1_J__perm_C_within_p02,0.04660437815505355,0.013234794961801036
2,within,C,TRI_J,bracket_brown,2,TRI_J__perm_C_within_p02,0.0487335600998961,0.011431194169311973
2,within,S,TRI_J,bracket_brown,2,TRI_J__perm_S_within_p02,0.045777857617924245,0.008475491687340117
2,within,C,BAL_J,bracket_brown,2,BAL_J__perm_C_within_p02,0.04763509030789435,0.01233740933163506
2,within,S,BAL_J,bracket_brown,2,BAL_J__perm_S_within_p02,0.04225249668392811,0.0069548157076688225
2,within,C,A1_J,bracket_brown,3,A1_J__perm_C_within_p03,0.03142092548482699,-0.001948657708425519
2,within,C,TRI_J,bracket_brown,3,TRI_J__perm_C_within_p03,0.036136639194192986,-0.0011657267363911414
2,within,S,TRI_J,bracket_brown,3,TRI_J__perm_S_within_p03,0.03953967503507857,0.0022373091044944407
2,within,C,BAL_J,bracket_brown,3,BAL_J__perm_C_within_p03,0.03300570802206673,-0.0022919729541925546
2,within,S,BAL_J,bracket_brown,3,BAL_J__perm_S_within_p03,0.03714740198266287,0.0018497210064035846
2,within,C,A1_J,bracket_brown,4,A1_J__perm_C_within_p04,0.03811371239286204,0.00474412919960953
2,within,C,TRI_J,bracket_brown,4,TRI_J__perm_C_within_p04,0.04092535377991567,0.0036229878493315437
2,within,S,TRI_J,bracket_brown,4,TRI_J__perm_S_within_p04,0.044827764616892765,0.0075253986863086375
2,within,C,BAL_J,bracket_brown,4,BAL_J__perm_C_within_p04,0.04006262326957283,0.004764942293313541
2,within,S,BAL_J,bracket_brown,4,BAL_J__perm_S_within_p04,0.04506227928369967,0.009764598307440385
2,within,C,A1_J,bracket_brown,5,A1_J__perm_C_within_p05,0.03996040276082275,0.006590819567570239
2,within,C,TRI_J,bracket_brown,5,TRI_J__perm_C_within_p05,0.04192924315888853,0.004626877228304405
2,within,S,TRI_J,bracket_brown,5,TRI_J__perm_S_within_p05,0.05864695465785502,0.021344588727270894
2,within,C,BAL_J,bracket_brown,5,BAL_J__perm_C_within_p05,0.041424876286226736,0.0061271953099674495
2,within,S,BAL_J,bracket_brown,5,BAL_J__perm_S_within_p05,0.051706893668190104,0.016409212691930818
2,within,C,A1_J,bracket_brown,6,A1_J__perm_C_within_p06,0.04334722788941988,0.009977644696167368
2,within,C,TRI_J,bracket_brown,6,TRI_J__perm_C_within_p06,0.04670938367427629,0.00940701774369216
2,within,S,TRI_J,bracket_brown,6,TRI_J__perm_S_within_p06,0.04611723087009681,0.008814864939512682
2,within,C,BAL_J,bracket_brown,6,BAL_J__perm_C_within_p06,0.04473438030938416,0.009436699333124875
2,within,S,BAL_J,bracket_brown,6,BAL_J__perm_S_within_p06,0.0449880674857772,0.009690386509517916
2,within,C,A1_J,bracket_brown,7,A1_J__perm_C_within_p07,0.04329748154628695,0.00992789835303444
2,within,C,TRI_J,bracket_brown,7,TRI_J__perm_C_within_p07,0.043986888770936136,0.0066845228403520085
2,within,S,TRI_J,bracket_brown,7,TRI_J__perm_S_within_p07,0.0393840643678822,0.0020816984372980726
2,within,C,BAL_J,bracket_brown,7,BAL_J__perm_C_within_p07,0.044827254829307606,0.009529573853048319
2,within,S,BAL_J,bracket_brown,7,BAL_J__perm_S_within_p07,0.040442183344417286,0.005144502368157999
2,within,C,A1_J,bracket_brown,8,A1_J__perm_C_within_p08,0.04201508058044032,0.008645497387187805
2,within,C,TRI_J,bracket_brown,8,TRI_J__perm_C_within_p08,0.04720524116092787,0.009902875230343743
2,within,S,TRI_J,bracket_brown,8,TRI_J__perm_S_within_p08,0.05580013828435128,0.01849777235376715
2,within,C,BAL_J,bracket_brown,8,BAL_J__perm_C_within_p08,0.044998005196906096,0.00970032422064681
2,within,S,BAL_J,bracket_brown,8,BAL_J__perm_S_within_p08,0.05105334480397223,0.015755663827712943
2,within,C,A1_J,bracket_brown,9,A1_J__perm_C_within_p09,0.044384277818218805,0.011014694624966292
2,within,C,TRI_J,bracket_brown,9,TRI_J__perm_C_within_p09,0.04643972031272266,0.00913735438213853
2,within,S,TRI_J,bracket_brown,9,TRI_J__perm_S_within_p09,0.04824189338572165,0.010939527455137522
2,within,C,BAL_J,bracket_brown,9,BAL_J__perm_C_within_p09,0.046849277947797294,0.011551596971538007
2,within,S,BAL_J,bracket_brown,9,BAL_J__perm_S_within_p09,0.046823172636864405,0.011525491660605118
2,within,C,A1_J,bracket_white,0,A1_J__perm_C_within_p00,0.0980569344964351,-0.007931582061512066
2,within,C,TRI_J,bracket_white,0,TRI_J__perm_C_within_p00,0.13988087054643683,-0.004494027407104445
2,within,S,TRI_J,bracket_white,0,TRI_J__perm_S_within_p00,0.13358330659228368,-0.010791591361257596
2,within,C,BAL_J,bracket_white,0,BAL_J__perm_C_within_p00,0.12824670017879586,0.0005042060042278196
2,within,S,BAL_J,bracket_white,0,BAL_J__perm_S_within_p00,0.1241630264776819,-0.003579467696886135
2,cross,C,A1_J,bracket_white,0,A1_J__perm_C_cross_p00,0.12118599659579656,0.01519748003784939
2,cross,C,TRI_J,bracket_white,0,TRI_J__perm_C_cross_p00,0.14300955485670364,-0.00136534309683764
2,cross,S,TRI_J,bracket_white,0,TRI_J__perm_S_cross_p00,0.2014503821954525,0.05707548424191122
2,cross,C,BAL_J,bracket_white,0,BAL_J__perm_C_cross_p00,0.14354594375995336,0.01580344958538532
2,cross,S,BAL_J,bracket_white,0,BAL_J__perm_S_cross_p00,0.18819653044021148,0.06045403626564344
2,within,C,A1_J,bracket_white,1,A1_J__perm_C_within_p01,0.09281942917028144,-0.013169087387665729
2,within,C,TRI_J,bracket_white,1,TRI_J__perm_C_within_p01,0.12420575186280865,-0.02016914609073263
2,within,S,TRI_J,bracket_white,1,TRI_J__perm_S_within_p01,0.1943374835972713,0.04996258564373002
2,within,C,BAL_J,bracket_white,1,BAL_J__perm_C_within_p01,0.1254285549585677,-0.0023139392160003436
2,within,S,BAL_J,bracket_white,1,BAL_J__perm_S_within_p01,0.17685825645375833,0.04911576227919029
2,within,C,A1_J,bracket_white,2,A1_J__perm_C_within_p02,0.09160709690596025,-0.014381419651986915
2,within,C,TRI_J,bracket_white,2,TRI_J__perm_C_within_p02,0.13570077448011228,-0.008674123473428996
2,within,S,TRI_J,bracket_white,2,TRI_J__perm_S_within_p02,0.16856895523303214,0.024194057279490866
2,within,C,BAL_J,bracket_white,2,BAL_J__perm_C_within_p02,0.1243457323893026,-0.003396761785265434
2,within,S,BAL_J,bracket_white,2,BAL_J__perm_S_within_p02,0.14998163663335168,0.02223914245878364
2,within,C,A1_J,bracket_white,3,A1_J__perm_C_within_p03,0.08819493308605608,-0.017793583471891083
2,within,C,TRI_J,bracket_white,3,TRI_J__perm_C_within_p03,0.13380444631424418,-0.010570451639297096
2,within,S,TRI_J,bracket_white,3,TRI_J__perm_S_within_p03,0.16409458919755793,0.01971969124401665
2,within,C,BAL_J,bracket_white,3,BAL_J__perm_C_within_p03,0.11151440745183384,-0.016228086722734195
2,within,S,BAL_J,bracket_white,3,BAL_J__perm_S_within_p03,0.15276774697019763,0.025025252795629588
2,within,C,A1_J,bracket_white,4,A1_J__perm_C_within_p04,0.08991815965996838,-0.016070356897978783
2,within,C,TRI_J,bracket_white,4,TRI_J__perm_C_within_p04,0.11003502968214258,-0.03433986827139869
2,within,S,TRI_J,bracket_white,4,TRI_J__perm_S_within_p04,0.11609147453794118,-0.028283423415600098
2,within,C,BAL_J,bracket_white,4,BAL_J__perm_C_within_p04,0.1061956477235294,-0.021546846451038645
2,within,S,BAL_J,bracket_white,4,BAL_J__perm_S_within_p04,0.10319255643495402,-0.024549937739614017
2,within,C,A1_J,bracket_white,5,A1_J__perm_C_within_p05,0.08615073542439103,-0.019837781133556137
2,within,C,TRI_J,bracket_white,5,TRI_J__perm_C_within_p05,0.13884120835938776,-0.0055336895941535125
2,within,S,TRI_J,bracket_white,5,TRI_J__perm_S_within_p05,0.1273842511255988,-0.016990646827942463
2,within,C,BAL_J,bracket_white,5,BAL_J__perm_C_within_p05,0.12057495754188537,-0.007167536632682672
2,within,S,BAL_J,bracket_white,5,BAL_J__perm_S_within_p05,0.11776530969112951,-0.009977184483438525
2,within,C,A1_J,bracket_white,6,A1_J__perm_C_within_p06,0.08825669362942114,-0.017731822928526028
2,within,C,TRI_J,bracket_white,6,TRI_J__perm_C_within_p06,0.13732246955953778,-0.007052428394003496
2,within,S,TRI_J,bracket_white,6,TRI_J__perm_S_within_p06,0.16014998788009277,0.015775089926551494
2,within,C,BAL_J,bracket_white,6,BAL_J__perm_C_within_p06,0.10192934058229,-0.025813153592278038
2,within,S,BAL_J,bracket_white,6,BAL_J__perm_S_within_p06,0.15582064467136716,0.028078150496799126
2,within,C,A1_J,bracket_white,7,A1_J__perm_C_within_p07,0.09574790680796871,-0.010240609749978452
2,within,C,TRI_J,bracket_white,7,TRI_J__perm_C_within_p07,0.13162389821231,-0.012750999741231284
2,within,S,TRI_J,bracket_white,7,TRI_J__perm_S_within_p07,0.14788491061984482,0.003510012666303547
2,within,C,BAL_J,bracket_white,7,BAL_J__perm_C_within_p07,0.11476667837876069,-0.012975815795807352
2,within,S,BAL_J,bracket_white,7,BAL_J__perm_S_within_p07,0.14839626672229828,0.020653772547730237
2,within,C,A1_J,bracket_white,8,A1_J__perm_C_within_p08,0.10743010443925233,0.001441587881305162
2,within,C,TRI_J,bracket_white,8,TRI_J__perm_C_within_p08,0.13239858459417517,-0.011976313359366109
2,within,S,TRI_J,bracket_white,8,TRI_J__perm_S_within_p08,0.17619656014902446,0.031821662195483186
2,within,C,BAL_J,bracket_white,8,BAL_J__perm_C_within_p08,0.12675686663089375,-0.000985627543674289
2,within,S,BAL_J,bracket_white,8,BAL_J__perm_S_within_p08,0.16591316041753498,0.038170666242966944
2,within,C,A1_J,bracket_white,9,A1_J__perm_C_within_p09,0.08016177031923308,-0.025826746238714088
2,within,C,TRI_J,bracket_white,9,TRI_J__perm_C_within_p09,0.13065605010560355,-0.013718847847937726
2,within,S,TRI_J,bracket_white,9,TRI_J__perm_S_within_p09,0.16024692503931648,0.015872027085775203
2,within,C,BAL_J,bracket_white,9,BAL_J__perm_C_within_p09,0.1005123266083195,-0.027230167566248534
2,within,S,BAL_J,bracket_white,9,BAL_J__perm_S_within_p09,0.1472248038118464,0.019482309637278372
2,within,C,A1_J,connector,0,A1_J__perm_C_within_p00,0.2821182064038082,-0.0169927628947944
2,within,C,TRI_J,connector,0,TRI_J__perm_C_within_p00,0.251422810634924,0.0035486985110964042
2,within,S,TRI_J,connector,0,TRI_J__perm_S_within_p00,0.11212170207402472,-0.13575241004980287
2,within,C,BAL_J,connector,0,BAL_J__perm_C_within_p00,0.22559048476606416,-0.019251652625756593
2,within,S,BAL_J,connector,0,BAL_J__perm_S_within_p00,0.12333539054157887,-0.12150674685024189
2,cross,C,A1_J,connector,0,A1_J__perm_C_cross_p00,0.28254898226004904,-0.01656198703855355
2,cross,C,TRI_J,connector,0,TRI_J__perm_C_cross_p00,0.2527218440816359,0.004847731957808299
2,cross,S,TRI_J,connector,0,TRI_J__perm_S_cross_p00,0.1618277199139402,-0.08604639220988738
2,cross,C,BAL_J,connector,0,BAL_J__perm_C_cross_p00,0.23273336099944741,-0.012108776392373344
