shot,kind,branch,base,category,n_seeds,mean_pixel_ap,min_pixel_ap,max_pixel_ap,mean_delta,min_delta,max_delta,std_delta,frac_delta_below_zero
2,cross,C,A1_J,bracket_black,1,0.01485209022886913,0.01485209022886913,0.01485209022886913,0.00020422682008601305,0.00020422682008601305,0.00020422682008601305,,0.0
2,cross,C,A1_J,bracket_brown,1,0.03733716307439814,0.03733716307439814,0.03733716307439814,0.0039675798811456275,0.0039675798811456275,0.0039675798811456275,,0.0
2,cross,C,A1_J,bracket_white,1,0.12118599659579656,0.12118599659579656,0.12118599659579656,0.01519748003784939,0.01519748003784939,0.01519748003784939,,0.0
2,cross,C,A1_J,connector,1,0.28254898226004904,0.28254898226004904,0.28254898226004904,-0.01656198703855355,-0.01656198703855355,-0.01656198703855355,,1.0
2,cross,C,A1_J,metal_plate,1,0.8576714671223444,0.8576714671223444,0.8576714671223444,-0.02071909931964211,-0.02071909931964211,-0.02071909931964211,,1.0
2,cross,C,A1_J,tubes,1,0.7293209478297626,0.7293209478297626,0.7293209478297626,-0.0014146542633087789,-0.0014146542633087789,-0.0014146542633087789,,1.0
2,cross,C,BAL_J,bracket_black,1,0.01353912620980462,0.01353912620980462,0.01353912620980462,0.0004964398321209255,0.0004964398321209255,0.0004964398321209255,,0.0
2,cross,C,BAL_J,bracket_brown,1,0.039251860871839066,0.039251860871839066,0.039251860871839066,0.003954179895579779,0.003954179895579779,0.003954179895579779,,0.0
2,cross,C,BAL_J,bracket_white,1,0.14354594375995336,0.14354594375995336,0.14354594375995336,0.01580344958538532,0.01580344958538532,0.01580344958538532,,0.0
2,cross,C,BAL_J,connector,1,0.23273336099944741,0.23273336099944741,0.23273336099944741,-0.012108776392373344,-0.012108776392373344,-0.012108776392373344,,1.0
2,cross,C,BAL_J,metal_plate,1,0.8844275294072059,0.8844275294072059,0.8844275294072059,-0.017455561859962554,-0.017455561859962554,-0.017455561859962554,,1.0
2,cross,C,BAL_J,tubes,1,0.6948432585591867,0.6948432585591867,0.6948432585591867,-0.0006655987161672261,-0.0006655987161672261,-0.0006655987161672261,,1.0
2,cross,C,TRI_J,bracket_black,1,0.01964036749476019,0.01964036749476019,0.01964036749476019,0.0015847893087871864,0.0015847893087871864,0.0015847893087871864,,0.0
2,cross,C,TRI_J,bracket_brown,1,0.041213403728087676,0.041213403728087676,0.041213403728087676,0.0039110377975035485,0.0039110377975035485,0.0039110377975035485,,0.0
2,cross,C,TRI_J,bracket_white,1,0.14300955485670364,0.14300955485670364,0.14300955485670364,-0.00136534309683764,-0.00136534309683764,-0.00136534309683764,,1.0
2,cross,C,TRI_J,connector,1,0.2527218440816359,0.2527218440816359,0.2527218440816359,0.004847731957808299,0.004847731957808299,0.004847731957808299,,0.0
2,cross,C,TRI_J,metal_plate,1,0.8625433673363965,0.8625433673363965,0.8625433673363965,-0.009304535984941298,-0.009304535984941298,-0.009304535984941298,,1.0
2,cross,C,TRI_J,tubes,1,0.6853179003360765,0.6853179003360765,0.6853179003360765,-0.00046384356117046277,-0.00046384356117046277,-0.00046384356117046277,,1.0
2,cross,S,BAL_J,bracket_black,1,0.013206493437520648,0.013206493437520648,0.013206493437520648,0.0001638070598369533,0.0001638070598369533,0.0001638070598369533,,0.0
2,cross,S,BAL_J,bracket_brown,1,0.03809448995282097,0.03809448995282097,0.03809448995282097,0.0027968089765616835,0.0027968089765616835,0.0027968089765616835,,0.0
2,cross,S,BAL_J,bracket_white,1,0.18819653044021148,0.18819653044021148,0.18819653044021148,0.06045403626564344,0.06045403626564344,0.06045403626564344,,0.0
2,cross,S,BAL_J,connector,1,0.16313653801798925,0.16313653801798925,0.16313653801798925,-0.08170559937383151,-0.08170559937383151,-0.08170559937383151,,1.0
2,cross,S,BAL_J,metal_plate,1,0.8769819453630034,0.8769819453630034,0.8769819453630034,-0.024901145904165034,-0.024901145904165034,-0.024901145904165034,,1.0
2,cross,S,BAL_J,tubes,1,0.6834488245675041,0.6834488245675041,0.6834488245675041,-0.012060032707849833,-0.012060032707849833,-0.012060032707849833,,1.0
