shot,category,method,image_class,n_images,mean_of_image_means,p05_of_image_means,p25_of_image_means,median_of_image_means,p75_of_image_means,p95_of_image_means,max_of_image_means,mean_of_image_p95,mean_of_image_max
2,bracket_black,A1_G,normal,32,0.012115189741052745,0.010837388881191146,0.011168326454935595,0.011784777641878463,0.013075249269604683,0.013908465395797976,0.014063921116758138,0.035835837991908176,0.08835684787482023
2,bracket_black,A1_G,abnormal,47,0.01075164617740232,0.009324834239669145,0.009999318353948183,0.010800252464832738,0.01139989832881838,0.012549740192480384,0.013045389408944175,0.03375443229649927,0.0914291409735984
2,bracket_black,A1_G,all,79,0.01130396762090629,0.009460028255125508,0.01043913618195802,0.011180169793078676,0.01203299278859049,0.013656007559620775,0.014063921116758138,0.034597533337677566,0.09018466781966294
2,bracket_black,TRI_G,normal,32,0.015674543419251563,0.01446214340392089,0.014895053702048244,0.015578098702007992,0.01645567692662553,0.0171516740233983,0.01729894663549203,0.039355621504364516,0.0914564048871398
2,bracket_black,TRI_G,abnormal,47,0.013654765006254394,0.011927541996647051,0.012607768793941432,0.01386936627295654,0.014677870893365252,0.015110428784009854,0.015437242904226878,0.03689871537400052,0.09401640819108233
2,bracket_black,TRI_G,all,79,0.01447290309759502,0.011975619583563458,0.013668463812791742,0.014678851964617934,0.01542225105322359,0.01672964971849069,0.01729894663549203,0.03789391785718594,0.09297944482746004
2,bracket_black,BAL_G,normal,32,0.015933226087327057,0.014538952975999563,0.014955141094105784,0.015743259435112122,0.016732569711166434,0.017766337981447576,0.01782259254832752,0.03992210042197255,0.0909073194488883
2,bracket_black,BAL_G,abnormal,47,0.014032108658129606,0.012241914792684837,0.013043000632023904,0.01409707589482423,0.015033612711704336,0.015655550122028218,0.01645023851597216,0.03772595583441408,0.09311449717968068
2,bracket_black,BAL_G,all,79,0.014802181540842499,0.012331374177301768,0.013815486054227222,0.014908806260791607,0.015608856250764802,0.017494175457977688,0.01782259254832752,0.03861553338886814,0.09222045050391668
2,bracket_brown,A1_G,normal,26,0.009088610810487388,0.0076423593709478155,0.00847614076337777,0.008943725042627193,0.009729071462061256,0.01054734811623348,0.011537854472408071,0.031182497052045947,0.08477548108651088
2,bracket_brown,A1_G,abnormal,51,0.009987072457043528,0.00886955001624301,0.009358538954984397,0.009858213597908616,0.010380343912402168,0.011446956879808567,0.012385529553284869,0.03083016028006869,0.0840304365345076
2,bracket_brown,A1_G,all,77,0.009683695797167428,0.008134644402889534,0.00904604367678985,0.009753734280820936,0.010229152860119939,0.01129616962862201,0.012385529553284869,0.030949131138138932,0.08428201001959962
2,bracket_brown,TRI_G,normal,26,0.011053410671698098,0.008767548534592606,0.01045482159668154,0.011236687092036846,0.011668614240534225,0.012972910942380622,0.013356193478102796,0.03325130638953008,0.09241941370643102
2,bracket_brown,TRI_G,abnormal,51,0.012713050029574065,0.011505174281978725,0.011969702937449256,0.012688364612586156,0.013161820592813456,0.014231857097684042,0.015401041824588901,0.03446803435537159,0.08920025620974746
2,bracket_brown,TRI_G,all,77,0.012152652324317245,0.009709261223270005,0.011491246189507365,0.012213522759338957,0.0129713678625194,0.013999899527516391,0.015401041824588901,0.0340571911461264,0.09028724445538087
2,bracket_brown,BAL_G,normal,26,0.011440179287791789,0.009365036534290994,0.01074998679177952,0.011597720622376073,0.012122002110118046,0.013258914979815017,0.014026952761923894,0.03377763955638957,0.08931836715111366
2,bracket_brown,BAL_G,abnormal,51,0.012968205496173479,0.011708610167261213,0.012226182814629283,0.01292964004096575,0.013506563322152942,0.014634295221185312,0.015583246684400365,0.03450828190235528,0.08820463979945463
2,bracket_brown,BAL_G,all,77,0.012452248594642,0.010200348420767114,0.011752048871130683,0.012419047561706975,0.013263884873595089,0.014318464475218206,0.015583246684400365,0.03426157149982141,0.0885807035805343
2,bracket_white,A1_G,normal,30,0.009918776756967418,0.007935124789946712,0.009372954598802608,0.01002180459909141,0.010661754487955477,0.011526226614660118,0.011886424792464823,0.03328758200009663,0.09207464853922526
2,bracket_white,A1_G,abnormal,30,0.010760946391383187,0.00950541978381807,0.010304927338438574,0.010789499909151345,0.011273974247160368,0.011962225953175221,0.012051565427100286,0.03310772081216174,0.08755483627319335
2,bracket_white,A1_G,all,60,0.010339861574175302,0.00852399118593894,0.009680944545834791,0.010476489245775156,0.011067418941820506,0.011888255571830087,0.012051565427100286,0.03319765140612918,0.0898147424062093
2,bracket_white,TRI_G,normal,30,0.011908524618570481,0.008781723473089188,0.011240584364486494,0.012140328267150835,0.012901985312737452,0.01412521396291595,0.014361662208102643,0.03552432400484878,0.09409423271814982
2,bracket_white,TRI_G,abnormal,30,0.013921947195240137,0.01242248507548993,0.0132909651817954,0.014141482472268763,0.01454346256741701,0.014954921204798665,0.015273396278644213,0.037415979634970405,0.09694495474298795
2,bracket_white,TRI_G,all,60,0.012915235906905308,0.009808094368952424,0.012074051910190065,0.012963083609520254,0.014263078461681289,0.014862275031418903,0.015273396278644213,0.03647015181990958,0.09551959373056888
2,bracket_white,BAL_G,normal,30,0.012384287628810853,0.009538811293168692,0.011657768525765277,0.012649215168494266,0.013298212725203484,0.014551009341812459,0.014748413756024092,0.036305421913663524,0.09475185374418894
2,bracket_white,BAL_G,abnormal,30,0.014104278249821316,0.01258748998225201,0.01365463852926041,0.014286999539763201,0.014682172404718585,0.015172716747474623,0.015304130836739205,0.03688998110592363,0.09733996043602626
2,bracket_white,BAL_G,all,60,0.013244282939316085,0.010585785967850826,0.012409613849740708,0.013377332099480554,0.014469744284724584,0.01496076467083185,0.015304130836739205,0.03659770150979358,0.0960459070901076
2,connector,A1_G,normal,30,0.01061608683085069,0.008273812338302378,0.010127627625479363,0.010877161112148315,0.01145293941226555,0.012023813590349163,0.012197069940157235,0.03462938954432803,0.09977748095989228
2,connector,A1_G,abnormal,14,0.011566223957093566,0.010800244007259607,0.011429057398345321,0.011562860308913514,0.01174517836625455,0.012274106878612656,0.012413738062605262,0.03587274157575195,0.09599773798670087
