shot,category,method,image_class,n_images,mean_of_image_means,p05_of_image_means,p25_of_image_means,median_of_image_means,p75_of_image_means,p95_of_image_means,max_of_image_means,mean_of_image_p95,mean_of_image_max
2,connector,A1_G,all,44,0.010918403189200697,0.008332476114446763,0.010666534355550539,0.011249975505052134,0.011624558574112598,0.012185658323869576,0.012413738062605262,0.03502500155432655,0.09857483546842229
2,connector,TRI_G,normal,30,0.012780620918336656,0.009469323663211071,0.012142916669745318,0.01321084694950514,0.013879150787033723,0.014735926665196075,0.014969731057590252,0.03762894154836731,0.11212567885716757
2,connector,TRI_G,abnormal,14,0.014135359036864819,0.013435334698669976,0.013586271518192916,0.013993617162896044,0.014594761166335957,0.015154172318761993,0.015487401210521057,0.039602697534220535,0.1075671815446445
2,connector,TRI_G,all,44,0.013211673956050163,0.009562192591454277,0.01262260184751085,0.013592916948482525,0.014065248827478172,0.014953303956622222,0.015487401210521057,0.038256954816593344,0.11067524789409204
2,connector,BAL_G,normal,30,0.013279580862338965,0.01009854374351562,0.01261515943770064,0.013743441959377378,0.014298243917437503,0.015130343321652615,0.015386812403448857,0.038530789042512545,0.10556308180093765
2,connector,BAL_G,abnormal,14,0.014626668439762267,0.013863632913853507,0.014182792001520284,0.014512230329273734,0.015059367968206061,0.015608934986812529,0.015881613027886488,0.040312535049659856,0.10512665233441762
2,connector,BAL_G,all,44,0.013708199636973652,0.010202370774641168,0.013239475349109853,0.014082788344239816,0.014596943321521394,0.015385181348392507,0.015881613027886488,0.03909770822660487,0.10542421787977219
2,metal_plate,A1_G,normal,26,0.011343931335991679,0.010605318057059776,0.01090030154591659,0.011295611548121087,0.011686459482007194,0.012265886791283265,0.012471395573811606,0.03566116914153097,0.09801394091202663
2,metal_plate,A1_G,abnormal,71,0.012889373330579755,0.011430683720391244,0.012200690907775424,0.012805872829630971,0.013565456785727292,0.014448705172981136,0.014927562850061804,0.041082502985504296,0.09619783683561943
2,metal_plate,A1_G,all,97,0.012475131146463364,0.010796477610711008,0.011594796320423484,0.01246412837645039,0.013313293398823589,0.014333387382794171,0.014927562850061804,0.039629361955160924,0.0966846276189863
2,metal_plate,TRI_G,normal,26,0.014128042707284294,0.013488306655972337,0.01369506468427062,0.014128312542084132,0.014412576992413051,0.015018319929879453,0.015173378998042608,0.03875427781246028,0.09594939849697627
2,metal_plate,TRI_G,abnormal,71,0.014859113578284091,0.013614010591027181,0.01420531822486737,0.014822169959643361,0.015393694989597861,0.016311321588091232,0.016908771493945096,0.04143938484116337,0.09826183780817918
2,metal_plate,TRI_G,all,97,0.014663156437603733,0.013506996616251854,0.014069751444367284,0.014545903167800134,0.015173378998042608,0.016274296413939737,0.016908771493945096,0.040719665431407905,0.09764200871445469
2,metal_plate,BAL_G,normal,26,0.014241789343381802,0.01356374217721168,0.013892530114389956,0.014103547771810554,0.014553306111338316,0.015331188351410674,0.01543701828632038,0.038648856116028925,0.0952900040608186
2,metal_plate,BAL_G,abnormal,71,0.015437155524408117,0.014100548760325182,0.014693088480271399,0.015322866471251473,0.016067181117250584,0.017129190164268948,0.017537201158120297,0.043264061327971184,0.09534033020617257
2,metal_plate,BAL_G,all,97,0.0151167480944423,0.013649792328942567,0.01438392158888746,0.015053678493131883,0.01584925697534345,0.016900925460504368,0.017537201158120297,0.042026996013429956,0.09532684072391275
2,tubes,A1_G,normal,32,0.009096803022657696,0.008393926020653452,0.008762466350162867,0.009035044655320235,0.009394086635438725,0.009889660154294688,0.010210571752395481,0.028270829562097775,0.08681548666208982
2,tubes,A1_G,abnormal,69,0.009720327918910409,0.009037044161232188,0.009380132250953466,0.009640086063882336,0.01005827312474139,0.01058702616719529,0.010897439438849688,0.029464116692543015,0.08490004012550133
2,tubes,A1_G,all,101,0.009522775476533312,0.008669782022479922,0.009145240823272616,0.00955635795253329,0.009871543879853562,0.010461243218742311,0.010897439438849688,0.02908604552250096,0.08550691427570759
2,tubes,TRI_G,normal,32,0.01165179661561666,0.010749858722965655,0.011351126428337466,0.011640549059620753,0.011845945797404056,0.012638408295515546,0.013408469633304776,0.03206973970518446,0.07920954981818795
2,tubes,TRI_G,abnormal,69,0.012456546594546746,0.011537312973359803,0.011872025979300815,0.012274868662643712,0.013023254419294972,0.013867215054415282,0.014053950586458086,0.03319974799869931,0.08165540664956189
2,tubes,TRI_G,all,101,0.01220157630419266,0.011192895664180469,0.011643746676327282,0.012056193473426902,0.012697706458311586,0.013746135832661821,0.014053950586458086,0.03284172556907085,0.08088048171288896
2,tubes,BAL_G,normal,32,0.011927434897643252,0.011027786001068306,0.011554181328392588,0.011946408390940633,0.012138890258938773,0.012894748005783186,0.0135675135825295,0.0321800598874688,0.08552681375294924
2,tubes,BAL_G,abnormal,69,0.01279550490574405,0.011877988674677908,0.012277079382329248,0.012555967856314965,0.013266471331007779,0.014140877942554652,0.01441122051619459,0.033348424527524165,0.08582704633042432
2,tubes,BAL_G,all,101,0.01252047282396954,0.011371040178346448,0.011977840040344745,0.01236850133864209,0.013031221620622091,0.01402354812307749,0.01441122051619459,0.03297824959206108,0.08573192313756092
4,bracket_black,A1_G,normal,32,0.011778884707382531,0.009022072666266468,0.01109837599506136,0.011683214441291057,0.012716788129182532,0.013635888013232034,0.013671261462150142,0.03620431101880965,0.09717033989727497
4,bracket_black,A1_G,abnormal,47,0.010459392650444259,0.009165825601667166,0.00956812858930789,0.010209166124695912,0.010866331402212381,0.013205547939287497,0.013700305862585083,0.03338676706907595,0.0905854898564359
4,bracket_black,A1_G,all,79,0.010993870445659762,0.009140759793808684,0.009886094005196355,0.01076028257375583,0.011951155771384947,0.013622016919543966,0.013700305862585083,0.03452805069428453,0.09325277088563654
4,bracket_black,TRI_G,normal,32,0.015002079873646323,0.0113507010440685,0.014431537277573625,0.015097112928970091,0.016304672376463714,0.017188694927585856,0.017695793867460452,0.03894795026862992,0.09807881549932063
4,bracket_black,TRI_G,abnormal,47,0.013225820572052785,0.011911272896077208,0.012447343088297202,0.013164249744932022,0.013743237893777405,0.015239864853992912,0.016281448213703698,0.03610644046058678,0.09753560274839401
4,bracket_black,TRI_G,all,79,0.013945318010672952,0.011899051509453784,0.012629664537371355,0.01372369766158954,0.015097112928970091,0.016935904394722454,0.017695793867460452,0.03725743177523717,0.09775563829307314
4,bracket_black,BAL_G,normal,32,0.015352001373685198,0.011971467618423048,0.014876255710987607,0.015414739798870869,0.016659725239151157,0.01761999988957541,0.017986849779845215,0.0396783401025459,0.09784894110634923
4,bracket_black,BAL_G,abnormal,47,0.013637098427391314,0.012092298940115143,0.01267571350763319,0.013495562481693923,0.014271170686697587,0.016354080350720324,0.01718078862177208,0.03695640909544962,0.09473969708097742
4,bracket_black,BAL_G,all,79,0.014331742658801494,0.012084054133447352,0.012901986454380676,0.014020843780599535,0.01542755479022162,0.017195525595161597,0.017986849779845215,0.03805896342743799,0.09599913769884955
4,bracket_brown,A1_G,normal,26,0.0083628519026276,0.006437284922867548,0.00774829275906086,0.008423432052950375,0.009123430849285796,0.009646776314184535,0.011309750087093562,0.028106035521397208,0.07891737727018502
4,bracket_brown,A1_G,abnormal,51,0.00938750040836121,0.00794996798504144,0.008741578756598756,0.009285690990509465,0.009933366614859551,0.011299712117761374,0.012201159435790032,0.028558037123259356,0.0779310587574454
4,bracket_brown,A1_G,all,77,0.009041515198632978,0.007295154349412769,0.008421453618211672,0.009063924517249689,0.009653964429162443,0.011201868334319442,0.012201159435790032,0.028405413205747458,0.0782641013721367
4,bracket_brown,TRI_G,normal,26,0.010461565130360494,0.0076455824248569115,0.009669184198912717,0.01063550675200986,0.011354533955227453,0.012770452922950426,0.01328912379221947,0.03064147267992105,0.08708757878496097
4,bracket_brown,TRI_G,abnormal,51,0.012364294302419605,0.010908591660836464,0.011632564908040877,0.012411558707754011,0.012937475273929522,0.013952847546988778,0.014842990131910483,0.03264112385975962,0.09579386277233853
4,bracket_brown,TRI_G,all,77,0.011721814322243802,0.00872452908984087,0.010993418781708897,0.011836817186804183,0.012820482800179889,0.013657191601487284,0.014842990131910483,0.03196591696786608,0.09285407856880844
4,bracket_brown,BAL_G,normal,26,0.010677477442256462,0.007983622930623824,0.009930391915986547,0.010730104513640981,0.011548441583727254,0.012844344622862991,0.013943842001026496,0.031014989860928963,0.08346304698632313
4,bracket_brown,BAL_G,abnormal,51,0.012445387738361936,0.010891811274632346,0.011629281121713575,0.012424563130480237,0.013017952507652808,0.014356742911331821,0.01542982090904843,0.032108036457907906,0.08623144381186541
4,bracket_brown,BAL_G,all,77,0.011848431015001647,0.009028206788934767,0.011044335071346723,0.011955598471104167,0.012879682923085056,0.01398716220573988,0.01542982090904843,0.03173895578879814,0.08529666046817581
4,bracket_white,A1_G,normal,30,0.008899111316228907,0.006940397633297834,0.008228482016420458,0.009087761849514209,0.00969417408487061,0.010517050113412552,0.010748448868980631,0.030605861097574218,0.09011362195014953
4,bracket_white,A1_G,abnormal,30,0.010101756018896898,0.009094858485332225,0.009709372403449379,0.01007175981067121,0.010349294869229198,0.011239887076953892,0.011514890677062795,0.030692705760399487,0.08032242655754089
4,bracket_white,A1_G,all,60,0.009500433667562902,0.007461426226655021,0.009013683971716091,0.009704719384899363,0.01020899553259369,0.010820119761046952,0.011514890677062795,0.030649283428986856,0.08521802425384521
4,bracket_white,TRI_G,normal,30,0.010897509195808652,0.007990613741753805,0.009868110152126519,0.011104352783149807,0.0118037322664577,0.013358423050181045,0.013703501037525712,0.03312360096101958,0.09205037839710713
4,bracket_white,TRI_G,abnormal,30,0.013394184446845732,0.011931747076278042,0.012601674369420834,0.013491786779468384,0.01413852327755194,0.014404905205697104,0.01581117694695422,0.03478390817220011,0.08981046887735526
4,bracket_white,TRI_G,all,60,0.012145846821327192,0.008409400776292842,0.011113454448604898,0.012500021995492716,0.013603571726434893,0.014345033000336115,0.01581117694695422,0.03395375456660985,0.0909304236372312
4,bracket_white,BAL_G,normal,30,0.011230307330940074,0.008574808709818171,0.01029891010693973,0.011344598337018397,0.01205649954135879,0.013479382423975039,0.013787927018711343,0.03382897973060606,0.0915810525417328
4,bracket_white,BAL_G,abnormal,30,0.01347114747671488,0.01216348509406089,0.012851368028350407,0.013512736550183035,0.014059925313631538,0.014388578580110334,0.015793330458109267,0.034723549236853904,0.08587484955787658
4,bracket_white,BAL_G,all,60,0.012350727403827477,0.009211290913663106,0.011349550517479656,0.012687361602729652,0.013599687092209933,0.014259161554946331,0.015793330458109267,0.03427626448372998,0.08872795104980469
4,connector,A1_G,normal,30,0.009301274507500542,0.007989542628638446,0.008454486865957733,0.008949707524152473,0.010034178449132014,0.011256231179868336,0.011770111188525334,0.03089542374014853,0.09107523262500763
4,connector,A1_G,abnormal,14,0.010381582768916684,0.009525069320807234,0.009953472472261637,0.010259586022584699,0.01083904541155789,0.011350534012308344,0.011790969496360049,0.033156602510384124,0.09343621134757996
4,connector,A1_G,all,44,0.00964500895431477,0.008084408583818004,0.008755519877013285,0.009688415506388992,0.010392205440439284,0.011413073116273154,0.011790969496360049,0.031614889712496215,0.09182645312764427
4,connector,TRI_G,normal,30,0.01129936749019483,0.009224027946652313,0.009942770114548694,0.010703350458470595,0.012210060205518403,0.01427395987999489,0.01474397819947626,0.033892613677307934,0.10424085309108098
4,connector,TRI_G,abnormal,14,0.012963267601402808,0.012035378315522394,0.012185044657485378,0.012838491638376581,0.013620709728229485,0.014203329376982765,0.014954074119941652,0.03624371497758795,0.09745368893657412
4,connector,TRI_G,all,44,0.011828790252851914,0.009314835833447433,0.01055382171864494,0.01201427446312664,0.013393325327342609,0.014374682539698825,0.014954074119941652,0.03464069136376068,0.10208130086010153
4,connector,BAL_G,normal,30,0.01162806461264457,0.00971329310341389,0.010250592975353356,0.01113637426897185,0.01249252362322295,0.014455288666067644,0.014904086361639202,0.03444972073038417,0.09908402661482493
4,connector,BAL_G,abnormal,14,0.013197960353863891,0.012310325492580886,0.012428897553036222,0.013119086899678223,0.013825019443174824,0.01442579941067379,0.015162923751631752,0.03629244832055907,0.0952963616166796
4,connector,BAL_G,all,44,0.012127576893941627,0.009869844513741555,0.010944001147436211,0.012345591036137193,0.013523854224331444,0.014605916285654531,0.015162923751631752,0.03503604314543983,0.09787886047905142
4,metal_plate,A1_G,normal,26,0.01069467223826975,0.010087440183269791,0.010383949680544902,0.010662521468475461,0.011001798098732252,0.011366418875695672,0.011564203363377601,0.03348121918164765,0.09086413452258477
4,metal_plate,A1_G,abnormal,71,0.011805062304811657,0.010823588920175098,0.01124378462554887,0.011678403767291456,0.012384823363390751,0.01313871804450173,0.013747952121775597,0.03669990108046732,0.08735199881271577
4,metal_plate,A1_G,all,97,0.011507431977697331,0.010248332389164717,0.010981264465954155,0.011376592592569068,0.011937021685298532,0.013010888709686695,0.013747952121775597,0.03583716160243317,0.08829339601329922
4,metal_plate,TRI_G,normal,26,0.013367645859725249,0.012654924729531558,0.012983865173566755,0.01330184656342226,0.013680386329042449,0.014134246544756479,0.014823933682691859,0.036550505924969896,0.10311232994382198
4,metal_plate,TRI_G,abnormal,71,0.01462564149423869,0.013541517773091982,0.014049087006014815,0.014518077715820255,0.015115998223109273,0.016089447861759254,0.016997961578454124,0.03977272425266637,0.11015459401926524
4,metal_plate,TRI_G,all,97,0.014288446788080448,0.012951499449172843,0.013626172417843918,0.01416730481923878,0.014848620799511991,0.015935644182627582,0.016997961578454124,0.03890903686586113,0.10826697684440416
4,metal_plate,BAL_G,normal,26,0.013485902231388116,0.012709529117273632,0.013188952027121559,0.013403222656052094,0.013819588926708093,0.014321864258818096,0.014968716030125506,0.03694962291763377,0.09799505254397026
4,metal_plate,BAL_G,abnormal,71,0.0149033126797573,0.013770478282822296,0.014268386148614809,0.014825757825747132,0.015452447696588933,0.016344366376870312,0.017022093263221905,0.04033097744407787,0.10076203186747054
4,metal_plate,BAL_G,all,97,0.014523388229678962,0.01316991752537433,0.013830909578246064,0.014472208873485215,0.01507020159624517,0.01628254988172557,0.017022093263221905,0.03942463499369079,0.10002036730653231
4,tubes,A1_G,normal,32,0.00879515973974776,0.008066944770689588,0.008547862715204246,0.008874961276887916,0.00906278866023058,0.009400338455452583,0.009478063991991803,0.02618770445697008,0.07368344906717539
4,tubes,A1_G,abnormal,69,0.009390299311380131,0.008654400438535959,0.008968558599008247,0.009261060593416914,0.009791168995434418,0.010486597853014243,0.010797901806654409,0.027588532541109156,0.07292119748350503
4,tubes,A1_G,all,101,0.009201740239179777,0.008384749409742653,0.008859183959430084,0.009113859065109864,0.009519844374153763,0.010257947287755087,0.010797901806654409,0.027144705821381922,0.07316270293575702
4,tubes,TRI_G,normal,32,0.01149015313617241,0.010612589208733425,0.011133891527265405,0.011478625549216304,0.011889682145351799,0.012394475007863549,0.012716386440843053,0.03063413437921552,0.07451190741267055
4,tubes,TRI_G,abnormal,69,0.012364286828065762,0.011289149484855442,0.01176498648010238,0.012062828838679707,0.012933926737332513,0.014188381586154718,0.0149110443162499,0.03172653444192331,0.08064100475630899
4,tubes,TRI_G,all,101,0.012087333579149057,0.010902790727413958,0.01153028600538164,0.01192993297627254,0.012368660753963923,0.014129597528153681,0.0149110443162499,0.031380427491362425,0.07869911252862156
4,tubes,BAL_G,normal,32,0.011601898182561854,0.01075153654528549,0.011240322521189228,0.011618889460805804,0.01200489967231988,0.012433800782309845,0.012723292587907054,0.02999494664836673,0.07612623600289226
4,tubes,BAL_G,abnormal,69,0.012558119177086062,0.011501023129676468,0.012003513416857459,0.012301799564738758,0.013045998493907973,0.014324775536078959,0.0147626022080658,0.031528855903425065,0.07729210542595905
4,tubes,BAL_G,all,101,0.012255158069910076,0.01110317932034377,0.011639490810921416,0.012104344874387607,0.012516641509137116,0.014142322252155282,0.0147626022080658,0.03104286485231747,0.07692272105429432
