shot,category,method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,any_tie,both_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
2,bracket_black,TRI,image,33,bracket_black/test/hole/001.png,384,372,371,1,0,371,12,0,0,0,0,0.96875,0.9661458333333334,0.0026041666666666665,0.0
2,bracket_black,TRI,image,34,bracket_black/test/hole/002.png,448,442,439,3,0,439,6,0,0,0,0,0.9866071428571429,0.9799107142857143,0.006696428571428571,0.0
2,bracket_black,TRI,image,35,bracket_black/test/hole/003.png,384,361,358,4,1,357,22,0,0,0,0,0.9401041666666666,0.9322916666666666,0.010416666666666666,0.0026041666666666665
2,bracket_black,TRI,image,36,bracket_black/test/hole/004.png,128,110,108,3,1,107,17,0,0,0,0,0.859375,0.84375,0.0234375,0.0078125
2,bracket_black,TRI,image,37,bracket_black/test/hole/005.png,384,381,380,1,0,380,3,0,0,0,0,0.9921875,0.9895833333333334,0.0026041666666666665,0.0
2,bracket_black,TRI,image,38,bracket_black/test/hole/006.png,256,249,250,0,1,249,6,0,0,0,0,0.97265625,0.9765625,0.0,0.00390625
2,bracket_black,TRI,image,39,bracket_black/test/hole/007.png,448,427,419,8,0,419,21,0,0,0,0,0.953125,0.9352678571428571,0.017857142857142856,0.0
2,bracket_black,TRI,image,40,bracket_black/test/hole/008.png,448,443,441,3,1,440,4,0,0,0,0,0.9888392857142857,0.984375,0.006696428571428571,0.002232142857142857
2,bracket_black,TRI,image,41,bracket_black/test/hole/009.png,320,313,310,3,0,310,7,0,0,0,0,0.978125,0.96875,0.009375,0.0
2,bracket_black,TRI,image,42,bracket_black/test/hole/010.png,448,443,441,2,0,441,5,0,0,0,0,0.9888392857142857,0.984375,0.004464285714285714,0.0
2,bracket_black,TRI,image,43,bracket_black/test/hole/011.png,384,383,384,0,1,383,0,0,0,0,0,0.9973958333333334,1.0,0.0,0.0026041666666666665
2,bracket_black,TRI,image,44,bracket_black/test/scratches/000.png,384,382,383,0,1,382,1,0,0,0,0,0.9947916666666666,0.9973958333333334,0.0,0.0026041666666666665
2,bracket_black,TRI,image,45,bracket_black/test/scratches/001.png,448,448,448,0,0,448,0,0,0,0,0,1.0,1.0,0.0,0.0
2,bracket_black,TRI,image,46,bracket_black/test/scratches/002.png,512,503,504,0,1,503,8,0,0,0,0,0.982421875,0.984375,0.0,0.001953125
2,bracket_black,TRI,image,47,bracket_black/test/scratches/003.png,512,512,512,0,0,512,0,0,0,0,0,1.0,1.0,0.0,0.0
2,bracket_black,TRI,image,48,bracket_black/test/scratches/004.png,640,628,629,0,1,628,11,0,0,0,0,0.98125,0.9828125,0.0,0.0015625
2,bracket_black,TRI,image,49,bracket_black/test/scratches/005.png,576,551,551,1,1,550,24,0,0,0,0,0.9565972222222222,0.9565972222222222,0.001736111111111111,0.001736111111111111
2,bracket_black,TRI,image,50,bracket_black/test/scratches/006.png,512,506,504,2,0,504,6,0,0,0,0,0.98828125,0.984375,0.00390625,0.0
2,bracket_black,TRI,image,51,bracket_black/test/scratches/007.png,448,438,439,0,1,438,9,0,0,0,0,0.9776785714285714,0.9799107142857143,0.0,0.002232142857142857
2,bracket_black,TRI,image,52,bracket_black/test/scratches/008.png,448,447,447,0,0,447,1,0,0,0,0,0.9977678571428571,0.9977678571428571,0.0,0.0
2,bracket_black,TRI,image,53,bracket_black/test/scratches/009.png,512,487,490,1,4,486,21,0,0,0,0,0.951171875,0.95703125,0.001953125,0.0078125
2,bracket_black,TRI,image,54,bracket_black/test/scratches/010.png,512,448,445,6,3,442,61,0,0,0,0,0.875,0.869140625,0.01171875,0.005859375
2,bracket_black,TRI,image,55,bracket_black/test/scratches/011.png,320,310,312,0,2,310,8,0,0,0,0,0.96875,0.975,0.0,0.00625
2,bracket_black,TRI,image,56,bracket_black/test/scratches/012.png,320,309,313,0,4,309,7,0,0,0,0,0.965625,0.978125,0.0,0.0125
2,bracket_black,TRI,image,57,bracket_black/test/scratches/013.png,320,313,314,0,1,313,6,0,0,0,0,0.978125,0.98125,0.0,0.003125
2,bracket_black,TRI,image,58,bracket_black/test/scratches/014.png,576,522,515,9,2,513,52,0,0,0,0,0.90625,0.8940972222222222,0.015625,0.003472222222222222
2,bracket_black,TRI,image,59,bracket_black/test/scratches/015.png,448,393,379,18,4,375,51,0,0,0,0,0.8772321428571429,0.8459821428571429,0.04017857142857143,0.008928571428571428
2,bracket_black,TRI,image,60,bracket_black/test/scratches/016.png,448,385,366,20,1,365,62,0,0,0,0,0.859375,0.8169642857142857,0.044642857142857144,0.002232142857142857
