shot,contrast,metric,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates
2,B - A1_J,pixel_auroc,-0.011540447830643119,-0.011530039728337375,-0.013839003229390528,-0.009050317749565457,1.0,1000
2,B - A1_J,pixel_ap,-0.028095925677589006,-0.026366471817656303,-0.04077677437010247,-0.013493664252123153,1.0,1000
2,B - A1_J,image_auroc,-0.037206313168449356,-0.03686789651843161,-0.056799976956164996,-0.016237251154822094,0.999,1000
2,B - A1_J,image_ap,-0.044517924834691636,-0.04035408778276946,-0.06834797931940999,-0.013604355895762893,1.0,1000
2,S - A1_J,pixel_auroc,-0.0027544299607240585,-0.002769762111733723,-0.00616824938203559,0.00044437833989193165,0.955,1000
2,S - A1_J,pixel_ap,-0.04097866478782747,-0.03999735453525132,-0.06009822052768358,-0.01814420097426105,1.0,1000
2,S - A1_J,image_auroc,-0.043813420511194856,-0.04386967199565769,-0.07395756165670217,-0.011812619273478943,0.998,1000
2,S - A1_J,image_ap,-0.03781249545367937,-0.037193887723903654,-0.07388721233954826,-0.0009134172263990162,0.977,1000
2,C - A1_J,pixel_auroc,-0.0022354477390190697,-0.00229910182475703,-0.006695822288271616,0.0021076448731617388,0.837,1000
2,C - A1_J,pixel_ap,-0.07100608699657501,-0.07058152087217906,-0.09383354661678955,-0.04846064486891237,1.0,1000
2,C - A1_J,image_auroc,-0.018310474165550983,-0.018506800217108002,-0.058802598537754436,0.024368487382626338,0.821,1000
2,C - A1_J,image_ap,-0.006756195467194859,-0.009234550301593803,-0.060755570116317145,0.04350700354979643,0.636,1000
2,TRI_J - A1_J,pixel_auroc,-0.00035689567560837077,-0.0003693418704426246,-0.0016426549525696665,0.0009184933258926273,0.723,1000
2,TRI_J - A1_J,pixel_ap,-0.009501083263522059,-0.009990283400710353,-0.021369516230104295,0.003435010744472702,0.926,1000
2,TRI_J - A1_J,image_auroc,-0.009997480263403635,-0.01033138363557849,-0.029616364156474437,0.007841179430917987,0.862,1000
2,TRI_J - A1_J,image_ap,-0.01370331027824756,-0.01407723233135943,-0.04221382758675327,0.011069467319183604,0.862,1000
2,BAL_J - A1_J,pixel_auroc,0.0022067337147299027,0.0021980860243528775,0.0008607422893321782,0.0035919257609103635,0.0,1000
2,BAL_J - A1_J,pixel_ap,-0.0073210255884648134,-0.007820333716272217,-0.01787923845963206,0.0013117903978202329,0.961,1000
2,BAL_J - A1_J,image_auroc,-0.0007424493058367787,-0.0009912354893624987,-0.02133333122268929,0.016110436232007624,0.533,1000
2,BAL_J - A1_J,image_ap,-0.006367614559577572,-0.006860492506724992,-0.03481179266043727,0.018558141279128346,0.711,1000
2,DUP_J - A1_J,pixel_auroc,-0.003668426339338504,-0.0036640302421002157,-0.004632508080057404,-0.0026797135611005968,1.0,1000
2,DUP_J - A1_J,pixel_ap,-0.008451889696791781,-0.008304389780945144,-0.014766880862667213,-0.0028386691778241623,0.996,1000
2,DUP_J - A1_J,image_auroc,-0.013998306265270322,-0.013846672579776861,-0.025653710543971094,-0.001903936456555119,0.989,1000
2,DUP_J - A1_J,image_ap,-0.02549588946943726,-0.02130235841664075,-0.040208098009845566,-0.0028025907555211654,0.988,1000
2,DUP_BAL_J - A1_J,pixel_auroc,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_BAL_J - A1_J,pixel_ap,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_BAL_J - A1_J,image_auroc,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_BAL_J - A1_J,image_ap,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_EXPECTED_J - A1_J,pixel_auroc,-0.003668426339338504,-0.0036640302421002157,-0.004632508080057404,-0.0026797135611005968,1.0,1000
2,DUP_EXPECTED_J - A1_J,pixel_ap,-0.008451889696791781,-0.008304389780945144,-0.014766880862667213,-0.0028386691778241623,0.996,1000
2,DUP_EXPECTED_J - A1_J,image_auroc,-0.013998306265270322,-0.013846672579776861,-0.025653710543971094,-0.001903936456555119,0.989,1000
2,DUP_EXPECTED_J - A1_J,image_ap,-0.02549588946943726,-0.02130235841664075,-0.040208098009845566,-0.0028025907555211654,0.988,1000
