shot,contrast,metric,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates
4,B - A1_J,pixel_auroc,-0.008964763657227426,-0.00888577862470147,-0.011081057678625685,-0.00707596654074216,1.0,1000
4,B - A1_J,pixel_ap,-0.026344238822516464,-0.024161455301390227,-0.03480621945699298,-0.01319265228345457,1.0,1000
4,B - A1_J,image_auroc,-0.016681280057101233,-0.017159620554219157,-0.035998994260771064,0.001513700703086675,0.962,1000
4,B - A1_J,image_ap,-0.018028323226785936,-0.01591672091209576,-0.03693997110324058,0.004509076769545005,0.933,1000
4,S - A1_J,pixel_auroc,1.2034416147721494e-05,-0.00011003865543949277,-0.0030764258044241014,0.0028042561788546635,0.522,1000
4,S - A1_J,pixel_ap,-0.059622032736723896,-0.05854904593414429,-0.08244423627836855,-0.03342090190486418,1.0,1000
4,S - A1_J,image_auroc,-0.05766263929582127,-0.058027388762212445,-0.09094353416404707,-0.027026933973837455,1.0,1000
4,S - A1_J,image_ap,-0.05951880024918521,-0.056688129515390345,-0.09840340683082761,-0.019698195227622835,0.998,1000
4,C - A1_J,pixel_auroc,-0.0004627195269376605,-0.0006211883183004349,-0.004180078503798601,0.00310865979584351,0.631,1000
4,C - A1_J,pixel_ap,-0.1040154916024516,-0.10552182994398457,-0.13283189275703447,-0.08012700552523935,1.0,1000
4,C - A1_J,image_auroc,-0.07590180347778164,-0.07671654113250105,-0.1174009935783971,-0.03772919082381546,1.0,1000
4,C - A1_J,image_ap,-0.07697000438684842,-0.07259349346645136,-0.11863043141165067,-0.02514085085980112,0.999,1000
4,TRI_J - A1_J,pixel_auroc,0.00042551368013354907,0.0003764398439476727,-0.0008010111802063374,0.0015058692280335683,0.257,1000
4,TRI_J - A1_J,pixel_ap,-0.015184825359818743,-0.013882808304180365,-0.028704948959539175,0.0037877781526738045,0.933,1000
4,TRI_J - A1_J,image_auroc,-0.01276363811533443,-0.013560017337391993,-0.03094534585031905,0.002837183021207052,0.953,1000
4,TRI_J - A1_J,image_ap,-0.014523629614865086,-0.014445513435329073,-0.03757003688135623,0.0048465056874549455,0.913,1000
4,BAL_J - A1_J,pixel_auroc,0.002420343992101892,0.002346934478170815,0.0011016268910573224,0.003682545578454613,0.0,1000
4,BAL_J - A1_J,pixel_ap,-0.010200050744054667,-0.009625660541501766,-0.02337594996682551,0.005599771595646592,0.907,1000
4,BAL_J - A1_J,image_auroc,-0.008704812271532858,-0.009173846856851343,-0.026346719884712176,0.005450088921792961,0.887,1000
4,BAL_J - A1_J,image_ap,-0.013834805834419206,-0.01319924831198042,-0.03400058682121735,0.005378521925314156,0.927,1000
4,DUP_J - A1_J,pixel_auroc,-0.003037471476794229,-0.003002275209423814,-0.003952507210912179,-0.0022073653026498056,1.0,1000
4,DUP_J - A1_J,pixel_ap,-0.008222025765967311,-0.0072957489970695115,-0.012340808734658395,-0.001532226116150669,0.993,1000
4,DUP_J - A1_J,image_auroc,-0.0027353420692581842,-0.0029070500967196215,-0.013663437862472391,0.009105563873227572,0.725,1000
4,DUP_J - A1_J,image_ap,-0.002484718589142565,-0.0013061786507985152,-0.01314451469630725,0.012412963522411623,0.609,1000
4,DUP_BAL_J - A1_J,pixel_auroc,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_BAL_J - A1_J,pixel_ap,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_BAL_J - A1_J,image_auroc,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_BAL_J - A1_J,image_ap,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_EXPECTED_J - A1_J,pixel_auroc,-0.003037471476794229,-0.003002275209423814,-0.003952507210912179,-0.0022073653026498056,1.0,1000
4,DUP_EXPECTED_J - A1_J,pixel_ap,-0.008222025765967311,-0.0072957489970695115,-0.012340808734658395,-0.001532226116150669,0.993,1000
4,DUP_EXPECTED_J - A1_J,image_auroc,-0.0027353420692581842,-0.0029070500967196215,-0.013663437862472391,0.009105563873227572,0.725,1000
4,DUP_EXPECTED_J - A1_J,image_ap,-0.002484718589142565,-0.0013061786507985152,-0.01314451469630725,0.012412963522411623,0.609,1000
