category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_candle,200,0.8914000000000001,0.9096047902335769,0.8186528497409327,0.9674234518595398,0.1874102566941414,0.91007904239585
mvtec_capsules,160,0.4388333333333334,0.5833835196858327,0.7692307692307693,0.9026321026677114,0.046671396406739764,0.4084286422937693
mvtec_cashew,150,0.862,0.9302504812193837,0.8663594470046083,0.9731435617900692,0.5390530064024514,0.8690425928650712
mvtec_chewinggum,150,0.9853999999999999,0.9937294718550738,0.9746192893401014,0.9853039702852099,0.5873100343989966,0.7664546568825283
mvtec_fryum,150,0.7474,0.8811368654087091,0.8163265306122449,0.8530579199856334,0.24713502896811784,0.6197981457444425
mvtec_macaroni1,200,0.6344,0.6001492302718535,0.6976744186046512,0.9588390064338281,0.06819966054303792,0.7279338825973772
mvtec_macaroni2,200,0.501,0.5104586756803586,0.6734006734006733,0.8125665690510867,0.0013548232968633445,0.5195822574189374
mvtec_pcb1,200,0.8361000000000001,0.8190776120347102,0.8370044052863436,0.9532420459298437,0.3257171794273746,0.6685336219492433
mvtec_pcb2,200,0.5999000000000001,0.6278530835022875,0.6818181818181819,0.916197857853191,0.07951767008810423,0.6325474558675869
mvtec_pcb3,201,0.7045544554455446,0.7490281609611218,0.6757679180887373,0.9685507774797711,0.39684478151542246,0.6408306331480639
mvtec_pcb4,201,0.931089108910891,0.9135968028611212,0.8858447488584476,0.8817957688985358,0.24150741822250144,0.5213190603114704
mvtec_pipe_fryum,150,0.8852,0.9473258216478924,0.8613861386138614,0.9802762157918821,0.5755165405264933,0.8964339199174712
