dataset,seed,shot,group,metric,contrast,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level
ksdd2,0,1,exploratory,pixel_ap,A1_L - A1_J,0.001953086304925078,0.0019536825630891157,-0.0032121143748001196,0.007209122552834382,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,TRI_L - TRI_J,0.007811850393320108,0.007826567954876133,0.0001838016577426858,0.015471620730109024,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,BAL_L - BAL_J,0.004682222917757994,0.004699681842933844,-0.0023431629639558515,0.011702979542468291,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,DUP_L - DUP_J,0.0014525335861430566,0.001475452003640666,-0.0027949116189106026,0.005443823019731954,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,DUP_J - A1_J,-0.034363568406388656,-0.03572665691340712,-0.05601857779217261,-0.01852369688541603,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,B - A1_J,-0.13244699616250905,-0.13605405502496457,-0.19701001666751097,-0.08508499955842996,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,S - A1_J,-0.2820154392620714,-0.286628162848728,-0.3646782682563538,-0.20822340619873198,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,C - A1_J,-0.1214514847839232,-0.11821495580224467,-0.17192238397164925,-0.05941079017604886,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,TRI_J - DUP_J,-0.008809614973661617,-0.009448176837594047,-0.03611583589897219,0.018453869683279885,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,TRI_L - DUP_L,-0.0024502981664845658,-0.0030970608863585794,-0.029805540101730844,0.0258683188111762,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,BAL_J - A1_J,-0.008095829951244582,-0.008620729636393674,-0.02892607148480329,0.011601877632670007,1000,0.95
ksdd2,0,1,exploratory,pixel_ap,BAL_L - A1_L,-0.0053666933384116655,-0.0058747303565489465,-0.027555993420469955,0.015446439948857818,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,A1_L - A1_J,0.004322677752362836,0.0042994293064985475,-0.000560123423339974,0.009839333331923408,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,TRI_L - TRI_J,0.00920921503475669,0.009096268345039288,0.001054374915907779,0.017269655262451753,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,BAL_L - BAL_J,0.009887118480562451,0.009840979676367028,0.002177437720412115,0.017949842333997573,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,DUP_L - DUP_J,0.0022320301191582903,0.002192869579212923,-0.0013884985564087675,0.006323506435653826,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,DUP_J - A1_J,-0.017491777545280862,-0.018404107689735213,-0.03204862894311407,-0.007096034373891048,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,B - A1_J,-0.08536177984335047,-0.08831892951029624,-0.12916830634864362,-0.05322509638520282,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,S - A1_J,-0.14539599301586226,-0.1489549760673302,-0.2168456065498044,-0.08575781833070019,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,C - A1_J,-0.08824137542549648,-0.08584390966853166,-0.12150791755920519,-0.043972621462259144,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,TRI_J - DUP_J,0.0009848329548121093,0.0007577804317420836,-0.021758188410188305,0.02426058311126898,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,TRI_L - DUP_L,0.00796201787041051,0.007661179197568448,-0.013623925737066212,0.03030926064019038,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,BAL_J - A1_J,-0.0007498101918277378,-0.0012412301422527485,-0.01955702587459483,0.016424270349741307,1000,0.95
ksdd2,0,2,exploratory,pixel_ap,BAL_L - A1_L,0.004814630536371878,0.004300320227615732,-0.012188059733698233,0.020822449186982252,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,A1_L - A1_J,0.003607132215298403,0.003488170179787655,-0.0009632607183270906,0.00847566941314434,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,TRI_L - TRI_J,0.0035497871202332387,0.003477060794030521,-0.00490905200216014,0.010898730802634165,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,BAL_L - BAL_J,0.005947454028379595,0.005880487637116896,-0.001387835613884733,0.012940469976039922,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,DUP_L - DUP_J,-5.008377756055005e-05,-0.00024063960875560702,-0.004276756440122762,0.0036169182238083193,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,DUP_J - A1_J,-0.012349043105199131,-0.013152121582854014,-0.02479432683937155,-0.0029878215668623213,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,B - A1_J,-0.07397329607256964,-0.07678763431367504,-0.11580317221345064,-0.04372420415644327,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,S - A1_J,-0.14001782688128228,-0.14372006834849896,-0.20796939254556798,-0.08311184263284055,1000,0.95
ksdd2,0,4,exploratory,pixel_ap,C - A1_J,-0.09763388600636214,-0.09603156992704727,-0.12889500045715632,-0.05900463873786303,1000,0.95
