dataset,inference,metric,contrast,kind,n_cells,cells,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level,bonferroni_note
ksdd2,A1_average_matching_effect,pixel_ap,A1_L - A1_J,average_over_seeds_and_K,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005009507233666065,0.0049856050654698255,0.0010812296238466189,0.009335875670191333,1000,0.975,two pre-registered inferences use a Bonferroni-adjusted 97.5% interval; intervals are approximate
ksdd2,A1_matching_effect_K8_minus_K1,pixel_ap,A1_L - A1_J,K8_minus_K1,3,s0;s1;s2,0.004411951844397022,0.004607778005751268,0.0001433220508501089,0.010176445802740129,1000,0.975,"pre-registered K=8 minus K=1 change of the matching effect, Bonferroni-adjusted 97.5% interval"
