dataset,seed,shot,method,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_image_ap,macro_image_auroc
ksdd2,0,1,B,1,0.47461386279138024,0.982409778029088,0.5924375411049837,0.8779947122229002
ksdd2,0,1,S,1,0.3250454196918179,0.9746959362792396,0.471680324659031,0.8140024405125076
ksdd2,0,1,C,1,0.4856093741699661,0.9752893929478161,0.7443932019881354,0.8719747813707546
ksdd2,0,1,A1_J,1,0.6070608589538893,0.9879772489014916,0.7651076116561375,0.9066198901769371
ksdd2,0,1,TRI_J,1,0.563887675573839,0.9886612493036842,0.7226838034249001,0.8980882652023592
ksdd2,0,1,BAL_J,1,0.5989650290026447,0.9897308719075548,0.7743578759162562,0.9045047793369941
ksdd2,0,1,DUP_J,1,0.5726972905475006,0.9859407123842164,0.7086488699852754,0.8974577994712223
ksdd2,0,1,DUP_BAL_J,1,0.6070608589538893,0.9879772489014916,0.7651076116561375,0.9066198901769371
ksdd2,0,1,DUP_EXPECTED_J,1,0.5726972905475006,0.9859407123842164,0.7086488699852754,0.8974577994712223
ksdd2,0,1,A1_L,1,0.6090139452588144,0.9874585422775353,0.7518332403704697,0.9018100467764897
ksdd2,0,1,DUP_L,1,0.5741498241336437,0.9857186125222556,0.704503282372137,0.8959324791539557
ksdd2,0,1,TRI_L,1,0.5716995259671591,0.9885043011165221,0.7171585540244452,0.8922310351840553
ksdd2,0,1,BAL_L,1,0.6036472519204027,0.9895182555971388,0.7606200857549937,0.8978340451494814
ksdd2,0,2,B,1,0.554231787300946,0.9885244153679785,0.7054000918098513,0.9297640837909295
ksdd2,0,2,S,1,0.49419757412843424,0.9916859862639951,0.6600648324320552,0.9051759202765914
ksdd2,0,2,C,1,0.5513521917188,0.9813078497484686,0.8147252350870684,0.9138397396786658
ksdd2,0,2,A1_J,1,0.6395935671442965,0.9932278470688888,0.8528624577553457,0.9600569452918446
ksdd2,0,2,TRI_J,1,0.6230866225538277,0.9945506624091964,0.8218192259587689,0.9500203376042302
ksdd2,0,2,BAL_J,1,0.6388437569524688,0.9950103665555072,0.8547085915563025,0.959365466748017
ksdd2,0,2,DUP_J,1,0.6221017895990156,0.9915784895844649,0.8133076279655218,0.9474781370754525
ksdd2,0,2,DUP_BAL_J,1,0.6395935671442965,0.9932278470688888,0.8528624577553457,0.9600569452918446
ksdd2,0,2,DUP_EXPECTED_J,1,0.6221017895990156,0.9915784895844649,0.8133076279655218,0.9474781370754525
ksdd2,0,2,A1_L,1,0.6439162448966593,0.9926959252081291,0.8402294194047205,0.9517185275574538
ksdd2,0,2,DUP_L,1,0.6243338197181739,0.9910677828189663,0.8067045197169985,0.9450681309741712
ksdd2,0,2,TRI_L,1,0.6322958375885844,0.9948329322200652,0.8145170294150312,0.9467561521252796
ksdd2,0,2,BAL_L,1,0.6487308754330312,0.995398113716736,0.8478983796187357,0.9535489119381737
ksdd2,0,4,B,1,0.5785139227529197,0.9903165399175877,0.7416003665202282,0.9349908480780964
ksdd2,0,4,S,1,0.512469391944207,0.9937359295644088,0.6813899216578564,0.9348078096400244
ksdd2,0,4,C,1,0.5548533328191272,0.9823377414561386,0.8071526655837432,0.9104230221679886
ksdd2,0,4,A1_J,1,0.6524872188254893,0.994306919210835,0.8560395626520021,0.9586536505999593
ksdd2,0,4,TRI_J,1,0.6408634991085631,0.9955864928442696,0.8325749314881205,0.9590298962782184
