dataset,seed,shot,metric,contrast,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level
ksdd2,0,1,pixel_ap,A1_L - A1_J,0.001953086304925078,0.0019536825630891157,-0.0032121143748001196,0.007209122552834382,1000,0.95
ksdd2,0,2,pixel_ap,A1_L - A1_J,0.004322677752362836,0.0042994293064985475,-0.000560123423339974,0.009839333331923408,1000,0.95
ksdd2,0,4,pixel_ap,A1_L - A1_J,0.003607132215298403,0.003488170179787655,-0.0009632607183270906,0.00847566941314434,1000,0.95
ksdd2,0,8,pixel_ap,A1_L - A1_J,0.00526665570106899,0.005266373061273471,0.0012218174261528936,0.009784600964096647,1000,0.95
ksdd2,1,1,pixel_ap,A1_L - A1_J,0.0027284030768507384,0.0025501940479516635,-0.001969895289492429,0.007222022716686451,1000,0.95
ksdd2,1,2,pixel_ap,A1_L - A1_J,0.005943725550029311,0.006219537991747016,0.0011478917111381578,0.012248973274146521,1000,0.95
ksdd2,1,4,pixel_ap,A1_L - A1_J,0.009526630244248935,0.009720572704115577,0.0058504524726031735,0.014461392122395281,1000,0.95
ksdd2,1,8,pixel_ap,A1_L - A1_J,0.009610519733423972,0.009692279351858705,0.004891716030697025,0.014883421231286718,1000,0.95
ksdd2,2,1,pixel_ap,A1_L - A1_J,0.0048547330524240095,0.0045999372772028745,-0.0008937791420778494,0.009608112855422362,1000,0.95
ksdd2,2,2,pixel_ap,A1_L - A1_J,0.0011509357934406106,0.0009005002056979678,-0.005283060528580333,0.00660689507490264,1000,0.95
ksdd2,2,4,pixel_ap,A1_L - A1_J,0.0032546848470219603,0.0031680886040500278,-0.0021979358245428336,0.008346781442774641,1000,0.95
ksdd2,2,8,pixel_ap,A1_L - A1_J,0.00789490253289793,0.007968495492365281,0.0025972747222659694,0.013346952658919749,1000,0.95
