method,dataset,seed,shot,category,frame,n_test,grid,map_size,pixel_ap,pixel_auroc,pixel_ap_stride8,pixel_auroc_stride8,image_image_auroc,image_image_ap,image_score,memory_bank_s,scoring_s,evaluation_s,wall_clock_s,s_per_image,peak_gpu_mb,peak_ram_mb,peak_gpu_source,peak_ram_source,timing_sync,memory_bank_rows,reference_ids,rotation,masking
AnomalyDINO_native_dinov2_vits14,visa,0,1,candle,canvas,200,32x35,448x490,0.24955457277551424,0.9808212099055554,0.25720446222763893,0.98084826258368,0.8867999999999999,0.897662535354092,official mean of the top 1% patch distances,0.478,13.339,3.348,17.166,0.0667,113.54296875,1317.2,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1120,candle/Data/Images/Normal/0345.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,capsules,canvas,160,32x48,448x672,0.2597486349580681,0.9631640072339247,0.2645864199495028,0.9632586269822574,0.9364999999999999,0.9562184159852914,official mean of the top 1% patch distances,0.089,13.86,4.015,17.965,0.0866,120.4755859375,1390.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1536,capsules/Data/Images/Normal/595.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,cashew,canvas,150,32x34,448x476,0.5739767263561248,0.9927460558050484,0.5723129013418483,0.9927269954820953,0.9256,0.9653760047076206,official mean of the top 1% patch distances,0.076,10.469,2.358,12.903,0.0698,112.251953125,1390.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1088,cashew/Data/Images/Normal/139.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,chewinggum,canvas,150,32x38,448x532,0.6759487401187109,0.9932691043248881,0.6782082628013406,0.994183434717074,0.9884,0.9946784991767255,official mean of the top 1% patch distances,0.075,10.565,2.647,13.287,0.0704,114.8369140625,1390.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1216,chewinggum/Data/Images/Normal/126.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,fryum,canvas,150,32x48,448x672,0.24436237601850286,0.9125046531735603,0.24385186121810465,0.9126240990939887,0.9087999999999999,0.9541718120194822,official mean of the top 1% patch distances,0.088,13.017,3.556,16.661,0.0868,120.4755859375,1390.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1536,fryum/Data/Images/Normal/139.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,macaroni1,canvas,200,32x48,448x672,0.03995078896101992,0.9491046644787887,0.04020859387404456,0.9500719719761669,0.8242,0.8034150943642981,official mean of the top 1% patch distances,0.091,17.294,4.557,21.943,0.0865,120.4755859375,1564.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1536,macaroni1/Data/Images/Normal/0345.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,macaroni2,canvas,200,32x48,448x672,0.04027602546612191,0.9554856826601515,0.04733708754413871,0.960634587765408,0.5913,0.6178713490960046,official mean of the top 1% patch distances,0.088,17.253,4.49,21.831,0.0863,120.4755859375,1564.3,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1536,macaroni2/Data/Images/Normal/0345.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb1,canvas,200,32x41,448x574,0.6150089276673621,0.9872416409328393,0.6138492963944954,0.9874979157517852,0.9283999999999999,0.8884770639752098,official mean of the top 1% patch distances,0.083,15.645,3.883,19.611,0.0782,117.046875,1564.3,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1312,pcb1/Data/Images/Normal/0138.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb2,canvas,200,32x41,448x574,0.07121098313280208,0.9507317692735344,0.06742701098396958,0.9463508778168618,0.8092999999999999,0.7682002585561809,official mean of the top 1% patch distances,0.08,15.952,4.085,20.117,0.0798,117.046875,1564.3,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1312,pcb2/Data/Images/Normal/0094.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb3,canvas,201,32x52,448x728,0.15256787290139137,0.9649836217600616,0.1577911532700224,0.9656170729468829,0.818910891089109,0.7692281324548496,official mean of the top 1% patch distances,0.101,19.023,5.154,24.278,0.0946,123.65087890625,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1664,pcb3/Data/Images/Normal/0138.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb4,canvas,201,32x39,448x546,0.13056585583973845,0.9452459323420198,0.12996389629948607,0.9454143759781581,0.8764356435643564,0.83439213278377,official mean of the top 1% patch distances,0.075,14.753,4.37,19.198,0.0734,115.18896484375,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1248,pcb4/Data/Images/Normal/0138.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pipe_fryum,canvas,150,32x36,448x504,0.3670152686924389,0.986461302826786,0.3655772024805154,0.986418371188069,0.9356,0.9684297809258682,official mean of the top 1% patch distances,0.067,12.597,3.024,15.687,0.084,114.2744140625,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,1152,pipe_fryum/Data/Images/Normal/139.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,candle,canvas,200,32x35,448x490,0.32270559018896544,0.9887724936042039,0.3295951306098519,0.9890716445115503,0.9074,0.9131132164914015,official mean of the top 1% patch distances,0.288,19.384,3.905,23.578,0.0969,113.77685546875,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,4480,candle/Data/Images/Normal/0345.JPG;candle/Data/Images/Normal/0661.JPG;candle/Data/Images/Normal/0789.JPG;candle/Data/Images/Normal/0517.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,capsules,canvas,160,32x48,448x672,0.30653970400675373,0.972717527355871,0.31046823517624733,0.9730542683132033,0.9456666666666667,0.9638975315604188,official mean of the top 1% patch distances,0.298,20.581,4.221,25.099,0.1286,121.4130859375,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,6144,capsules/Data/Images/Normal/595.JPG;capsules/Data/Images/Normal/020.JPG;capsules/Data/Images/Normal/270.JPG;capsules/Data/Images/Normal/224.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,cashew,canvas,150,32x34,448x476,0.55129102567298,0.9927622897807059,0.5500513667837191,0.9927189705652202,0.9570000000000001,0.9784838700041697,official mean of the top 1% patch distances,0.301,14.927,2.77,17.998,0.0995,113.189453125,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,4352,cashew/Data/Images/Normal/139.JPG;cashew/Data/Images/Normal/111.JPG;cashew/Data/Images/Normal/456.JPG;cashew/Data/Images/Normal/459.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,chewinggum,canvas,150,32x38,448x532,0.7154258469906402,0.9932414075062388,0.7169524425939333,0.9937898778622605,0.9844,0.9932719005947599,official mean of the top 1% patch distances,0.272,15.223,3.113,18.608,0.1015,115.705078125,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,4864,chewinggum/Data/Images/Normal/126.JPG;chewinggum/Data/Images/Normal/140.JPG;chewinggum/Data/Images/Normal/208.JPG;chewinggum/Data/Images/Normal/195.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,fryum,canvas,150,32x48,448x672,0.3225099917473004,0.947224238614525,0.32129606944931033,0.9471282457717444,0.9442,0.9692236079274726,official mean of the top 1% patch distances,0.345,19.154,4.227,23.726,0.1277,121.4130859375,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,6144,fryum/Data/Images/Normal/139.JPG;fryum/Data/Images/Normal/111.JPG;fryum/Data/Images/Normal/456.JPG;fryum/Data/Images/Normal/459.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,macaroni1,canvas,200,32x48,448x672,0.10659433569941057,0.9656270809045906,0.10903007911872095,0.9650936243965719,0.8311000000000001,0.8019712651048939,official mean of the top 1% patch distances,0.327,25.311,5.363,31.001,0.1266,121.4130859375,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,6144,macaroni1/Data/Images/Normal/0345.JPG;macaroni1/Data/Images/Normal/0661.JPG;macaroni1/Data/Images/Normal/0789.JPG;macaroni1/Data/Images/Normal/0517.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,macaroni2,canvas,200,32x48,448x672,0.05162488816347606,0.9788401307431779,0.06514356854778863,0.9799746289092697,0.6457999999999999,0.596965849222966,official mean of the top 1% patch distances,0.285,25.139,5.227,30.65,0.1257,121.4130859375,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,6144,macaroni2/Data/Images/Normal/0345.JPG;macaroni2/Data/Images/Normal/0661.JPG;macaroni2/Data/Images/Normal/0789.JPG;macaroni2/Data/Images/Normal/0517.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,pcb1,canvas,200,32x41,448x574,0.6944123212214119,0.9894320678110374,0.6913473346289021,0.9895830900061314,0.9468,0.9189776490423645,official mean of the top 1% patch distances,0.306,18.727,3.886,22.918,0.0936,117.30126953125,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,5248,pcb1/Data/Images/Normal/0138.JPG;pcb1/Data/Images/Normal/0986.JPG;pcb1/Data/Images/Normal/0332.JPG;pcb1/Data/Images/Normal/0511.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,pcb2,canvas,200,32x41,448x574,0.12240192614653196,0.9644614419112373,0.11500913084662151,0.9605401226263314,0.814,0.7835646167932333,official mean of the top 1% patch distances,0.322,18.641,4.144,23.106,0.0932,117.30126953125,1642.6,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,5248,pcb2/Data/Images/Normal/0094.JPG;pcb2/Data/Images/Normal/0265.JPG;pcb2/Data/Images/Normal/0383.JPG;pcb2/Data/Images/Normal/0504.JPG,False,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,pcb3,canvas,201,32x52,448x728,0.22478391872248504,0.9770938265971385,0.23206142659404028,0.9771596119815258,0.8721782178217822,0.8691874623130432,official mean of the top 1% patch distances,0.36,23.707,5.067,29.134,0.1179,125.00732421875,1667.1,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,6656,pcb3/Data/Images/Normal/0138.JPG;pcb3/Data/Images/Normal/0988.JPG;pcb3/Data/Images/Normal/0332.JPG;pcb3/Data/Images/Normal/0511.JPG,False,False
