dataset,seed,shot,method,metric,n_replicates,n_nan_replicates,n_replicates_with_nan_category
mpdd,0,4,C,pixel_ap,1000,0,0
mpdd,0,4,C,pixel_auroc,1000,0,0
mpdd,0,4,C,image_ap,1000,0,0
mpdd,0,4,C,image_auroc,1000,0,0
mpdd,0,4,A1_J,pixel_ap,1000,0,0
mpdd,0,4,A1_J,pixel_auroc,1000,0,0
mpdd,0,4,A1_J,image_ap,1000,0,0
mpdd,0,4,A1_J,image_auroc,1000,0,0
mpdd,0,4,TRI_J,pixel_ap,1000,0,0
mpdd,0,4,TRI_J,pixel_auroc,1000,0,0
mpdd,0,4,TRI_J,image_ap,1000,0,0
mpdd,0,4,TRI_J,image_auroc,1000,0,0
mpdd,0,4,BAL_J,pixel_ap,1000,0,0
mpdd,0,4,BAL_J,pixel_auroc,1000,0,0
mpdd,0,4,BAL_J,image_ap,1000,0,0
mpdd,0,4,BAL_J,image_auroc,1000,0,0
mpdd,0,4,DUP_J,pixel_ap,1000,0,0
mpdd,0,4,DUP_J,pixel_auroc,1000,0,0
mpdd,0,4,DUP_J,image_ap,1000,0,0
mpdd,0,4,DUP_J,image_auroc,1000,0,0
mpdd,0,4,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,0,4,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,0,4,DUP_BAL_J,image_ap,1000,0,0
mpdd,0,4,DUP_BAL_J,image_auroc,1000,0,0
mpdd,0,4,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,0,4,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,0,4,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,0,4,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,0,4,A1_L,pixel_ap,1000,0,0
mpdd,0,4,A1_L,pixel_auroc,1000,0,0
mpdd,0,4,A1_L,image_ap,1000,0,0
mpdd,0,4,A1_L,image_auroc,1000,0,0
mpdd,0,4,DUP_L,pixel_ap,1000,0,0
mpdd,0,4,DUP_L,pixel_auroc,1000,0,0
mpdd,0,4,DUP_L,image_ap,1000,0,0
mpdd,0,4,DUP_L,image_auroc,1000,0,0
mpdd,0,4,TRI_L,pixel_ap,1000,0,0
mpdd,0,4,TRI_L,pixel_auroc,1000,0,0
mpdd,0,4,TRI_L,image_ap,1000,0,0
mpdd,0,4,TRI_L,image_auroc,1000,0,0
mpdd,0,4,BAL_L,pixel_ap,1000,0,0
mpdd,0,4,BAL_L,pixel_auroc,1000,0,0
mpdd,0,4,BAL_L,image_ap,1000,0,0
mpdd,0,4,BAL_L,image_auroc,1000,0,0
mpdd,0,8,B,pixel_ap,1000,0,0
mpdd,0,8,B,pixel_auroc,1000,0,0
mpdd,0,8,B,image_ap,1000,0,0
mpdd,0,8,B,image_auroc,1000,0,0
mpdd,0,8,S,pixel_ap,1000,0,0
mpdd,0,8,S,pixel_auroc,1000,0,0
mpdd,0,8,S,image_ap,1000,0,0
mpdd,0,8,S,image_auroc,1000,0,0
mpdd,0,8,C,pixel_ap,1000,0,0
mpdd,0,8,C,pixel_auroc,1000,0,0
mpdd,0,8,C,image_ap,1000,0,0
mpdd,0,8,C,image_auroc,1000,0,0
mpdd,0,8,A1_J,pixel_ap,1000,0,0
mpdd,0,8,A1_J,pixel_auroc,1000,0,0
mpdd,0,8,A1_J,image_ap,1000,0,0
mpdd,0,8,A1_J,image_auroc,1000,0,0
mpdd,0,8,TRI_J,pixel_ap,1000,0,0
mpdd,0,8,TRI_J,pixel_auroc,1000,0,0
mpdd,0,8,TRI_J,image_ap,1000,0,0
mpdd,0,8,TRI_J,image_auroc,1000,0,0
mpdd,0,8,BAL_J,pixel_ap,1000,0,0
mpdd,0,8,BAL_J,pixel_auroc,1000,0,0
mpdd,0,8,BAL_J,image_ap,1000,0,0
mpdd,0,8,BAL_J,image_auroc,1000,0,0
mpdd,0,8,DUP_J,pixel_ap,1000,0,0
mpdd,0,8,DUP_J,pixel_auroc,1000,0,0
mpdd,0,8,DUP_J,image_ap,1000,0,0
mpdd,0,8,DUP_J,image_auroc,1000,0,0
mpdd,0,8,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,0,8,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,0,8,DUP_BAL_J,image_ap,1000,0,0
mpdd,0,8,DUP_BAL_J,image_auroc,1000,0,0
mpdd,0,8,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,0,8,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,0,8,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,0,8,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,0,8,A1_L,pixel_ap,1000,0,0
mpdd,0,8,A1_L,pixel_auroc,1000,0,0
mpdd,0,8,A1_L,image_ap,1000,0,0
mpdd,0,8,A1_L,image_auroc,1000,0,0
mpdd,0,8,DUP_L,pixel_ap,1000,0,0
mpdd,0,8,DUP_L,pixel_auroc,1000,0,0
mpdd,0,8,DUP_L,image_ap,1000,0,0
mpdd,0,8,DUP_L,image_auroc,1000,0,0
mpdd,0,8,TRI_L,pixel_ap,1000,0,0
mpdd,0,8,TRI_L,pixel_auroc,1000,0,0
mpdd,0,8,TRI_L,image_ap,1000,0,0
mpdd,0,8,TRI_L,image_auroc,1000,0,0
mpdd,0,8,BAL_L,pixel_ap,1000,0,0
mpdd,0,8,BAL_L,pixel_auroc,1000,0,0
mpdd,0,8,BAL_L,image_ap,1000,0,0
mpdd,0,8,BAL_L,image_auroc,1000,0,0
mpdd,1,1,B,pixel_ap,1000,0,0
mpdd,1,1,B,pixel_auroc,1000,0,0
mpdd,1,1,B,image_ap,1000,0,0
mpdd,1,1,B,image_auroc,1000,0,0
mpdd,1,1,S,pixel_ap,1000,0,0
mpdd,1,1,S,pixel_auroc,1000,0,0
mpdd,1,1,S,image_ap,1000,0,0
mpdd,1,1,S,image_auroc,1000,0,0
mpdd,1,1,C,pixel_ap,1000,0,0
mpdd,1,1,C,pixel_auroc,1000,0,0
mpdd,1,1,C,image_ap,1000,0,0
mpdd,1,1,C,image_auroc,1000,0,0
mpdd,1,1,A1_J,pixel_ap,1000,0,0
mpdd,1,1,A1_J,pixel_auroc,1000,0,0
mpdd,1,1,A1_J,image_ap,1000,0,0
mpdd,1,1,A1_J,image_auroc,1000,0,0
mpdd,1,1,TRI_J,pixel_ap,1000,0,0
mpdd,1,1,TRI_J,pixel_auroc,1000,0,0
mpdd,1,1,TRI_J,image_ap,1000,0,0
mpdd,1,1,TRI_J,image_auroc,1000,0,0
mpdd,1,1,BAL_J,pixel_ap,1000,0,0
mpdd,1,1,BAL_J,pixel_auroc,1000,0,0
mpdd,1,1,BAL_J,image_ap,1000,0,0
mpdd,1,1,BAL_J,image_auroc,1000,0,0
mpdd,1,1,DUP_J,pixel_ap,1000,0,0
mpdd,1,1,DUP_J,pixel_auroc,1000,0,0
mpdd,1,1,DUP_J,image_ap,1000,0,0
mpdd,1,1,DUP_J,image_auroc,1000,0,0
mpdd,1,1,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,1,1,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,1,1,DUP_BAL_J,image_ap,1000,0,0
mpdd,1,1,DUP_BAL_J,image_auroc,1000,0,0
mpdd,1,1,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,1,1,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,1,1,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,1,1,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,1,1,A1_L,pixel_ap,1000,0,0
mpdd,1,1,A1_L,pixel_auroc,1000,0,0
mpdd,1,1,A1_L,image_ap,1000,0,0
mpdd,1,1,A1_L,image_auroc,1000,0,0
mpdd,1,1,DUP_L,pixel_ap,1000,0,0
mpdd,1,1,DUP_L,pixel_auroc,1000,0,0
mpdd,1,1,DUP_L,image_ap,1000,0,0
mpdd,1,1,DUP_L,image_auroc,1000,0,0
mpdd,1,1,TRI_L,pixel_ap,1000,0,0
mpdd,1,1,TRI_L,pixel_auroc,1000,0,0
mpdd,1,1,TRI_L,image_ap,1000,0,0
mpdd,1,1,TRI_L,image_auroc,1000,0,0
mpdd,1,1,BAL_L,pixel_ap,1000,0,0
mpdd,1,1,BAL_L,pixel_auroc,1000,0,0
mpdd,1,1,BAL_L,image_ap,1000,0,0
mpdd,1,1,BAL_L,image_auroc,1000,0,0
mpdd,1,2,B,pixel_ap,1000,0,0
mpdd,1,2,B,pixel_auroc,1000,0,0
mpdd,1,2,B,image_ap,1000,0,0
mpdd,1,2,B,image_auroc,1000,0,0
mpdd,1,2,S,pixel_ap,1000,0,0
mpdd,1,2,S,pixel_auroc,1000,0,0
mpdd,1,2,S,image_ap,1000,0,0
mpdd,1,2,S,image_auroc,1000,0,0
mpdd,1,2,C,pixel_ap,1000,0,0
mpdd,1,2,C,pixel_auroc,1000,0,0
mpdd,1,2,C,image_ap,1000,0,0
mpdd,1,2,C,image_auroc,1000,0,0
mpdd,1,2,A1_J,pixel_ap,1000,0,0
mpdd,1,2,A1_J,pixel_auroc,1000,0,0
mpdd,1,2,A1_J,image_ap,1000,0,0
mpdd,1,2,A1_J,image_auroc,1000,0,0
mpdd,1,2,TRI_J,pixel_ap,1000,0,0
mpdd,1,2,TRI_J,pixel_auroc,1000,0,0
mpdd,1,2,TRI_J,image_ap,1000,0,0
mpdd,1,2,TRI_J,image_auroc,1000,0,0
mpdd,1,2,BAL_J,pixel_ap,1000,0,0
mpdd,1,2,BAL_J,pixel_auroc,1000,0,0
mpdd,1,2,BAL_J,image_ap,1000,0,0
mpdd,1,2,BAL_J,image_auroc,1000,0,0
mpdd,1,2,DUP_J,pixel_ap,1000,0,0
mpdd,1,2,DUP_J,pixel_auroc,1000,0,0
mpdd,1,2,DUP_J,image_ap,1000,0,0
mpdd,1,2,DUP_J,image_auroc,1000,0,0
mpdd,1,2,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,1,2,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,1,2,DUP_BAL_J,image_ap,1000,0,0
mpdd,1,2,DUP_BAL_J,image_auroc,1000,0,0
mpdd,1,2,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,1,2,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,1,2,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,1,2,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,1,2,A1_L,pixel_ap,1000,0,0
mpdd,1,2,A1_L,pixel_auroc,1000,0,0
mpdd,1,2,A1_L,image_ap,1000,0,0
mpdd,1,2,A1_L,image_auroc,1000,0,0
mpdd,1,2,DUP_L,pixel_ap,1000,0,0
mpdd,1,2,DUP_L,pixel_auroc,1000,0,0
mpdd,1,2,DUP_L,image_ap,1000,0,0
mpdd,1,2,DUP_L,image_auroc,1000,0,0
mpdd,1,2,TRI_L,pixel_ap,1000,0,0
mpdd,1,2,TRI_L,pixel_auroc,1000,0,0
mpdd,1,2,TRI_L,image_ap,1000,0,0
mpdd,1,2,TRI_L,image_auroc,1000,0,0
mpdd,1,2,BAL_L,pixel_ap,1000,0,0
mpdd,1,2,BAL_L,pixel_auroc,1000,0,0
mpdd,1,2,BAL_L,image_ap,1000,0,0
mpdd,1,2,BAL_L,image_auroc,1000,0,0
mpdd,1,4,B,pixel_ap,1000,0,0
mpdd,1,4,B,pixel_auroc,1000,0,0
mpdd,1,4,B,image_ap,1000,0,0
mpdd,1,4,B,image_auroc,1000,0,0
mpdd,1,4,S,pixel_ap,1000,0,0
mpdd,1,4,S,pixel_auroc,1000,0,0
mpdd,1,4,S,image_ap,1000,0,0
mpdd,1,4,S,image_auroc,1000,0,0
mpdd,1,4,C,pixel_ap,1000,0,0
mpdd,1,4,C,pixel_auroc,1000,0,0
mpdd,1,4,C,image_ap,1000,0,0
mpdd,1,4,C,image_auroc,1000,0,0
mpdd,1,4,A1_J,pixel_ap,1000,0,0
mpdd,1,4,A1_J,pixel_auroc,1000,0,0
mpdd,1,4,A1_J,image_ap,1000,0,0
mpdd,1,4,A1_J,image_auroc,1000,0,0
mpdd,1,4,TRI_J,pixel_ap,1000,0,0
mpdd,1,4,TRI_J,pixel_auroc,1000,0,0
mpdd,1,4,TRI_J,image_ap,1000,0,0
mpdd,1,4,TRI_J,image_auroc,1000,0,0
mpdd,1,4,BAL_J,pixel_ap,1000,0,0
mpdd,1,4,BAL_J,pixel_auroc,1000,0,0
mpdd,1,4,BAL_J,image_ap,1000,0,0
mpdd,1,4,BAL_J,image_auroc,1000,0,0
mpdd,1,4,DUP_J,pixel_ap,1000,0,0
mpdd,1,4,DUP_J,pixel_auroc,1000,0,0
mpdd,1,4,DUP_J,image_ap,1000,0,0
mpdd,1,4,DUP_J,image_auroc,1000,0,0
mpdd,1,4,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,1,4,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,1,4,DUP_BAL_J,image_ap,1000,0,0
mpdd,1,4,DUP_BAL_J,image_auroc,1000,0,0
mpdd,1,4,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,1,4,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,1,4,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,1,4,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,1,4,A1_L,pixel_ap,1000,0,0
mpdd,1,4,A1_L,pixel_auroc,1000,0,0
mpdd,1,4,A1_L,image_ap,1000,0,0
mpdd,1,4,A1_L,image_auroc,1000,0,0
mpdd,1,4,DUP_L,pixel_ap,1000,0,0
mpdd,1,4,DUP_L,pixel_auroc,1000,0,0
mpdd,1,4,DUP_L,image_ap,1000,0,0
mpdd,1,4,DUP_L,image_auroc,1000,0,0
mpdd,1,4,TRI_L,pixel_ap,1000,0,0
mpdd,1,4,TRI_L,pixel_auroc,1000,0,0
mpdd,1,4,TRI_L,image_ap,1000,0,0
mpdd,1,4,TRI_L,image_auroc,1000,0,0
mpdd,1,4,BAL_L,pixel_ap,1000,0,0
mpdd,1,4,BAL_L,pixel_auroc,1000,0,0
mpdd,1,4,BAL_L,image_ap,1000,0,0
mpdd,1,4,BAL_L,image_auroc,1000,0,0
mpdd,1,8,B,pixel_ap,1000,0,0
mpdd,1,8,B,pixel_auroc,1000,0,0
mpdd,1,8,B,image_ap,1000,0,0
mpdd,1,8,B,image_auroc,1000,0,0
mpdd,1,8,S,pixel_ap,1000,0,0
mpdd,1,8,S,pixel_auroc,1000,0,0
mpdd,1,8,S,image_ap,1000,0,0
mpdd,1,8,S,image_auroc,1000,0,0
mpdd,1,8,C,pixel_ap,1000,0,0
mpdd,1,8,C,pixel_auroc,1000,0,0
mpdd,1,8,C,image_ap,1000,0,0
mpdd,1,8,C,image_auroc,1000,0,0
mpdd,1,8,A1_J,pixel_ap,1000,0,0
mpdd,1,8,A1_J,pixel_auroc,1000,0,0
mpdd,1,8,A1_J,image_ap,1000,0,0
mpdd,1,8,A1_J,image_auroc,1000,0,0
mpdd,1,8,TRI_J,pixel_ap,1000,0,0
mpdd,1,8,TRI_J,pixel_auroc,1000,0,0
mpdd,1,8,TRI_J,image_ap,1000,0,0
mpdd,1,8,TRI_J,image_auroc,1000,0,0
mpdd,1,8,BAL_J,pixel_ap,1000,0,0
mpdd,1,8,BAL_J,pixel_auroc,1000,0,0
mpdd,1,8,BAL_J,image_ap,1000,0,0
mpdd,1,8,BAL_J,image_auroc,1000,0,0
mpdd,1,8,DUP_J,pixel_ap,1000,0,0
mpdd,1,8,DUP_J,pixel_auroc,1000,0,0
mpdd,1,8,DUP_J,image_ap,1000,0,0
mpdd,1,8,DUP_J,image_auroc,1000,0,0
mpdd,1,8,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,1,8,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,1,8,DUP_BAL_J,image_ap,1000,0,0
mpdd,1,8,DUP_BAL_J,image_auroc,1000,0,0
mpdd,1,8,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,1,8,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,1,8,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,1,8,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,1,8,A1_L,pixel_ap,1000,0,0
mpdd,1,8,A1_L,pixel_auroc,1000,0,0
mpdd,1,8,A1_L,image_ap,1000,0,0
mpdd,1,8,A1_L,image_auroc,1000,0,0
mpdd,1,8,DUP_L,pixel_ap,1000,0,0
mpdd,1,8,DUP_L,pixel_auroc,1000,0,0
mpdd,1,8,DUP_L,image_ap,1000,0,0
mpdd,1,8,DUP_L,image_auroc,1000,0,0
mpdd,1,8,TRI_L,pixel_ap,1000,0,0
mpdd,1,8,TRI_L,pixel_auroc,1000,0,0
mpdd,1,8,TRI_L,image_ap,1000,0,0
mpdd,1,8,TRI_L,image_auroc,1000,0,0
mpdd,1,8,BAL_L,pixel_ap,1000,0,0
mpdd,1,8,BAL_L,pixel_auroc,1000,0,0
mpdd,1,8,BAL_L,image_ap,1000,0,0
mpdd,1,8,BAL_L,image_auroc,1000,0,0
mpdd,2,1,B,pixel_ap,1000,0,0
mpdd,2,1,B,pixel_auroc,1000,0,0
mpdd,2,1,B,image_ap,1000,0,0
mpdd,2,1,B,image_auroc,1000,0,0
mpdd,2,1,S,pixel_ap,1000,0,0
mpdd,2,1,S,pixel_auroc,1000,0,0
mpdd,2,1,S,image_ap,1000,0,0
mpdd,2,1,S,image_auroc,1000,0,0
mpdd,2,1,C,pixel_ap,1000,0,0
mpdd,2,1,C,pixel_auroc,1000,0,0
mpdd,2,1,C,image_ap,1000,0,0
mpdd,2,1,C,image_auroc,1000,0,0
mpdd,2,1,A1_J,pixel_ap,1000,0,0
mpdd,2,1,A1_J,pixel_auroc,1000,0,0
mpdd,2,1,A1_J,image_ap,1000,0,0
mpdd,2,1,A1_J,image_auroc,1000,0,0
mpdd,2,1,TRI_J,pixel_ap,1000,0,0
mpdd,2,1,TRI_J,pixel_auroc,1000,0,0
mpdd,2,1,TRI_J,image_ap,1000,0,0
mpdd,2,1,TRI_J,image_auroc,1000,0,0
mpdd,2,1,BAL_J,pixel_ap,1000,0,0
mpdd,2,1,BAL_J,pixel_auroc,1000,0,0
mpdd,2,1,BAL_J,image_ap,1000,0,0
mpdd,2,1,BAL_J,image_auroc,1000,0,0
mpdd,2,1,DUP_J,pixel_ap,1000,0,0
mpdd,2,1,DUP_J,pixel_auroc,1000,0,0
mpdd,2,1,DUP_J,image_ap,1000,0,0
mpdd,2,1,DUP_J,image_auroc,1000,0,0
mpdd,2,1,DUP_BAL_J,pixel_ap,1000,0,0
mpdd,2,1,DUP_BAL_J,pixel_auroc,1000,0,0
mpdd,2,1,DUP_BAL_J,image_ap,1000,0,0
mpdd,2,1,DUP_BAL_J,image_auroc,1000,0,0
mpdd,2,1,DUP_EXPECTED_J,pixel_ap,1000,0,0
mpdd,2,1,DUP_EXPECTED_J,pixel_auroc,1000,0,0
mpdd,2,1,DUP_EXPECTED_J,image_ap,1000,0,0
mpdd,2,1,DUP_EXPECTED_J,image_auroc,1000,0,0
mpdd,2,1,A1_L,pixel_ap,1000,0,0
mpdd,2,1,A1_L,pixel_auroc,1000,0,0
mpdd,2,1,A1_L,image_ap,1000,0,0
mpdd,2,1,A1_L,image_auroc,1000,0,0
mpdd,2,1,DUP_L,pixel_ap,1000,0,0
mpdd,2,1,DUP_L,pixel_auroc,1000,0,0
mpdd,2,1,DUP_L,image_ap,1000,0,0
mpdd,2,1,DUP_L,image_auroc,1000,0,0
mpdd,2,1,TRI_L,pixel_ap,1000,0,0
mpdd,2,1,TRI_L,pixel_auroc,1000,0,0
mpdd,2,1,TRI_L,image_ap,1000,0,0
mpdd,2,1,TRI_L,image_auroc,1000,0,0
mpdd,2,1,BAL_L,pixel_ap,1000,0,0
mpdd,2,1,BAL_L,pixel_auroc,1000,0,0
mpdd,2,1,BAL_L,image_ap,1000,0,0
mpdd,2,1,BAL_L,image_auroc,1000,0,0
mpdd,2,2,B,pixel_ap,1000,0,0
mpdd,2,2,B,pixel_auroc,1000,0,0
mpdd,2,2,B,image_ap,1000,0,0
mpdd,2,2,B,image_auroc,1000,0,0
mpdd,2,2,S,pixel_ap,1000,0,0
mpdd,2,2,S,pixel_auroc,1000,0,0
mpdd,2,2,S,image_ap,1000,0,0
mpdd,2,2,S,image_auroc,1000,0,0
mpdd,2,2,C,pixel_ap,1000,0,0
mpdd,2,2,C,pixel_auroc,1000,0,0
mpdd,2,2,C,image_ap,1000,0,0
mpdd,2,2,C,image_auroc,1000,0,0
mpdd,2,2,A1_J,pixel_ap,1000,0,0
mpdd,2,2,A1_J,pixel_auroc,1000,0,0
mpdd,2,2,A1_J,image_ap,1000,0,0
mpdd,2,2,A1_J,image_auroc,1000,0,0
mpdd,2,2,TRI_J,pixel_ap,1000,0,0
mpdd,2,2,TRI_J,pixel_auroc,1000,0,0
mpdd,2,2,TRI_J,image_ap,1000,0,0
mpdd,2,2,TRI_J,image_auroc,1000,0,0
mpdd,2,2,BAL_J,pixel_ap,1000,0,0
mpdd,2,2,BAL_J,pixel_auroc,1000,0,0
mpdd,2,2,BAL_J,image_ap,1000,0,0
mpdd,2,2,BAL_J,image_auroc,1000,0,0
mpdd,2,2,DUP_J,pixel_ap,1000,0,0
