dataset,seed,shot,method,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_image_ap,macro_image_auroc
mpdd,0,1,B,6,0.2794352555361834,0.9513043828145805,0.7005906911012024,0.6750660746441018
mpdd,0,1,S,6,0.2802387903061445,0.9577743353676014,0.7060757193945518,0.6643346900144708
mpdd,0,1,C,6,0.26178662146776305,0.9559043411064878,0.7744550602538403,0.7312613175134338
mpdd,0,1,A1_J,6,0.30921228480310564,0.9596735088340879,0.7445026424657638,0.714252139603598
mpdd,0,1,TRI_J,6,0.30358633641927235,0.9597572702122562,0.7202377202710272,0.6891167831214493
mpdd,0,1,BAL_J,6,0.3116276768056512,0.9617655671514962,0.7454371200194975,0.7058721525723758
mpdd,0,1,DUP_J,6,0.2978518818767091,0.9567988017910926,0.717760117754505,0.6976765822437042
mpdd,0,1,DUP_BAL_J,6,0.30921228480310564,0.9596735088340879,0.7445026424657638,0.714252139603598
mpdd,0,1,DUP_EXPECTED_J,6,0.2978518818767091,0.9567988017910926,0.717760117754505,0.6976765822437042
mpdd,0,1,A1_L,6,0.3131711605225368,0.9623993366965217,0.7514935959507633,0.7188243966435456
mpdd,0,1,DUP_L,6,0.2995512696905085,0.9586999874439982,0.7190832082552202,0.7025352925075405
mpdd,0,1,TRI_L,6,0.3092919913932966,0.9632288511091258,0.7257393850108557,0.7006609120220904
mpdd,0,1,BAL_L,6,0.31904648476905967,0.9654744397932206,0.7560978004893957,0.7192381208375727
mpdd,0,2,B,6,0.31561125682118685,0.9524146096834225,0.7433021666974103,0.7323299517039693
mpdd,0,2,S,6,0.3027285303208613,0.9612006307944948,0.7500075960784226,0.7257228443612238
mpdd,0,2,C,6,0.27270109830655886,0.9617196108362748,0.7810638960649071,0.7512257907068677
mpdd,0,2,A1_J,6,0.343706269823455,0.9639550593306844,0.787820091532102,0.7695362648724187
mpdd,0,2,TRI_J,6,0.33420610573193477,0.9635981647952541,0.7741167812538544,0.759538784609015
mpdd,0,2,BAL_J,6,0.3363860365824576,0.9661617927646113,0.7814524769725244,0.7687938155665819
mpdd,0,2,DUP_J,6,0.33525529909588325,0.9602866296574802,0.7623242020626647,0.7555379586071483
mpdd,0,2,DUP_BAL_J,6,0.343706269823455,0.9639550593306844,0.787820091532102,0.7695362648724187
mpdd,0,2,DUP_EXPECTED_J,6,0.33525529909588325,0.9602866296574802,0.7623242020626647,0.7555379586071483
mpdd,0,2,A1_L,6,0.3492227978998836,0.9662239875324894,0.7838761297912589,0.764877745829785
mpdd,0,2,DUP_L,6,0.33632188574178773,0.9617345150835898,0.7619673937320023,0.7524191504720834
mpdd,0,2,TRI_L,6,0.3407434290526054,0.9671375660171995,0.7749783660552296,0.7600384931204706
mpdd,0,2,BAL_L,6,0.3466808888226054,0.9697350074433372,0.7808189437054533,0.766685701457461
mpdd,0,4,B,6,0.3619836357898472,0.9613692292946842,0.8444874401635832,0.8259418022964867
mpdd,0,4,S,6,0.32870584166586236,0.9703460304098045,0.802996963141184,0.7849604430577667
mpdd,0,4,C,6,0.2843124127484917,0.9698712748061444,0.7855457590035207,0.7667212788758063
mpdd,0,4,A1_J,6,0.38832783940833454,0.9703339940758914,0.8625157633903692,0.842623082353588
mpdd,0,4,TRI_J,6,0.3731430503649707,0.9707595078945035,0.8479921337755041,0.8298594442382535
mpdd,0,4,BAL_J,6,0.37812781862166184,0.9727543347123814,0.84868095755595,0.8339182700820551
mpdd,0,4,DUP_J,6,0.3801058806573188,0.9672965245601235,0.8600310448012266,0.8398877402843298
mpdd,0,4,DUP_BAL_J,6,0.38832783940833454,0.9703339940758914,0.8625157633903692,0.842623082353588
mpdd,0,4,DUP_EXPECTED_J,6,0.3801058806573188,0.9672965245601235,0.8600310448012266,0.8398877402843298
mpdd,0,4,A1_L,6,0.3922696613634678,0.973657869935561,0.8706220947208442,0.8464848062437099
mpdd,0,4,DUP_L,6,0.3818671928447957,0.9695966816112181,0.8591147493563994,0.8392175315574809
mpdd,0,4,TRI_L,6,0.38439394368822266,0.9751396985938591,0.8627290996728205,0.8365980143193847
mpdd,0,4,BAL_L,6,0.3853023933456412,0.9773783955025385,0.8690072544961586,0.8443881516449808
mpdd,0,8,B,6,0.4044855282350974,0.9697975250029142,0.9004178682958045,0.8705409909977099
mpdd,0,8,S,6,0.37735178866363794,0.9751286318128076,0.8906888989293097,0.8535350178481539
mpdd,0,8,C,6,0.30573718210181516,0.9714290164417382,0.8131224353201129,0.7982899314639398
mpdd,0,8,A1_J,6,0.4240137033082258,0.976037106169848,0.9058811374434116,0.8788575495031935
mpdd,0,8,TRI_J,6,0.414046473614987,0.9763434022779266,0.9075656053414818,0.8790641315825649
mpdd,0,8,BAL_J,6,0.41649856184616246,0.9774890589415475,0.9052819907954005,0.8794430341754104
mpdd,0,8,DUP_J,6,0.4174878280416678,0.9741725598321697,0.9032862904088064,0.8748971706893974
mpdd,0,8,DUP_BAL_J,6,0.4240137033082258,0.976037106169848,0.9058811374434116,0.8788575495031935
mpdd,0,8,DUP_EXPECTED_J,6,0.4174878280416678,0.9741725598321697,0.9032862904088064,0.8748971706893974
mpdd,0,8,A1_L,6,0.4301674349223026,0.9794750853108575,0.9102414832206286,0.883961660919339
mpdd,0,8,DUP_L,6,0.42178817896595794,0.9764873933355727,0.9081245349968451,0.8812674402287778
mpdd,0,8,TRI_L,6,0.43040936635524885,0.9803647134815076,0.919785053771446,0.8899569151826389
