dataset,seed,shot,group,metric,contrast,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level
mpdd,0,1,exploratory,pixel_ap,A1_L - A1_J,0.003958875719431154,0.003931237848534279,-9.794465426553091e-05,0.008610271328031887,1000,0.95
mpdd,0,1,exploratory,pixel_ap,TRI_L - TRI_J,0.005705654974024255,0.0060571021054320676,0.0006449517280907596,0.011233348133122933,1000,0.95
mpdd,0,1,exploratory,pixel_ap,BAL_L - BAL_J,0.007418807963408491,0.007809513721350104,0.002388044016399313,0.014124843373492773,1000,0.95
mpdd,0,1,exploratory,pixel_ap,DUP_L - DUP_J,0.0016993878137994134,0.0019894945162530417,-0.00045132141466803767,0.005924520681533996,1000,0.95
mpdd,0,1,exploratory,pixel_ap,DUP_J - A1_J,-0.011360402926396562,-0.011596066679237715,-0.018338136148455593,-0.005630765546532532,1000,0.95
mpdd,0,1,exploratory,pixel_ap,B - A1_J,-0.029777029266922217,-0.030438953112943763,-0.04419297226089784,-0.01970311943652651,1000,0.95
mpdd,0,1,exploratory,pixel_ap,S - A1_J,-0.028973494496961127,-0.030001354512050958,-0.046348623452973456,-0.010125528394002943,1000,0.95
mpdd,0,1,exploratory,pixel_ap,C - A1_J,-0.047425663335342594,-0.04892432829048842,-0.06752889022242121,-0.030967633399689626,1000,0.95
mpdd,0,1,exploratory,pixel_ap,TRI_J - DUP_J,0.005734454542563272,0.006500969303957852,-0.0028296835750110244,0.02008472258450115,1000,0.95
mpdd,0,1,exploratory,pixel_ap,TRI_L - DUP_L,0.009740721702788113,0.010568576893136878,0.0024829898655895537,0.02101380049061283,1000,0.95
mpdd,0,1,exploratory,pixel_ap,BAL_J - A1_J,0.0024153920025455355,0.0028740808119198753,-0.004412019960223325,0.012243399805945826,1000,0.95
mpdd,0,1,exploratory,pixel_ap,BAL_L - A1_L,0.005875324246522873,0.0067523566847357,-0.0007169285394562262,0.014692830766696075,1000,0.95
mpdd,0,2,exploratory,pixel_ap,A1_L - A1_J,0.005516528076428606,0.005169178823991301,1.798029107834421e-05,0.010390696616914179,1000,0.95
mpdd,0,2,exploratory,pixel_ap,TRI_L - TRI_J,0.0065373233206706405,0.007834896025298702,0.0008003440429415247,0.01542327906543921,1000,0.95
mpdd,0,2,exploratory,pixel_ap,BAL_L - BAL_J,0.010294852240147812,0.010849574306409548,0.005284218833288111,0.01779137273840361,1000,0.95
mpdd,0,2,exploratory,pixel_ap,DUP_L - DUP_J,0.001066586645904477,0.0012652478117175208,-0.002157179259122463,0.0049681069142937205,1000,0.95
