dataset,seed,shot,metric,contrast,point_delta,mean_delta,ci_low,ci_high,n_replicates,ci_level
mpdd,0,1,pixel_ap,A1_L - A1_J,0.003958875719431154,0.003931237848534279,-9.794465426553091e-05,0.008610271328031887,1000,0.95
mpdd,0,2,pixel_ap,A1_L - A1_J,0.005516528076428606,0.005169178823991301,1.798029107834421e-05,0.010390696616914179,1000,0.95
mpdd,0,4,pixel_ap,A1_L - A1_J,0.003941821955133262,0.004532572062160044,-0.0005798137088437207,0.010910746550050561,1000,0.95
mpdd,0,8,pixel_ap,A1_L - A1_J,0.006153731614076785,0.006587086672492185,0.0015240730766896277,0.012010297201368477,1000,0.95
mpdd,1,1,pixel_ap,A1_L - A1_J,0.005837019260194032,0.0068282166671531095,0.0014328674464882177,0.013604593005551226,1000,0.95
mpdd,1,2,pixel_ap,A1_L - A1_J,0.006725705964686635,0.007281783772467005,0.001471125540988472,0.013751375833605424,1000,0.95
mpdd,1,4,pixel_ap,A1_L - A1_J,0.007117116773418808,0.006859143068914527,0.0014014317613650453,0.012902515106920646,1000,0.95
mpdd,1,8,pixel_ap,A1_L - A1_J,0.0060851809488878805,0.005880544147354813,0.001278653043462522,0.011231184590897293,1000,0.95
mpdd,2,1,pixel_ap,A1_L - A1_J,0.005958376004808585,0.00603035593249168,0.002032841855941192,0.012406594745780668,1000,0.95
mpdd,2,2,pixel_ap,A1_L - A1_J,0.004844441210053119,0.004992514895373426,0.0009678339215562229,0.010406711268319416,1000,0.95
mpdd,2,4,pixel_ap,A1_L - A1_J,0.007124482729511217,0.007488601928471383,0.001979165024565149,0.01389200889900224,1000,0.95
mpdd,2,8,pixel_ap,A1_L - A1_J,0.010875613694074693,0.010879659929646915,0.004864473785054597,0.016776643307873693,1000,0.95
btad,0,1,pixel_ap,A1_L - A1_J,0.009177937732827157,0.009277047012778877,0.006475028664584121,0.012565061638160787,1000,0.95
btad,0,2,pixel_ap,A1_L - A1_J,0.010699037578276172,0.010933821144554294,0.008343215817055624,0.014578136023075828,1000,0.95
btad,0,4,pixel_ap,A1_L - A1_J,0.011246297257146987,0.011577569435080775,0.008847974881186304,0.015338215240988618,1000,0.95
btad,0,8,pixel_ap,A1_L - A1_J,0.008821682849176837,0.00904392620752824,0.006925230998082441,0.011831993149726218,1000,0.95
btad,1,1,pixel_ap,A1_L - A1_J,0.008180788796294802,0.00822545908083832,0.006099805656775953,0.010668556074284097,1000,0.95
btad,1,2,pixel_ap,A1_L - A1_J,0.00771003021370209,0.007760548859142053,0.0058694014758837515,0.009963906757461016,1000,0.95
btad,1,4,pixel_ap,A1_L - A1_J,0.0065572966248135245,0.0065989244867745035,0.004437049106499741,0.009192119408256344,1000,0.95
btad,1,8,pixel_ap,A1_L - A1_J,0.003987209155916438,0.0040821500983755105,0.0020489083820160623,0.006625848266314005,1000,0.95
