dataset,seed,shot,contrast,category,point_delta,direction
btad,0,1,A1_L - A1_J,01,0.011435351992491571,positive
btad,0,1,A1_L - A1_J,02,0.005260977157700575,positive
btad,0,1,A1_L - A1_J,03,0.010837484048289325,positive
btad,0,1,A1_L - A1_J,__macro__,0.009177937732827157,positive
btad,0,1,TRI_L - TRI_J,01,0.012553549789663498,positive
btad,0,1,TRI_L - TRI_J,02,0.005287153182341742,positive
btad,0,1,TRI_L - TRI_J,03,0.00578247931111775,positive
btad,0,1,TRI_L - TRI_J,__macro__,0.00787439409437433,positive
btad,0,1,BAL_L - BAL_J,01,0.0163791380264644,positive
btad,0,1,BAL_L - BAL_J,02,0.005892944128275013,positive
btad,0,1,BAL_L - BAL_J,03,0.00486039904771951,positive
btad,0,1,BAL_L - BAL_J,__macro__,0.009044160400819642,positive
btad,0,1,DUP_L - DUP_J,01,0.00818753134140704,positive
btad,0,1,DUP_L - DUP_J,02,0.004714337017309944,positive
btad,0,1,DUP_L - DUP_J,03,0.007428312798825054,positive
btad,0,1,DUP_L - DUP_J,__macro__,0.006776727052514013,positive
btad,0,1,DUP_J - A1_J,01,-0.01100903360144423,negative
btad,0,1,DUP_J - A1_J,02,-0.01352546517195996,negative
btad,0,1,DUP_J - A1_J,03,-0.003734508669316572,negative
btad,0,1,DUP_J - A1_J,__macro__,-0.00942300248090692,negative
btad,0,1,TRI_J - DUP_J,01,-0.01598969625346236,negative
btad,0,1,TRI_J - DUP_J,02,0.051960876349052776,positive
btad,0,1,TRI_J - DUP_J,03,0.0344527950860779,positive
btad,0,1,TRI_J - DUP_J,__macro__,0.02347465839388944,positive
btad,0,1,TRI_L - DUP_L,01,-0.011623677805205901,negative
btad,0,1,TRI_L - DUP_L,02,0.05253369251408457,positive
btad,0,1,TRI_L - DUP_L,03,0.0328069615983706,positive
btad,0,1,TRI_L - DUP_L,__macro__,0.024572325435749758,positive
btad,0,1,BAL_J - A1_J,01,-0.014902307512101531,negative
btad,0,1,BAL_J - A1_J,02,0.04227347294074113,positive
btad,0,1,BAL_J - A1_J,03,0.023540365083592807,positive
btad,0,1,BAL_J - A1_J,__macro__,0.016970510170744135,positive
btad,0,1,BAL_L - A1_L,01,-0.009958521478128701,negative
btad,0,1,BAL_L - A1_L,02,0.04290543991131557,positive
btad,0,1,BAL_L - A1_L,03,0.017563280083022992,positive
btad,0,1,BAL_L - A1_L,__macro__,0.01683673283873662,positive
btad,0,2,A1_L - A1_J,01,0.007939374250113929,positive
btad,0,2,A1_L - A1_J,02,0.009417724717779574,positive
btad,0,2,A1_L - A1_J,03,0.01474001376693479,positive
btad,0,2,A1_L - A1_J,__macro__,0.010699037578276097,positive
btad,0,2,TRI_L - TRI_J,01,0.000736406216619856,positive
