dataset,seed,shot,contrast,dropped_category,remaining_macro_delta,mean_delta,ci_low,ci_high,n_replicates,sign_flip
btad,0,1,A1_L - A1_J,01,0.00804923060299495,0.00814199205509149,0.004611398190364136,0.01281089057941184,1000,False
btad,0,1,A1_L - A1_J,02,0.011136418020390448,0.011259847090395375,0.007335418509335501,0.01580660093459767,1000,False
btad,0,1,A1_L - A1_J,03,0.008348164575096073,0.008429301892849761,0.006289017347622795,0.010648826417366015,1000,False
btad,0,1,TRI_L - TRI_J,01,0.005534816246729746,0.005494626304895843,0.0014302659035529146,0.00927776604164075,1000,False
btad,0,1,TRI_L - TRI_J,02,0.009168014550390624,0.009484766426943854,0.0035467133738232835,0.015606017009286115,1000,False
btad,0,1,TRI_L - TRI_J,03,0.00892035148600262,0.009274263849531878,0.004756438273810991,0.014535882596406985,1000,False
btad,0,1,BAL_L - BAL_J,01,0.0053766715879972615,0.005388176219498795,0.00029113739220127814,0.009831547938053402,1000,False
btad,0,1,BAL_L - BAL_J,02,0.010619768537091956,0.010987086867558435,0.00412157310177699,0.018112543600861824,1000,False
btad,0,1,BAL_L - BAL_J,03,0.011136041077369707,0.011507740316085698,0.006914374428565388,0.017075965686708976,1000,False
btad,0,1,DUP_L - DUP_J,01,0.006071324908067499,0.006091237710075787,0.003383380387301481,0.009073939983285245,1000,False
btad,0,1,DUP_L - DUP_J,02,0.007807922070116047,0.007816357015839938,0.005060041911848448,0.010883605291733453,1000,False
btad,0,1,DUP_L - DUP_J,03,0.006450934179358492,0.006514468158435385,0.005015697098208806,0.00815142212683545,1000,False
btad,0,1,DUP_J - A1_J,01,-0.008629986920638266,-0.00813345770169222,-0.014953885451710853,0.0002448065391656406,1000,False
btad,0,1,DUP_J - A1_J,02,-0.0073717711353804005,-0.006786438424128458,-0.013783426253111188,0.0015002929322202345,1000,False
btad,0,1,DUP_J - A1_J,03,-0.012267249386702095,-0.012418640492119343,-0.017114264703212603,-0.007762224356067444,1000,False
btad,0,1,TRI_J - DUP_J,01,0.04320683571756534,0.04311379211874073,0.02643086995282572,0.05844448736307016,1000,False
