dataset,revision,seed,shot,category,method,stride,pixel_ap,pixel_auroc
mpdd,study,1,4,bracket_white,D,1,0.12945526340488256,0.9941116491463327
mpdd,study,1,4,bracket_white,A1_J,1,0.21228497493663218,0.9980676972984912
mpdd,study,1,4,bracket_white,A1_L,1,0.2043759443720397,0.9979242466792065
mpdd,study,1,4,bracket_white,DUP_J,1,0.1599084011017444,0.9976562976241621
mpdd,study,1,4,bracket_white,DUP_L,1,0.1652693459874978,0.9976347580594028
mpdd,study,1,4,bracket_white,TRI_D_J,1,0.2374600198914341,0.9985864434766236
mpdd,study,1,4,bracket_white,TRI_D_L,1,0.24790960495964698,0.9986102432271401
mpdd,study,1,4,bracket_white,BAL_D_J,1,0.22527358893017452,0.9986057957320158
mpdd,study,1,4,bracket_white,BAL_D_L,1,0.24271116885665128,0.9985852413933172
