method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
D,0.9972689954282223,0.8604786132836953,1.0,1.0,1.0
A1_J,0.5832681065078672,0.026055929545931944,0.5,0.8333333333333333,0.8
A1_L,0.598171288921404,0.03053865307086093,0.0,0.5833333333333333,0.8
DUP_J,0.6082857079175532,0.031219722778257755,0.0,0.5833333333333333,0.8
DUP_L,0.581857371549042,0.028115429384514598,0.0,0.5833333333333333,0.8
TRI_D_J,0.9936595592371018,0.8125958535927849,1.0,1.0,1.0
TRI_D_L,0.9969831773789436,0.861839959077732,1.0,1.0,1.0
BAL_D_J,0.9932714760142279,0.8123653744540449,1.0,1.0,1.0
BAL_D_L,0.9965950941560698,0.8538255870768,1.0,1.0,1.0
