dataset,seed,shot,category,method,pixel_ap
btad,0,1,01,A1_J,0.58370455601948523
btad,0,1,01,A1_L,0.5953971296967181
btad,0,1,01,B,0.55286608131133907
btad,0,1,01,BAL_J,0.56855328673043037
btad,0,1,01,BAL_L,0.58507310025624049
btad,0,1,01,C,0.50907710967219677
btad,0,1,01,DUP_BAL_J,0.58370455601948523
btad,0,1,01,DUP_EXPECTED_J,0.57261415479265487
btad,0,1,01,DUP_J,0.57261415479265487
btad,0,1,01,DUP_L,0.58097811270174704
btad,0,1,01,S,0.39414377419933466
btad,0,1,01,TRI_J,0.55649719209930193
btad,0,1,01,TRI_L,0.56923741301804331
btad,0,1,02,A1_J,0.6105978170245373
btad,0,1,02,A1_L,0.61571937534884669
btad,0,1,02,B,0.57513592228480992
btad,0,1,02,BAL_J,0.65146955169513809
btad,0,1,02,BAL_L,0.65741324612317686
btad,0,1,02,C,0.49271610686959771
btad,0,1,02,DUP_BAL_J,0.6105978170245373
btad,0,1,02,DUP_EXPECTED_J,0.59707771688260924
btad,0,1,02,DUP_J,0.59707771688260924
btad,0,1,02,DUP_L,0.60153813167404535
btad,0,1,02,S,0.6365599440845281
btad,0,1,02,TRI_J,0.64737686618191781
btad,0,1,02,TRI_L,0.65270825885313277
btad,0,1,03,A1_J,0.66861596412184199
btad,0,1,03,A1_L,0.67948458609275253
btad,0,1,03,B,0.64058681886516511
btad,0,1,03,BAL_J,0.6925701831001404
btad,0,1,03,BAL_L,0.69744441345673203
btad,0,1,03,C,0.12296663378980598
btad,0,1,03,DUP_BAL_J,0.66861596412184199
btad,0,1,03,DUP_EXPECTED_J,0.66412213484884186
btad,0,1,03,DUP_J,0.66412213484884186
btad,0,1,03,DUP_L,0.67133713821676211
btad,0,1,03,S,0.6620713890453257
btad,0,1,03,TRI_J,0.6995654359829715
btad,0,1,03,TRI_L,0.70523677937732721
btad,0,2,01,A1_J,0.58932558440908089
btad,0,2,01,A1_L,0.59734740220549154
btad,0,2,01,B,0.55646398555355236
btad,0,2,01,BAL_J,0.56776977406109974
btad,0,2,01,BAL_L,0.57212205559017892
btad,0,2,01,C,0.52021764608722632
btad,0,2,01,DUP_BAL_J,0.58932558440908089
btad,0,2,01,DUP_EXPECTED_J,0.57718201260967095
btad,0,2,01,DUP_J,0.57718201260967095
btad,0,2,01,DUP_L,0.58313090766843034
btad,0,2,01,S,0.33307182669935737
btad,0,2,01,TRI_J,0.55208849216951761
btad,0,2,01,TRI_L,0.55267932613869919
btad,0,2,02,A1_J,0.59786955328463665
btad,0,2,02,A1_L,0.60709591099608584
btad,0,2,02,B,0.56527673021502989
btad,0,2,02,BAL_J,0.63330340168113519
btad,0,2,02,BAL_L,0.64392405609518022
btad,0,2,02,C,0.49182042543906629
btad,0,2,02,DUP_BAL_J,0.59786955328463665
btad,0,2,02,DUP_EXPECTED_J,0.58564961519382497
btad,0,2,02,DUP_J,0.58564961519382497
btad,0,2,02,DUP_L,0.59196165749436824
btad,0,2,02,S,0.61051644486244083
btad,0,2,02,TRI_J,0.62868895450716877
btad,0,2,02,TRI_L,0.63736640041538806
btad,0,2,03,A1_J,0.74298800811847976
btad,0,2,03,A1_L,0.75761965986592161
btad,0,2,03,B,0.73013358316297849
