method,dataset,seed,shot,category,n_images,n_references,map_shape,resolution,batch_size,scales,seconds,s_per_image,peak_gpu_mb,map_key
winclip_native_240,mpdd,0,1,bracket_black,79,1,240x240,240,16,"2,3",17.74,0.2245,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,bracket_black,79,4,240x240,240,16,"2,3",16.24,0.2055,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,bracket_black,79,1,240x240,240,16,"2,3",16.32,0.2066,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,bracket_black,79,4,240x240,240,16,"2,3",16.49,0.2087,1155.4,anomaly_maps
winclip_native_240,mpdd,0,1,bracket_brown,77,1,240x240,240,16,"2,3",16.8,0.2182,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,bracket_brown,77,4,240x240,240,16,"2,3",15.87,0.2061,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,bracket_brown,77,1,240x240,240,16,"2,3",15.91,0.2066,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,bracket_brown,77,4,240x240,240,16,"2,3",14.33,0.1861,1155.4,anomaly_maps
winclip_native_240,mpdd,0,1,bracket_white,60,1,240x240,240,16,"2,3",11.27,0.1879,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,bracket_white,60,4,240x240,240,16,"2,3",11.05,0.1842,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,bracket_white,60,1,240x240,240,16,"2,3",10.76,0.1793,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,bracket_white,60,4,240x240,240,16,"2,3",12.68,0.2113,1155.4,anomaly_maps
winclip_native_240,mpdd,0,1,connector,44,1,240x240,240,16,"2,3",9.37,0.213,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,connector,44,4,240x240,240,16,"2,3",9.54,0.2167,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,connector,44,1,240x240,240,16,"2,3",8.84,0.2008,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,connector,44,4,240x240,240,16,"2,3",8.99,0.2042,1155.4,anomaly_maps
winclip_native_240,mpdd,0,1,metal_plate,97,1,240x240,240,16,"2,3",18.59,0.1917,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,metal_plate,97,4,240x240,240,16,"2,3",16.96,0.1749,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,metal_plate,97,1,240x240,240,16,"2,3",16.59,0.1711,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,metal_plate,97,4,240x240,240,16,"2,3",17.01,0.1754,1155.4,anomaly_maps
winclip_native_240,mpdd,0,1,tubes,101,1,240x240,240,16,"2,3",19.91,0.1971,1154.1,anomaly_maps
winclip_native_240,mpdd,0,4,tubes,101,4,240x240,240,16,"2,3",17.92,0.1775,1155.4,anomaly_maps
winclip_native_240,mpdd,1,1,tubes,101,1,240x240,240,16,"2,3",18.82,0.1864,1154.1,anomaly_maps
winclip_native_240,mpdd,1,4,tubes,101,4,240x240,240,16,"2,3",17.89,0.1772,1155.4,anomaly_maps
winclip_native_240,btad,0,1,01,70,1,240x240,240,16,"2,3",13.45,0.1921,1154.1,anomaly_maps
winclip_native_240,btad,0,4,01,70,4,240x240,240,16,"2,3",10.87,0.1552,1155.4,anomaly_maps
winclip_native_240,btad,1,1,01,70,1,240x240,240,16,"2,3",11.02,0.1574,1154.1,anomaly_maps
winclip_native_240,btad,1,4,01,70,4,240x240,240,16,"2,3",11.52,0.1646,1155.4,anomaly_maps
winclip_native_240,btad,0,1,02,230,1,240x240,240,16,"2,3",35.87,0.1559,1154.1,anomaly_maps
winclip_native_240,btad,0,4,02,230,4,240x240,240,16,"2,3",32.9,0.143,1155.4,anomaly_maps
winclip_native_240,btad,1,1,02,230,1,240x240,240,16,"2,3",32.92,0.1431,1154.1,anomaly_maps
winclip_native_240,btad,1,4,02,230,4,240x240,240,16,"2,3",32.42,0.1409,1155.4,anomaly_maps
winclip_native_240,btad,0,1,03,441,1,240x240,240,16,"2,3",66.22,0.1502,1154.1,anomaly_maps
winclip_native_240,btad,0,4,03,441,4,240x240,240,16,"2,3",56.71,0.1286,1155.4,anomaly_maps
winclip_native_240,btad,1,1,03,441,1,240x240,240,16,"2,3",55.94,0.1269,1154.1,anomaly_maps
winclip_native_240,btad,1,4,03,441,4,240x240,240,16,"2,3",56.21,0.1275,1155.4,anomaly_maps
winclip_native_240,mvtec,0,4,bottle,83,4,240x240,240,16,"2,3",13.76,0.1658,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,bottle,83,1,240x240,240,16,"2,3",13.43,0.1618,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,bottle,83,4,240x240,240,16,"2,3",13.82,0.1665,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,cable,150,1,240x240,240,16,"2,3",27.63,0.1842,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,cable,150,4,240x240,240,16,"2,3",25.3,0.1687,1155.4,anomaly_maps
