dataset,seed,shot,contrast,category,point_delta,direction
mvtec,0,1,A1_L - A1_J,bottle,-0.004415590579020079,negative
mvtec,0,1,A1_L - A1_J,cable,-0.011964681082524464,negative
mvtec,0,1,A1_L - A1_J,capsule,0.009092700049528057,positive
mvtec,0,1,A1_L - A1_J,carpet,-0.007121508455214642,negative
mvtec,0,1,A1_L - A1_J,grid,0.00838229186774997,positive
mvtec,0,1,A1_L - A1_J,hazelnut,-0.001381406172073385,negative
mvtec,0,1,A1_L - A1_J,leather,-0.011612212686912038,negative
mvtec,0,1,A1_L - A1_J,metal_nut,0.008317431553884425,positive
mvtec,0,1,A1_L - A1_J,pill,0.006046964644251918,positive
mvtec,0,1,A1_L - A1_J,screw,0.0003579168090978857,positive
mvtec,0,1,A1_L - A1_J,tile,-0.0015144201203112218,negative
mvtec,0,1,A1_L - A1_J,toothbrush,0.016466775726597715,positive
mvtec,0,1,A1_L - A1_J,transistor,0.014340382027711318,positive
mvtec,0,1,A1_L - A1_J,wood,-0.009805782698121934,negative
mvtec,0,1,A1_L - A1_J,zipper,0.0004645574313766332,positive
mvtec,0,1,A1_L - A1_J,__macro__,0.0010435612210680104,positive
mvtec,0,1,TRI_L - TRI_J,bottle,-0.0036462495764026936,negative
mvtec,0,1,TRI_L - TRI_J,cable,-0.0029685307515681103,negative
mvtec,0,1,TRI_L - TRI_J,capsule,0.0052091481114492355,positive
mvtec,0,1,TRI_L - TRI_J,carpet,-0.006136281041242864,negative
mvtec,0,1,TRI_L - TRI_J,grid,0.0011995236790039998,positive
mvtec,0,1,TRI_L - TRI_J,hazelnut,0.004892309535561301,positive
mvtec,0,1,TRI_L - TRI_J,leather,-0.015080599213555979,negative
mvtec,0,1,TRI_L - TRI_J,metal_nut,0.012627253220857004,positive
mvtec,0,1,TRI_L - TRI_J,pill,0.012612704182574652,positive
mvtec,0,1,TRI_L - TRI_J,screw,0.008189810474710901,positive
mvtec,0,1,TRI_L - TRI_J,tile,0.0020917834656101197,positive
mvtec,0,1,TRI_L - TRI_J,toothbrush,0.018427005911319627,positive
mvtec,0,1,TRI_L - TRI_J,transistor,0.03226889013839329,positive
mvtec,0,1,TRI_L - TRI_J,wood,-0.0059883894873224985,negative
mvtec,0,1,TRI_L - TRI_J,zipper,0.0023605500053941464,positive
mvtec,0,1,TRI_L - TRI_J,__macro__,0.0044039285769854756,positive
mvtec,0,1,BAL_L - BAL_J,bottle,-0.004281309731017036,negative
mvtec,0,1,BAL_L - BAL_J,cable,-0.004136727591071532,negative
mvtec,0,1,BAL_L - BAL_J,capsule,0.007725656176377271,positive
mvtec,0,1,BAL_L - BAL_J,carpet,-0.006771619759942227,negative
mvtec,0,1,BAL_L - BAL_J,grid,0.007384435239205733,positive
mvtec,0,1,BAL_L - BAL_J,hazelnut,0.004800343081496794,positive
mvtec,0,1,BAL_L - BAL_J,leather,-0.018807565804638604,negative
mvtec,0,1,BAL_L - BAL_J,metal_nut,0.016215812530908646,positive
mvtec,0,1,BAL_L - BAL_J,pill,0.013579400151595755,positive
mvtec,0,1,BAL_L - BAL_J,screw,0.008101378623610295,positive
mvtec,0,1,BAL_L - BAL_J,tile,0.0017073333527869439,positive
mvtec,0,1,BAL_L - BAL_J,toothbrush,0.022966952861249168,positive
mvtec,0,1,BAL_L - BAL_J,transistor,0.036200106660262465,positive
mvtec,0,1,BAL_L - BAL_J,wood,-0.006809395867878765,negative
mvtec,0,1,BAL_L - BAL_J,zipper,0.00561676873188649,positive
mvtec,0,1,BAL_L - BAL_J,__macro__,0.00556610457698876,positive
mvtec,0,1,DUP_L - DUP_J,bottle,-0.0037051607948680454,negative
mvtec,0,1,DUP_L - DUP_J,cable,-0.010114820664761215,negative
mvtec,0,1,DUP_L - DUP_J,capsule,0.0038381409727519245,positive
mvtec,0,1,DUP_L - DUP_J,carpet,-0.00494464023756358,negative
mvtec,0,1,DUP_L - DUP_J,grid,0.005831605216923608,positive
mvtec,0,1,DUP_L - DUP_J,hazelnut,-0.0023324376356116394,negative
mvtec,0,1,DUP_L - DUP_J,leather,-0.008761938571390182,negative
mvtec,0,1,DUP_L - DUP_J,metal_nut,0.0013247264401244907,positive
mvtec,0,1,DUP_L - DUP_J,pill,0.0015211001569654936,positive
mvtec,0,1,DUP_L - DUP_J,screw,-0.0009088423163664539,negative
mvtec,0,1,DUP_L - DUP_J,tile,-0.00039007711928940036,negative
mvtec,0,1,DUP_L - DUP_J,toothbrush,0.010271105215440057,positive
mvtec,0,1,DUP_L - DUP_J,transistor,0.007091264376515083,positive
mvtec,0,1,DUP_L - DUP_J,wood,-0.0068556314475112234,negative
mvtec,0,1,DUP_L - DUP_J,zipper,-0.0014693449845556428,negative
mvtec,0,1,DUP_L - DUP_J,__macro__,-0.0006403300928797817,negative
mvtec,0,1,DUP_J - A1_J,bottle,-0.003494012347054043,negative
mvtec,0,1,DUP_J - A1_J,cable,-0.005961343471171721,negative
mvtec,0,1,DUP_J - A1_J,capsule,-0.003985846959939421,negative
mvtec,0,1,DUP_J - A1_J,carpet,-0.03276239100845191,negative
mvtec,0,1,DUP_J - A1_J,grid,0.00740155446041868,positive
mvtec,0,1,DUP_J - A1_J,hazelnut,0.015967994222227833,positive
mvtec,0,1,DUP_J - A1_J,leather,0.016260420539257747,positive
mvtec,0,1,DUP_J - A1_J,metal_nut,-0.02884004724890077,negative
