dataset,seed,shot,contrast,dropped_category,remaining_macro_delta,mean_delta,ci_low,ci_high,n_replicates,sign_flip
mvtec,0,1,A1_L - A1_J,bottle,0.0014335006353600169,0.001435012781531438,-0.000958226254807956,0.0035583547706783927,1000,False
mvtec,0,1,A1_L - A1_J,cable,0.00197272138561033,0.002002053815549127,-0.000326654117289504,0.004114110039703412,1000,False
mvtec,0,1,A1_L - A1_J,capsule,0.00046862273332086424,0.0005012219923331156,-0.001748817381201179,0.0026347579171752057,1000,False
mvtec,0,1,A1_L - A1_J,carpet,0.0016267804836596286,0.0016268153111663945,-0.0007320353416238702,0.0037696207124458536,1000,False
mvtec,0,1,A1_L - A1_J,grid,0.0005193661748764419,0.0006547594945856179,-0.0012877963350689037,0.002448427398721404,1000,False
mvtec,0,1,A1_L - A1_J,hazelnut,0.0012167731777209673,0.001213623879046554,-0.0010681557274153561,0.0033379980960375577,1000,False
mvtec,0,1,A1_L - A1_J,leather,0.0019475450716380138,0.0019849671405834327,-0.0003020065454092785,0.004122790883287919,1000,False
mvtec,0,1,A1_L - A1_J,metal_nut,0.0005239990544382665,0.0005358075726969716,-0.0017998343411647186,0.0026703854613555275,1000,False
mvtec,0,1,A1_L - A1_J,pill,0.00068617526226916,0.0007019111957529913,-0.0016249625522120688,0.0028666090561241097,1000,False
mvtec,0,1,A1_L - A1_J,screw,0.0010925358219230194,0.0009604586149167988,-0.001214713129946392,0.0029767738992954288,1000,False
mvtec,0,1,A1_L - A1_J,tile,0.00122627417402367,0.0012347836327694082,-0.001108165389542701,0.0033596129716846066,1000,False
mvtec,0,1,A1_L - A1_J,toothbrush,-5.809695789839705e-05,-7.426073192759452e-08,-0.002046089819341232,0.001905344378848205,1000,False
mvtec,0,1,A1_L - A1_J,transistor,9.378830630777419e-05,3.7588666379371334e-05,-0.002131233824887609,0.00211914038260707,1000,False
mvtec,0,1,A1_L - A1_J,wood,0.0018185143581530064,0.0018026600159456914,-0.0005865495607683287,0.003950355165999307,1000,False
mvtec,0,1,A1_L - A1_J,zipper,0.0010849186346173945,0.0010923161705538602,-0.0012350639265200412,0.003177764477012905,1000,False
mvtec,0,1,TRI_L - TRI_J,bottle,0.004978941302227488,0.0051055077976584415,0.0031463346569934555,0.006947828372430033,1000,False
mvtec,0,1,TRI_L - TRI_J,cable,0.004930532814739303,0.005051354259638608,0.0031496133287381325,0.006971570849772691,1000,False
mvtec,0,1,TRI_L - TRI_J,capsule,0.00434641289595235,0.004495240102587614,0.002612489807934268,0.0064326596779432045,1000,False
mvtec,0,1,TRI_L - TRI_J,carpet,0.0051568006925732145,0.00527206483021256,0.0033608402677269716,0.007157500763392627,1000,False
mvtec,0,1,TRI_L - TRI_J,grid,0.00463281464112701,0.004733100278998048,0.003017667371864536,0.0063807353508336315,1000,False
mvtec,0,1,TRI_L - TRI_J,hazelnut,0.004369044222801488,0.004484453376879749,0.0025901782771961855,0.006365201295545193,1000,False
mvtec,0,1,TRI_L - TRI_J,leather,0.005795680562024151,0.005936413814062149,0.004008716941137685,0.007782390564007522,1000,False
mvtec,0,1,TRI_L - TRI_J,metal_nut,0.0038165482452803662,0.003950870385713,0.0020184748633618756,0.005893241666567678,1000,False
mvtec,0,1,TRI_L - TRI_J,pill,0.0038175874623005345,0.003983628796513909,0.0021202822435375563,0.005897644898893878,1000,False
mvtec,0,1,TRI_L - TRI_J,screw,0.00413350844143366,0.004228558080513977,0.0024980499493899174,0.006009061234526519,1000,False
mvtec,0,1,TRI_L - TRI_J,tile,0.004569081799226572,0.004701195415157608,0.0027604156954635912,0.006612345404507927,1000,False
mvtec,0,1,TRI_L - TRI_J,toothbrush,0.0034022801959616078,0.003551781260777139,0.001757152919255778,0.00540424055018938,1000,False
mvtec,0,1,TRI_L - TRI_J,transistor,0.00241357417974206,0.0024754708238462976,0.0008109138505473188,0.004285437846875608,1000,False
mvtec,0,1,TRI_L - TRI_J,wood,0.005146237010150331,0.00524186593433216,0.0033583176208396206,0.0071494964374545006,1000,False
mvtec,0,1,TRI_L - TRI_J,zipper,0.004549884189241999,0.004673512965189023,0.002793916003103438,0.006467807022787681,1000,False
mvtec,0,1,BAL_L - BAL_J,bottle,0.006269491313274888,0.006402302281493178,0.003999006412699955,0.008656961711536085,1000,False
mvtec,0,1,BAL_L - BAL_J,cable,0.006259164017564495,0.006399277218488372,0.00397895423873257,0.00872537944949098,1000,False
mvtec,0,1,BAL_L - BAL_J,capsule,0.005411850891318152,0.0055805399815047774,0.0032838572053987217,0.007846752095397666,1000,False
mvtec,0,1,BAL_L - BAL_J,carpet,0.006447370601055259,0.006557069547332551,0.004098555886608338,0.008899562460735385,1000,False
mvtec,0,1,BAL_L - BAL_J,grid,0.005436223815401833,0.005588762900988744,0.0035180605323755832,0.007576385367961133,1000,False
mvtec,0,1,BAL_L - BAL_J,hazelnut,0.0056208018266667575,0.005742950749441759,0.0033402671433984204,0.008096275100446238,1000,False
mvtec,0,1,BAL_L - BAL_J,leather,0.007307081032819286,0.007463651631266902,0.005096307824820499,0.009666293019212293,1000,False
mvtec,0,1,BAL_L - BAL_J,metal_nut,0.004805411151708768,0.004947937559128123,0.0024862481852414462,0.007243226690512315,1000,False
mvtec,0,1,BAL_L - BAL_J,pill,0.004993726321659689,0.0051593241760051365,0.002738834719696909,0.00748397789462307,1000,False
mvtec,0,1,BAL_L - BAL_J,screw,0.00538501357365865,0.005462888569253127,0.003175858652900029,0.0076376807000550885,1000,False
mvtec,0,1,BAL_L - BAL_J,tile,0.005841731093003176,0.00598228480685871,0.003537353334354416,0.008319163733105171,1000,False
mvtec,0,1,BAL_L - BAL_J,toothbrush,0.004323186842398731,0.004482171541238173,0.002258572514718839,0.006764533513482028,1000,False
mvtec,0,1,BAL_L - BAL_J,transistor,0.003377961571040638,0.0034209496765729517,0.0011150985964258667,0.005496042511619857,1000,False
mvtec,0,1,BAL_L - BAL_J,wood,0.006450068894479298,0.006551952413976737,0.004114054722945274,0.008825512034941939,1000,False
mvtec,0,1,BAL_L - BAL_J,zipper,0.00556248570878178,0.005693819998575037,0.00329806618043793,0.007967110241015726,1000,False
mvtec,0,1,DUP_L - DUP_J,bottle,-0.0004214136141663343,-0.00040568482848076084,-0.0019468648253182948,0.001104985085755549,1000,False
mvtec,0,1,DUP_L - DUP_J,cable,3.64192336831778e-05,5.839599545671683e-05,-0.0014684370558287754,0.0015250062848248614,1000,False
mvtec,0,1,DUP_L - DUP_J,capsule,-0.0009602208832820465,-0.0009219771437419572,-0.002424523260947971,0.0005775823475140706,1000,False
