dataset,seed,shot,category,construction,image_index,sample_id,n_pairs,l_correct_j_wrong,l_wrong_j_correct,l_correct_j_wrong_rate,l_wrong_j_correct_rate
mvtec,0,1,bottle,A1,0,bottle/test/broken_large/000.png,4096,20,25,0.0048828125,0.006103515625
mvtec,0,1,bottle,A1,1,bottle/test/broken_large/001.png,4096,18,21,0.00439453125,0.005126953125
mvtec,0,1,bottle,A1,2,bottle/test/broken_large/002.png,4096,37,46,0.009033203125,0.01123046875
mvtec,0,1,bottle,A1,3,bottle/test/broken_large/003.png,4096,31,18,0.007568359375,0.00439453125
mvtec,0,1,bottle,A1,4,bottle/test/broken_large/004.png,3968,11,13,0.002772177419354839,0.003276209677419355
mvtec,0,1,bottle,A1,5,bottle/test/broken_large/005.png,4096,19,3,0.004638671875,0.000732421875
mvtec,0,1,bottle,A1,6,bottle/test/broken_large/006.png,4096,29,46,0.007080078125,0.01123046875
mvtec,0,1,bottle,A1,7,bottle/test/broken_large/007.png,4096,43,49,0.010498046875,0.011962890625
mvtec,0,1,bottle,A1,8,bottle/test/broken_large/008.png,4096,23,30,0.005615234375,0.00732421875
mvtec,0,1,bottle,A1,9,bottle/test/broken_large/009.png,4096,19,23,0.004638671875,0.005615234375
mvtec,0,1,bottle,A1,10,bottle/test/broken_large/010.png,4096,42,34,0.01025390625,0.00830078125
mvtec,0,1,bottle,A1,11,bottle/test/broken_large/011.png,4096,12,22,0.0029296875,0.00537109375
mvtec,0,1,bottle,A1,12,bottle/test/broken_large/012.png,4096,27,16,0.006591796875,0.00390625
mvtec,0,1,bottle,A1,13,bottle/test/broken_large/013.png,4096,7,41,0.001708984375,0.010009765625
mvtec,0,1,bottle,A1,14,bottle/test/broken_large/014.png,4096,45,34,0.010986328125,0.00830078125
mvtec,0,1,bottle,A1,15,bottle/test/broken_large/015.png,4096,37,14,0.009033203125,0.00341796875
mvtec,0,1,bottle,A1,16,bottle/test/broken_large/016.png,4096,35,23,0.008544921875,0.005615234375
mvtec,0,1,bottle,A1,17,bottle/test/broken_large/017.png,4096,31,26,0.007568359375,0.00634765625
mvtec,0,1,bottle,A1,18,bottle/test/broken_large/018.png,4096,46,35,0.01123046875,0.008544921875
mvtec,0,1,bottle,A1,19,bottle/test/broken_large/019.png,4096,21,78,0.005126953125,0.01904296875
mvtec,0,1,bottle,A1,20,bottle/test/broken_small/000.png,1088,16,5,0.014705882352941176,0.004595588235294118
mvtec,0,1,bottle,A1,21,bottle/test/broken_small/001.png,1984,17,0,0.008568548387096774,0.0
mvtec,0,1,bottle,A1,22,bottle/test/broken_small/002.png,3584,13,15,0.003627232142857143,0.004185267857142857
mvtec,0,1,bottle,A1,23,bottle/test/broken_small/003.png,4096,33,22,0.008056640625,0.00537109375
mvtec,0,1,bottle,A1,24,bottle/test/broken_small/004.png,3392,13,5,0.0038325471698113208,0.001474056603773585
mvtec,0,1,bottle,A1,25,bottle/test/broken_small/005.png,1792,10,6,0.005580357142857143,0.0033482142857142855
mvtec,0,1,bottle,A1,26,bottle/test/broken_small/006.png,2816,18,15,0.006392045454545455,0.005326704545454545
mvtec,0,1,bottle,A1,27,bottle/test/broken_small/007.png,2176,12,22,0.0055147058823529415,0.01011029411764706
mvtec,0,1,bottle,A1,28,bottle/test/broken_small/008.png,2368,7,6,0.0029560810810810812,0.002533783783783784
mvtec,0,1,bottle,A1,29,bottle/test/broken_small/009.png,2304,18,6,0.0078125,0.0026041666666666665
mvtec,0,1,bottle,A1,30,bottle/test/broken_small/010.png,4096,19,12,0.004638671875,0.0029296875
mvtec,0,1,bottle,A1,31,bottle/test/broken_small/011.png,2176,2,5,0.0009191176470588235,0.002297794117647059
mvtec,0,1,bottle,A1,32,bottle/test/broken_small/012.png,4096,41,22,0.010009765625,0.00537109375
mvtec,0,1,bottle,A1,33,bottle/test/broken_small/013.png,3328,35,44,0.010516826923076924,0.013221153846153846
mvtec,0,1,bottle,A1,34,bottle/test/broken_small/014.png,1792,10,4,0.005580357142857143,0.002232142857142857
mvtec,0,1,bottle,A1,35,bottle/test/broken_small/015.png,1920,1,3,0.0005208333333333333,0.0015625
mvtec,0,1,bottle,A1,36,bottle/test/broken_small/016.png,2432,24,8,0.009868421052631578,0.003289473684210526
mvtec,0,1,bottle,A1,37,bottle/test/broken_small/017.png,2432,22,10,0.009046052631578948,0.004111842105263158
mvtec,0,1,bottle,A1,38,bottle/test/broken_small/018.png,4096,31,9,0.007568359375,0.002197265625
mvtec,0,1,bottle,A1,39,bottle/test/broken_small/019.png,2880,11,10,0.0038194444444444443,0.003472222222222222
mvtec,0,1,bottle,A1,40,bottle/test/broken_small/020.png,3456,18,16,0.005208333333333333,0.004629629629629629
mvtec,0,1,bottle,A1,41,bottle/test/broken_small/021.png,2048,8,13,0.00390625,0.00634765625
mvtec,0,1,bottle,A1,42,bottle/test/contamination/000.png,4096,9,2,0.002197265625,0.00048828125
mvtec,0,1,bottle,A1,43,bottle/test/contamination/001.png,4096,9,22,0.002197265625,0.00537109375
mvtec,0,1,bottle,A1,44,bottle/test/contamination/002.png,1920,8,11,0.004166666666666667,0.005729166666666666
mvtec,0,1,bottle,A1,45,bottle/test/contamination/003.png,2752,30,10,0.010901162790697675,0.003633720930232558
