dataset,contrast,seed,query_provenance,n_conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_half_width,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero
mpdd,I_TRI,0,own historical block,24,0.007757244891683729,0.007060268335260231,0.0006253939872414225,0.012861344093705146,0.006117975053231862,-0.0017883753219707797,0.01428322421331299,True,False
mpdd,I_BAL,0,own historical block,24,0.0046487255975529865,0.004845865264889129,-0.0010214843477907498,0.009692035308848365,0.005356759828319558,-0.002544749500885912,0.011358838746600515,False,False
mpdd,I_TRI,1,own historical block,24,0.007985760101886051,0.008108823138191498,0.003925125802586371,0.012792262853992317,0.004433568525702973,0.003024027721322847,0.014310337914446589,True,True
mpdd,I_BAL,1,own historical block,24,0.0076455671082057185,0.007689769113058522,0.0036505591285715933,0.012223853796625841,0.004286647334027124,0.0026525294160408656,0.013889646224728137,True,True
mpdd,I_TRI,2,own historical block,24,0.007420328217563929,0.00770399275894854,0.0038072443317607374,0.012099027744409609,0.004145891706324435,0.0027750724543669277,0.013824131935364423,True,True
mpdd,I_BAL,2,own historical block,24,0.005570243160847674,0.0059260284984923835,0.0019153585899941983,0.010471906037271906,0.004278273723638854,0.0006286946151407389,0.012950553050690846,True,True
mpdd,I_TRI,3,shared block (seed 3),24,0.008837335904969691,0.009443325112220796,0.005068289260837637,0.01501479629650601,0.004973253517834186,0.004182604521456752,0.016577046338213906,True,True
mpdd,I_BAL,3,shared block (seed 3),24,0.007249420099251405,0.00742224491320127,0.003559684123047585,0.012165480242069336,0.004302898059510876,0.0030517230012530416,0.014512588101748278,True,True
mpdd,I_TRI,4,shared block (seed 3),24,0.007298972893621802,0.0076589959765890996,0.004302391550280116,0.010909800057335382,0.003303704253527633,0.003230151976078991,0.01173162264971865,True,True
mpdd,I_BAL,4,shared block (seed 3),24,0.005446809013795778,0.005481175622004543,0.0025759494063657667,0.008196772539488724,0.002810411566561479,0.0017171058535605701,0.009242665367815888,True,True
mpdd,I_TRI,5,shared block (seed 3),24,0.008396418234203189,0.008864485278247415,0.0051011211720858735,0.013732509935775575,0.004315694381844851,0.004388156050960548,0.016255864143002216,True,True
mpdd,I_BAL,5,shared block (seed 3),24,0.006399469661093243,0.0066704068594925095,0.003175621739281375,0.011973582814938637,0.004398980537828631,0.002446690224775521,0.013327893113354373,True,True
mpdd,I_TRI,6,shared block (seed 3),24,0.0029665121136925204,0.0035370630901798723,-0.002453527099550567,0.009702558503396566,0.006078042801473567,-0.004606591003054406,0.011156474775415998,False,False
mpdd,I_BAL,6,shared block (seed 3),24,0.003393498811405878,0.0034220956950158296,-0.0012138927299052077,0.007426032075509476,0.0043199624027073415,-0.0036218778415653676,0.008494327994405047,False,False
mpdd,I_TRI,7,shared block (seed 3),24,0.0036465523780254334,0.004305090204992599,0.0013064749667266566,0.007051591691413022,0.0028725583623431827,0.00046017638151022155,0.007833545206346897,True,True
mpdd,I_BAL,7,shared block (seed 3),24,0.003473933851380334,0.0038637942801317935,0.0012984158785171681,0.006517122653899265,0.0026093533876910486,0.00026390189862168843,0.00792079220321629,True,True
btad,I_TRI,0,own historical block,12,-0.0013586394265878987,-0.0011075251577877712,-0.003263371589827785,0.0012102841156388256,0.0022368278527333052,-0.0037050750003710825,0.0019106752680902786,False,False
btad,I_BAL,0,own historical block,12,-0.002017798467598808,-0.0017860192396693645,-0.0038360445080540717,0.00031806946455260594,0.0020770569863033388,-0.004408209057459342,0.00108652447713808,False,False
btad,I_TRI,1,own historical block,12,0.00040276633765004566,0.0007138542076346368,-0.0009972315472127728,0.00291414760206963,0.0019556895746412014,-0.0014516223041724638,0.003596761319324166,False,False
