method,dataset,seed,shot,category,frame,n_test,grid,map_size,pixel_ap,pixel_auroc,pixel_ap_stride8,pixel_auroc_stride8,image_image_auroc,image_image_ap,image_score,memory_bank_s,scoring_s,evaluation_s,wall_clock_s,s_per_image,peak_gpu_mb,peak_ram_mb,peak_gpu_source,peak_ram_source,timing_sync,memory_bank_rows,reference_ids,rotation,masking
AnomalyDINO_native_dinov2_vits14,visa,0,1,candle,canvas,200,32x35,448x490,0.2693441781355541,0.9823901661982215,0.277898094444179,0.9825699946424368,0.8895,0.8937236909537544,official mean of the top 1% patch distances,0.51,17.998,3.328,21.835,0.09,113.54296875,1389.1,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,8960,candle/Data/Images/Normal/0345.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,capsules,canvas,160,32x48,448x672,0.2558468332432741,0.9630947712409549,0.25948645520740127,0.9632019625629628,0.9563333333333333,0.9725367599592413,official mean of the top 1% patch distances,0.455,26.993,3.533,30.981,0.1687,120.4755859375,1436.9,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,12288,capsules/Data/Images/Normal/595.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,cashew,canvas,150,32x34,448x476,0.5540792158295449,0.9917363404187343,0.5519451455854825,0.9917490765334851,0.9338000000000001,0.9677779310425147,official mean of the top 1% patch distances,0.381,13.834,2.342,16.557,0.0922,112.251953125,1436.9,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,8704,cashew/Data/Images/Normal/139.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,chewinggum,canvas,150,32x38,448x532,0.6863699102558082,0.9936453618982853,0.6873266013450618,0.9944934209514434,0.9852,0.993326077010853,official mean of the top 1% patch distances,0.388,14.872,2.603,17.864,0.0991,114.8369140625,1436.9,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,9728,chewinggum/Data/Images/Normal/126.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,fryum,canvas,150,32x48,448x672,0.22960128629856955,0.8974218171531402,0.2293303368295747,0.8976127807625659,0.9112,0.954261590879133,official mean of the top 1% patch distances,0.474,24.756,3.529,28.76,0.165,120.4755859375,1436.9,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,12288,fryum/Data/Images/Normal/139.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,macaroni1,canvas,200,32x48,448x672,0.05549434818073049,0.9525153367704282,0.06255032261515434,0.9541093141528989,0.8025000000000001,0.76759449986648,official mean of the top 1% patch distances,0.457,33.179,4.492,38.128,0.1659,120.4755859375,1617.3,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,12288,macaroni1/Data/Images/Normal/0345.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,macaroni2,canvas,200,32x48,448x672,0.041550614666080135,0.9654647407330097,0.05195193498359335,0.9689781959902891,0.6648999999999999,0.6523438297949525,official mean of the top 1% patch distances,0.448,33.181,4.374,38.002,0.1659,120.4755859375,1617.5,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,12288,macaroni2/Data/Images/Normal/0345.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb1,canvas,200,32x41,448x574,0.7203557099336373,0.991591561124503,0.7186282733666041,0.9913992760338712,0.8186000000000001,0.8116966154391827,official mean of the top 1% patch distances,0.425,29.317,3.875,33.616,0.1466,117.046875,1617.5,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,10496,pcb1/Data/Images/Normal/0138.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb2,canvas,200,32x41,448x574,0.10821397513494993,0.9502698092515807,0.10137526269346292,0.9443133451903509,0.7925,0.7491321815733235,official mean of the top 1% patch distances,0.439,29.178,3.895,33.513,0.1459,117.046875,1617.5,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,10496,pcb2/Data/Images/Normal/0094.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb3,canvas,201,32x52,448x728,0.2021053374019916,0.965636112819521,0.20735371032466043,0.9663756364982268,0.800990099009901,0.7795738363881609,official mean of the top 1% patch distances,0.505,36.131,5.068,41.705,0.1798,123.65087890625,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,13312,pcb3/Data/Images/Normal/0138.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pcb4,canvas,201,32x39,448x546,0.15074767219511365,0.9505542305542538,0.15043124158617116,0.9505094176048634,0.9024752475247525,0.8677147727927501,official mean of the top 1% patch distances,0.391,20.943,3.713,25.048,0.1042,115.18896484375,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,9984,pcb4/Data/Images/Normal/0138.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,1,pipe_fryum,canvas,150,32x36,448x504,0.3920761884413094,0.9878670032541261,0.39057803580630823,0.9878282240109835,0.9716,0.9859380961953367,official mean of the top 1% patch distances,0.384,14.053,2.454,16.89,0.0937,114.2744140625,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,9216,pipe_fryum/Data/Images/Normal/139.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,candle,canvas,200,32x35,448x490,0.35859656415176416,0.9891565022090459,0.36550068231813926,0.989459294249349,0.9107,0.9160927642238841,official mean of the top 1% patch distances,1.4,42.364,3.315,47.08,0.2118,113.77685546875,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,35840,candle/Data/Images/Normal/0345.JPG;candle/Data/Images/Normal/0661.JPG;candle/Data/Images/Normal/0789.JPG;candle/Data/Images/Normal/0517.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,capsules,canvas,160,32x48,448x672,0.30167576396477197,0.9738917930760242,0.3050527480537486,0.9741693274058005,0.9644999999999999,0.9785333838044257,official mean of the top 1% patch distances,1.758,53.613,3.579,58.951,0.3351,121.4130859375,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,49152,capsules/Data/Images/Normal/595.JPG;capsules/Data/Images/Normal/020.JPG;capsules/Data/Images/Normal/270.JPG;capsules/Data/Images/Normal/224.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,cashew,canvas,150,32x34,448x476,0.5300113318206245,0.9912898476425923,0.528467468527019,0.9912620944532616,0.9491999999999999,0.9741889862242955,official mean of the top 1% patch distances,1.412,32.44,2.349,36.2,0.2163,113.189453125,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,34816,cashew/Data/Images/Normal/139.JPG;cashew/Data/Images/Normal/111.JPG;cashew/Data/Images/Normal/456.JPG;cashew/Data/Images/Normal/459.JPG,True,False
AnomalyDINO_native_dinov2_vits14,visa,0,4,chewinggum,canvas,150,32x38,448x532,0.708323054233991,0.993645478169535,0.7092593397987897,0.9941242137802874,0.982,0.9924331949406509,official mean of the top 1% patch distances,1.449,37.343,2.704,41.496,0.249,115.705078125,1703.0,torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),torch.cuda.synchronize() before each stage boundary,38912,chewinggum/Data/Images/Normal/126.JPG;chewinggum/Data/Images/Normal/140.JPG;chewinggum/Data/Images/Normal/208.JPG;chewinggum/Data/Images/Normal/195.JPG,True,False
