Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_candle,0.8926000000000001,0.9870939366645691,0.9821389536538636
mvtec_capsules,0.482,0.9675220063748475,0.9721097509657213
mvtec_cashew,0.9418000000000001,0.9481204954531284,0.9381821933129325
mvtec_chewinggum,0.9914,0.9926385112842446,0.9905204102889008
mvtec_fryum,0.8318,0.8847825078402696,0.8760765204477986
mvtec_macaroni1,0.8777,0.9918752078134032,0.9904888038716809
mvtec_macaroni2,0.48009999999999997,0.9149573567737268,0.910815729245017
mvtec_pcb1,0.9274,0.9753675463170827,0.963842147636034
mvtec_pcb2,0.8765999999999998,0.959174863372825,0.9548582569979298
mvtec_pcb3,0.84,0.9695843698675347,0.9653453423726047
mvtec_pcb4,0.9206930693069306,0.9421323288652236,0.9232670008828465
mvtec_pipe_fryum,0.965,0.9802989806118098,0.9767392409428275
Mean,0.8355910891089109,0.9594623426032222,0.9536986958848463
