dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,4,metal_nut,B,1,0.9722894122934462,0.7975009642499117,0.9980449657869013,0.9995411302691571
mvtec,0,4,metal_nut,S,1,0.9742239606517907,0.7619108733655708,1.0,1.0
mvtec,0,4,metal_nut,C,1,0.9665435560339947,0.7972223226698276,0.9916911045943304,0.9980570855516828
mvtec,0,4,metal_nut,A1_J,1,0.9778746888555242,0.8292318620579142,1.0,1.0
mvtec,0,4,metal_nut,TRI_J,1,0.976918528706102,0.8108887827070808,1.0,1.0
mvtec,0,4,metal_nut,BAL_J,1,0.9785718845574207,0.8228858475517055,1.0,1.0
mvtec,0,4,metal_nut,DUP_J,1,0.9760023468738914,0.8183766131721991,0.9995112414467253,0.9998856097002974
mvtec,0,4,metal_nut,DUP_BAL_J,1,0.9778746888555242,0.8292318620579142,1.0,1.0
mvtec,0,4,metal_nut,DUP_EXPECTED_J,1,0.9760023468738914,0.8183766131721991,0.9995112414467253,0.9998856097002974
mvtec,0,4,metal_nut,A1_L,1,0.9805733407013554,0.8378385408349829,1.0,1.0
mvtec,0,4,metal_nut,DUP_L,1,0.97783765094875,0.8232819380452845,0.9995112414467253,0.9998856097002974
mvtec,0,4,metal_nut,TRI_L,1,0.9803875964170237,0.8217466173040525,1.0,1.0
mvtec,0,4,metal_nut,BAL_L,1,0.9823743650805791,0.8356507340239145,1.0,1.0
