category,sample_count,image_auroc,image_ap,image_f1_max,pixel_auroc,pixel_ap,aupro
mvtec_candle,200,0.3553,0.42681802406225444,0.6688963210702341,0.7726157069342288,0.04418785323837967,0.4341959150845822
mvtec_capsules,160,0.508,0.6694084679108867,0.7692307692307693,0.8066738685445407,0.058315308571757624,0.34707767807098333
mvtec_cashew,150,0.7698,0.8855380597078364,0.8296943231441047,0.9762381724402742,0.617433335790241,0.6352270708338055
mvtec_chewinggum,150,0.8964000000000001,0.9554713207237393,0.8804347826086957,0.9615552900888156,0.37989216662741687,0.5880230571592685
mvtec_fryum,150,0.7919999999999999,0.8927731888302326,0.832618025751073,0.8406430658961735,0.3423435985221068,0.4634725946356489
mvtec_macaroni1,200,0.5913,0.5796097847868295,0.6898954703832753,0.7846656244513464,0.004609431060819399,0.4447687136154139
mvtec_macaroni2,200,0.5553,0.5234592926329324,0.6745098039215686,0.7911593406450093,0.0018026345957962743,0.5408512751093475
mvtec_pcb1,200,0.8006,0.7498576794787456,0.8347826086956522,0.9320472333946207,0.12992696840931162,0.6698137359463989
mvtec_pcb2,200,0.7019999999999998,0.7269303402475957,0.6972477064220184,0.8644155540973777,0.038715912406502594,0.47935850850717776
mvtec_pcb3,201,0.6067326732673267,0.6577960943209076,0.6644518272425249,0.8686936022814711,0.31196770486109454,0.31402804519207805
mvtec_pcb4,201,0.7911881188118812,0.8075126537744947,0.743362831858407,0.81846710662118,0.10469335289887664,0.3685905676227091
mvtec_pipe_fryum,150,0.8256,0.9127074982283605,0.8390243902439023,0.9854164569239208,0.6885736030336735,0.7522992825767889
