dataset,family,contrast,metric,n_conditions,conditions,point_delta_raw,bootstrap_mean,ci_low,ci_high,ci_level,n_replicates,aggregation
mpdd,weight_control,DUP_J - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.008024756226863267,-0.007516662269963568,-0.011497202830031167,-0.0035778504057781568,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_J - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0030797264255575294,-0.0030559336887017894,-0.003784449989090445,-0.0024053911936384904,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_J - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.010645274380868467,-0.00948944021600648,-0.016092537267795984,-0.0026800613536936105,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_J - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.009865257150149706,-0.009798232833281195,-0.01618497696084863,-0.0032978684915186403,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_L - A1_L,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.010989301553620582,-0.010402333768572223,-0.014113705480297653,-0.006663123290430487,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_L - A1_L,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.004018577274680098,-0.003993926430869749,-0.004839957556452151,-0.003269136019633972,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_L - A1_L,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.013233293085326217,-0.012149351840782849,-0.018395694539384427,-0.00599601930148013,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,weight_control,DUP_L - A1_L,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.010477627128161767,-0.01047374984954214,-0.015762626116144617,-0.005064010384542206,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_J - DUP_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.002239295650100786,-0.002487697272572928,-0.009676672959746542,0.004779507732018213,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_J - DUP_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0030787687301585633,0.0030489073797752733,0.0017377548076828275,0.004402267614552311,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_J - DUP_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0008116115848677922,-0.00121769556219228,-0.013496276329851111,0.010229416231261229,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_J - DUP_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0012978873465114282,0.001043338657278226,-0.009988318800428303,0.012108471021989618,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_L - DUP_L,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0054818385649309615,0.005136664138227162,-0.0009174226111837295,0.01159868337515173,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_L - DUP_L,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005035553024622182,0.005000317700784315,0.0036818119095843164,0.006319229269944235,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_L - DUP_L,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.008766295146390315,0.008172234094227016,-0.00254685607791079,0.01900971236788172,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,TRI_L - DUP_L,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.009756680100610926,0.009601450475383551,-0.0010157911480207988,0.020244734531762856,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_J - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.005101747879352257,-0.005187999992611087,-0.011345429959963522,0.0012305267702172552,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_J - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0021713444147291408,0.0021469620400928918,0.001046223461328851,0.003206820550538043,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_J - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.003667448799062408,-0.00362454651294523,-0.015233235068819264,0.00698452784816573,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_J - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0001838983058671436,-0.0003624724958209663,-0.010353079789115337,0.009472113616335221,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_L - A1_L,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0008530423821506289,0.0009658876328689245,-0.004337402837593803,0.007082223901198041,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_L - A1_L,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00339317963162016,0.0033619559484357165,0.0023454454577686284,0.0043957638762535355,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_L - A1_L,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.002908832064498814,0.0027310502794564684,-0.007553185295833261,0.012674300364614246,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,representation_swap,BAL_L - A1_L,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.006653196407809268,0.0065311019385693335,-0.0028704536871612613,0.01631866146740388,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,A1_L - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.006178241162558731,0.006371741312420889,0.003372317206616912,0.00977410774034669,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,A1_L - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0031447606234403236,0.0031447646676367206,0.002463731573762592,0.003866024977679909,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,A1_L - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00562864830207821,0.005017259098406887,-0.005044873789421421,0.013907395380010262,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
