method,dataset,seed,shot,n_categories,macro_pixel_ap,macro_pixel_auroc,macro_pixel_ap_stride8,macro_pixel_auroc_stride8,macro_image_auroc,macro_image_ap,mean_memory_bank_s,mean_s_per_image,peak_gpu_mb
AnomalyDINO_native_dinov2_vits14,btad,0,1,3,0.5919304588595389,0.9676498090040165,0.5909177386696608,0.9658376359285984,0.9431890263654822,0.9370130894824457,0.4423333333333333,0.1107,118.80029296875
AnomalyDINO_native_dinov2_vits14,btad,0,4,3,0.5843465107574746,0.9637485825692224,0.5836475947978927,0.9620063137296745,0.9407337418126369,0.9713874263408551,1.4563333333333335,0.22863333333333333,118.80029296875
AnomalyDINO_native_dinov2_vits14,btad,1,1,3,0.5742832149024588,0.9677212082990838,0.5732927530878443,0.965604587919158,0.9402122354168148,0.9406214168296234,0.3673333333333333,0.09573333333333334,118.80029296875
AnomalyDINO_native_dinov2_vits14,btad,1,4,3,0.5930550978725192,0.9698192233538144,0.5921008824869871,0.9679444381966865,0.9538612197492237,0.9677100588284336,1.3613333333333333,0.20863333333333334,118.80029296875
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,6,0.2877904596242016,0.9575830759572886,0.2904982912223871,0.9587469896476845,0.6849303707919437,0.7048460442968976,0.45683333333333337,0.0987,111.76025390625
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,6,0.3227360478153552,0.9698877013846229,0.32950760646134486,0.970806586562003,0.7823790177475831,0.7929008774295548,1.3941666666666668,0.20473333333333332,112.51611328125
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,6,0.3112224519108261,0.9581972636785304,0.31465003123307883,0.9597333593366081,0.7459568488183401,0.774347825633429,0.3913333333333333,0.09615,112.51611328125
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,6,0.3576469535457234,0.9681893782248396,0.36134204381618895,0.9686592740064314,0.7777615491293255,0.807774790109701,1.4456666666666667,0.21159999999999998,112.51611328125
