method,dataset,seed,shot,category,frame,n_test,grid,map_size,pixel_ap,pixel_auroc,pixel_ap_stride8,pixel_auroc_stride8,image_image_auroc,image_image_ap,image_score,memory_bank_s,scoring_s,s_per_image,peak_gpu_mb,memory_bank_rows,reference_ids,rotation,masking
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,bracket_black,square448,79,32x32,448x448,0.03614521696325543,0.9311672807694055,0.04272505842307739,0.9340722968298129,0.46875,0.629075429131972,official mean of the top 1% patch distances,0.796,7.534,0.0954,111.76025390625,8192,bracket_black/train/good/271.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,bracket_brown,square448,77,32x32,448x448,0.04956354379948029,0.9319644102629309,0.04933252958643099,0.93263307926714,0.473604826546003,0.6685657910604056,official mean of the top 1% patch distances,0.383,7.425,0.0964,111.76025390625,8192,bracket_brown/train/good/039.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,bracket_white,square448,60,32x32,448x448,0.11818248204517526,0.9901566386237108,0.11832315437848048,0.9921079545868967,0.6888888888888889,0.5953426474643764,official mean of the top 1% patch distances,0.395,6.045,0.1008,111.76025390625,8192,bracket_white/train/good/023.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,connector,square448,44,32x32,448x448,0.09775369355891614,0.9471995037759381,0.09955018249368978,0.946896540771078,0.5571428571428572,0.3685643007956373,official mean of the top 1% patch distances,0.393,4.379,0.0995,111.76025390625,8192,connector/train/good/048.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,metal_plate,square448,97,32x32,448x448,0.8514560077267662,0.9716021598022458,0.8560285491728475,0.9726749778715857,1.0,1.0,official mean of the top 1% patch distances,0.388,9.599,0.099,111.76025390625,8192,metal_plate/train/good/029.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,tubes,square448,101,32x32,448x448,0.573641813651616,0.9734084625095013,0.5770302732797963,0.9740970885595942,0.9211956521739131,0.9675280973289936,official mean of the top 1% patch distances,0.386,10.211,0.1011,111.76025390625,8192,tubes/train/good/069.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,bracket_black,square448,79,32x32,448x448,0.10653585251491249,0.9664551507073995,0.12921618689986336,0.9694818534914389,0.6230053191489362,0.7359226696832376,official mean of the top 1% patch distances,1.389,16.361,0.2071,112.51611328125,32768,bracket_black/train/good/271.png;bracket_black/train/good/281.png;bracket_black/train/good/084.png;bracket_black/train/good/143.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,bracket_brown,square448,77,32x32,448x448,0.046908848778605274,0.9347170687521239,0.04712389989321478,0.9354776736172085,0.5535444947209653,0.7223290092978468,official mean of the top 1% patch distances,1.394,15.675,0.2036,112.51611328125,32768,bracket_brown/train/good/039.png;bracket_brown/train/good/160.png;bracket_brown/train/good/150.png;bracket_brown/train/good/051.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,bracket_white,square448,60,32x32,448x448,0.0839930600064329,0.9946874611537159,0.09248468055258975,0.9957714341804352,0.7355555555555555,0.6518251713554963,official mean of the top 1% patch distances,1.381,12.128,0.2021,112.51611328125,32768,bracket_white/train/good/023.png;bracket_white/train/good/103.png;bracket_white/train/good/003.png;bracket_white/train/good/073.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,connector,square448,44,32x32,448x448,0.20866883831442992,0.9695528549437723,0.2135157603417495,0.9695067814439456,0.8428571428571429,0.6708235516428793,official mean of the top 1% patch distances,1.431,8.965,0.2037,112.51611328125,32768,connector/train/good/048.png;connector/train/good/043.png;connector/train/good/108.png;connector/train/good/072.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,metal_plate,square448,97,32x32,448x448,0.8853764986723822,0.975874645679232,0.8861241309670683,0.9762050149442253,1.0,1.0,official mean of the top 1% patch distances,1.36,19.553,0.2016,112.51611328125,32768,metal_plate/train/good/029.png;metal_plate/train/good/012.png;metal_plate/train/good/040.png;metal_plate/train/good/043.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,tubes,square448,101,32x32,448x448,0.6049331886053687,0.9780390270714941,0.6085809801135834,0.9783967616947651,0.9393115942028986,0.9765048625978686,official mean of the top 1% patch distances,1.41,21.236,0.2103,112.51611328125,32768,tubes/train/good/069.png;tubes/train/good/105.png;tubes/train/good/023.png;tubes/train/good/044.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,bracket_black,square448,79,32x32,448x448,0.09713614541703358,0.9163961198728976,0.1169812663014097,0.9199659330896791,0.5272606382978724,0.6673708596968077,official mean of the top 1% patch distances,0.392,7.628,0.0966,112.51611328125,8192,bracket_black/train/good/240.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,bracket_brown,square448,77,32x32,448x448,0.059527352492618646,0.9357603024990088,0.059279191650934135,0.9367605953504815,0.4947209653092006,0.679488435586649,official mean of the top 1% patch distances,0.392,7.844,0.1019,112.51611328125,8192,bracket_brown/train/good/040.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,bracket_white,square448,60,32x32,448x448,0.05607881567253807,0.9825198371278052,0.04710456414907247,0.987219235530189,0.6288888888888889,0.5485095103852635,official mean of the top 1% patch distances,0.397,5.59,0.0932,112.51611328125,8192,bracket_white/train/good/099.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,connector,square448,44,32x32,448x448,0.23115958465208392,0.9734314522072076,0.23702134515943077,0.9726562076720152,0.8547619047619047,0.7632207364604533,official mean of the top 1% patch distances,0.38,4.082,0.0928,112.51611328125,8192,connector/train/good/014.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,metal_plate,square448,97,32x32,448x448,0.8781152514835476,0.9702660223426858,0.8784289763736857,0.9704599294003301,1.0,1.0,official mean of the top 1% patch distances,0.389,9.065,0.0935,112.51611328125,8192,metal_plate/train/good/002.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,tubes,square448,101,32x32,448x448,0.5453175617471346,0.9708098480215788,0.5490848437639402,0.9713382549769537,0.9701086956521738,0.9874974116714006,official mean of the top 1% patch distances,0.398,9.985,0.0989,112.51611328125,8192,tubes/train/good/121.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_black,square448,79,32x32,448x448,0.07008483119745325,0.93402161247827,0.0873528112726788,0.9357771022883954,0.39694148936170215,0.5811070747002431,official mean of the top 1% patch distances,1.369,16.525,0.2092,112.51611328125,32768,bracket_black/train/good/240.png;bracket_black/train/good/252.png;bracket_black/train/good/135.png;bracket_black/train/good/223.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_brown,square448,77,32x32,448x448,0.0633638781493098,0.9409053596902641,0.06209963495461449,0.9407906645420072,0.6251885369532428,0.7338086183649577,official mean of the top 1% patch distances,1.442,16.148,0.2097,112.51611328125,32768,bracket_brown/train/good/040.png;bracket_brown/train/good/158.png;bracket_brown/train/good/139.png;bracket_brown/train/good/144.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,bracket_white,square448,60,32x32,448x448,0.1538739006601278,0.9975032276565933,0.1478313776821147,0.9982105396802163,0.7811111111111111,0.7339429233711913,official mean of the top 1% patch distances,1.453,12.208,0.2035,112.51611328125,32768,bracket_white/train/good/099.png;bracket_white/train/good/084.png;bracket_white/train/good/068.png;bracket_white/train/good/010.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,connector,square448,44,32x32,448x448,0.361090291271138,0.9818494844052902,0.3682558946860413,0.9814778891007752,0.9095238095238096,0.8162589394732251,official mean of the top 1% patch distances,1.473,9.501,0.2159,112.51611328125,32768,connector/train/good/014.png;connector/train/good/046.png;connector/train/good/071.png;connector/train/good/036.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,metal_plate,square448,97,32x32,448x448,0.8861692002887518,0.9777940730350055,0.8870522657637168,0.9781186275592688,1.0,1.0,official mean of the top 1% patch distances,1.453,20.736,0.2138,112.51611328125,32768,metal_plate/train/good/002.png;metal_plate/train/good/038.png;metal_plate/train/good/011.png;metal_plate/train/good/025.png,True,False
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,tubes,square448,101,32x32,448x448,0.6112996197075596,0.9770625120836148,0.6154602785379679,0.9775808208679255,0.953804347826087,0.9815311847485885,official mean of the top 1% patch distances,1.484,21.971,0.2175,112.51611328125,32768,tubes/train/good/121.png;tubes/train/good/050.png;tubes/train/good/020.png;tubes/train/good/110.png,True,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,01,square448,70,32x32,448x448,0.4045381190285646,0.9398708087958484,0.3979435719299578,0.9345423149282005,0.9203109815354713,0.9706113442997624,official mean of the top 1% patch distances,0.505,8.451,0.1207,112.51611328125,8192,01/train/ok/0150.bmp,True,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,02,square448,230,32x32,448x448,0.6687405851395856,0.966841590290227,0.6681326390499573,0.9665179785343065,0.9395,0.9900517447860604,official mean of the top 1% patch distances,0.36,17.891,0.0778,112.51611328125,8192,02/train/ok/0151.png,True,False
AnomalyDINO_native_dinov2_vits14,btad,0,1,03,square448,441,32x42,448x448,0.7025126724104664,0.9962370279259742,0.7066770050290675,0.9964526143232885,0.9697560975609756,0.850376179361514,official mean of the top 1% patch distances,0.462,58.911,0.1336,118.80029296875,10752,03/train/ok/0439.bmp,True,False
AnomalyDINO_native_dinov2_vits14,btad,0,4,01,square448,70,32x32,448x448,0.3745141038503291,0.9294271532347128,0.3688029896121344,0.924370168456418,0.9203109815354713,0.9712809153478663,official mean of the top 1% patch distances,1.798,15.876,0.2268,112.51611328125,32768,01/train/ok/0150.bmp;01/train/ok/0381.bmp;01/train/ok/0006.bmp;01/train/ok/0004.bmp,True,False
AnomalyDINO_native_dinov2_vits14,btad,0,4,02,square448,230,32x32,448x448,0.6564290457398378,0.9641130209733416,0.6558465227341357,0.9638369139517926,0.9050000000000001,0.9845558225866058,official mean of the top 1% patch distances,1.219,44.161,0.192,112.51611328125,32768,02/train/ok/0151.png;02/train/ok/0381.png;02/train/ok/0006.png;02/train/ok/0004.png,True,False
