method,dataset,seed,shot,category,geometry,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source,source_table,note
PatchCore_harmonised448,mpdd,0,1,bracket_black,resize 448 / imagesize 448,392x392,0.765625,0.006254671422096857,0.9049595087615055,12139456,1.56,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,bracket_black,resize 256 / imagesize 224,392x392,0.765625,0.0033476125303712545,0.8434474064940353,12139456,1.21,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,bracket_black,resize 144 / imagesize 128,392x392,0.765625,0.0023397370272130336,0.7680796635167739,12139456,1.24,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
