grid,stride,dataset,kind,name,n_conditions,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero,published_ci9875_low,published_ci9875_high,published_excludes_zero,published_match_max_abs_diff
stride8,8,mpdd,interaction,I_TRI,12,0.007624361408291096,0.004255086542999861,0.011181574820248834,0.0034603521163336275,0.012114100900101545,True,True,0.003460352074943862,0.01211410088527157,True,4.1389765313010196e-11
stride8,8,mpdd,interaction,I_BAL,12,0.006153887635247976,0.003216078833911261,0.009270959128990659,0.0018853506537358383,0.010295737937458783,True,True,0.0018853506624125133,0.010295737927010573,True,1.0448210005509218e-11
stride8,8,mpdd,effect,E_TRI_J,12,-0.002487697258501731,-0.00967667294215172,0.004779507730570778,-0.01207935154992732,0.007294832955050851,False,False,,,,
stride8,8,mpdd,effect,E_TRI_L,12,0.005136664149789365,-0.0009174225323551814,0.011598683387179424,-0.0027455835008463017,0.01345728866073266,False,False,,,,
stride8,8,mpdd,effect,E_BAL_J,12,-0.005187999985864635,-0.011345429959963509,0.0012305267702172227,-0.013493023020173075,0.0032302782799398136,False,False,,,,
stride8,8,mpdd,effect,E_BAL_L,12,0.0009658876493833412,-0.0043374028369942514,0.007082223907343251,-0.0067427689222595445,0.007990410349951113,False,False,,,,
stride8,8,mpdd,effect,M_A1,12,0.006371741302652923,0.003372317166112013,0.009774107745687708,0.002669404435304102,0.01091077261975455,True,True,,,,
stride4,4,mpdd,interaction,I_TRI,12,0.007740548361062569,0.005026180492811754,0.010792463728391027,0.0041842665663501186,0.011657945302836967,True,True,,,,
stride4,4,mpdd,interaction,I_BAL,12,0.006172368984948466,0.003752904293604578,0.00873388539442578,0.0031558730902232954,0.009840390590358081,True,True,,,,
stride4,4,mpdd,effect,E_TRI_J,12,-0.004451568832001341,-0.010771197306942691,0.0017175938085120487,-0.013650623880831986,0.0029929410064609696,False,False,,,,
stride4,4,mpdd,effect,E_TRI_L,12,0.0032889795290612285,-0.0030201984522251735,0.009481640713796936,-0.004844666315938914,0.010250639948314816,False,False,,,,
stride4,4,mpdd,effect,E_BAL_J,12,-0.00749667006392242,-0.013213626647963531,-0.0018097728461893231,-0.01564006250031093,-0.0004029079547178705,True,True,,,,
stride4,4,mpdd,effect,E_BAL_L,12,-0.0013243010789739547,-0.00698873186033277,0.0042956426706502356,-0.008681814997675043,0.0055645035452822345,False,False,,,,
stride4,4,mpdd,effect,M_A1,12,0.006623735441362295,0.0037778524133675823,0.010041891861504344,0.0032241523943029554,0.011053647300951116,True,True,,,,
