dataset,name,stride_a,stride_b,mean_a,mean_b,ci9875_a_low,ci9875_a_high,ci9875_b_low,ci9875_b_high,same_sign,same_zero_decision
mpdd,I_TRI,8,4,0.007624361408291096,0.007740548361062569,0.0034603521163336275,0.012114100900101545,0.0041842665663501186,0.011657945302836967,True,True
mpdd,I_BAL,8,4,0.006153887635247976,0.006172368984948466,0.0018853506537358383,0.010295737937458783,0.0031558730902232954,0.009840390590358081,True,True
