method,dataset,seed,shot,category,revision,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source
controlled_A1_J,btad,0,1,01,corrected,392x392,0.765625,0.5920857519907419,0.9641842749727609,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\01\patch_scores.npz
controlled_A1_L,btad,0,1,01,corrected,392x392,0.765625,0.6027101006572567,0.9669428988479429,10756480,1.0,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\01\patch_scores.npz
anomalydino_canvas,btad,0,1,01,corrected,392x392,0.765625,0.3779393149133239,0.9296528848323169,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_01.npz
anomalydino_canvas_rotation,btad,0,1,01,corrected,392x392,0.765625,0.3927553964600652,0.9358149558994807,10756480,1.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_01.npz
PatchCore_native_local128,btad,0,1,01,corrected,392x392,0.765625,0.12362559167484184,0.7937467382040119,10756480,1.1,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_01.npz
PatchCore_native_official224,btad,0,1,01,corrected,392x392,0.765625,0.39392715276832413,0.9357594118485035,10756480,1.1,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_01.npz
controlled_A1_J,btad,0,1,02,corrected,392x392,0.765625,0.6213032558265671,0.9641186579905846,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\02\patch_scores.npz
controlled_A1_L,btad,0,1,02,corrected,392x392,0.765625,0.6277788397644478,0.9644812729231599,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\02\patch_scores.npz
anomalydino_canvas,btad,0,1,02,corrected,392x392,0.765625,0.6536784515422925,0.964377504839921,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_02.npz
anomalydino_canvas_rotation,btad,0,1,02,corrected,392x392,0.765625,0.6897374960268629,0.9670476630598858,35342720,4.1,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_02.npz
