method,dataset,seed,shot,n_categories,macro_pixel_ap,macro_pixel_auroc,region_fraction_of_canvas
PatchCore_native_local128,btad,0,1,3,0.21089839706631364,0.8795415112890773,0.7049425708699902
PatchCore_native_local128,btad,0,4,3,0.32312824150571884,0.9356329579852326,0.7049425708699902
PatchCore_native_local128,btad,1,1,3,0.265920326711534,0.8936813767099565,0.7049425708699902
PatchCore_native_local128,btad,1,4,3,0.3545892882542576,0.9401122167264878,0.7049425708699902
PatchCore_native_local128,mpdd,0,1,6,0.15373357745059035,0.8787959272597993,0.765625
PatchCore_native_local128,mpdd,0,4,6,0.17805561482911336,0.8753760022506057,0.765625
PatchCore_native_local128,mpdd,1,1,6,0.14478285675669364,0.8875900503092072,0.765625
PatchCore_native_local128,mpdd,1,4,6,0.183209057195605,0.8977690902041188,0.765625
PatchCore_native_official224,btad,0,1,3,0.3359390562144764,0.9480426692930707,0.7049425708699902
PatchCore_native_official224,btad,0,4,3,0.40789391859506097,0.9587262690274957,0.7049425708699902
PatchCore_native_official224,btad,1,1,3,0.33462576441831954,0.9394687307021251,0.7049425708699902
PatchCore_native_official224,btad,1,4,3,0.4255352199748668,0.9600581889274293,0.7049425708699902
PatchCore_native_official224,mpdd,0,1,6,0.17638839793099356,0.9264668192408276,0.765625
PatchCore_native_official224,mpdd,0,4,6,0.2597693046753136,0.9569539516991514,0.765625
PatchCore_native_official224,mpdd,1,1,6,0.17371566524876006,0.9382808871566087,0.765625
PatchCore_native_official224,mpdd,1,4,6,0.3002901140606922,0.9581501965652448,0.765625
PatchCore_native_official224,mvtec,0,1,15,0.47336794509133295,0.9193803838320757,0.765625
PatchCore_native_official224,mvtec,0,4,15,0.5294982206923253,0.9441080547171287,0.765625
PatchCore_native_official224,mvtec,1,1,15,0.47044375798258714,0.9158838150342106,0.765625
PatchCore_native_official224,mvtec,1,4,15,0.5088171490735106,0.9432963947054699,0.765625
PatchCore_native_official224,visa,0,1,12,0.27164765132072854,0.9290685306334702,0.5907414218025969
PatchCore_native_official224,visa,0,4,12,0.3366536576359809,0.9625943589224422,0.5907414218025969
PatchCore_native_official224,visa,1,1,12,0.2761515441224464,0.9389300489820158,0.5907414218025969
PatchCore_native_official224,visa,1,4,12,0.3600837033914294,0.962702574076998,0.5907414218025969
anomalydino_canvas,btad,0,1,3,0.5576405756869365,0.9617089694029612,0.7049425708699902
anomalydino_canvas,btad,0,4,3,0.5548723911022747,0.9568964280170517,0.7049425708699902
anomalydino_canvas,btad,1,1,3,0.5535769614707493,0.9627583951439901,0.7049425708699902
anomalydino_canvas,btad,1,4,3,0.5793546929242078,0.9661417536975941,0.7049425708699902
anomalydino_canvas,mpdd,0,1,6,0.28463390434321917,0.9459925553337749,0.765625
anomalydino_canvas,mpdd,0,4,6,0.3289010247771668,0.9599602811509834,0.765625
anomalydino_canvas,mpdd,1,1,6,0.29917462177751114,0.9469410526356284,0.765625
anomalydino_canvas,mpdd,1,4,6,0.3393949894789654,0.9592484718609288,0.765625
anomalydino_canvas,mvtec,0,1,15,0.5611157241817953,0.9506182088370181,0.765625
anomalydino_canvas,mvtec,0,4,15,0.578711867698627,0.9594126294819298,0.765625
anomalydino_canvas,mvtec,1,1,15,0.5398916200072323,0.9525716727768444,0.765625
anomalydino_canvas,mvtec,1,4,15,0.5773313480745413,0.9644749425322147,0.765625
anomalydino_canvas,visa,0,1,12,0.3032191916983137,0.9530164539421707,0.5907414218025969
anomalydino_canvas_rotation,btad,0,1,3,0.588080050012414,0.9655044177125084,0.7049425708699902
anomalydino_canvas_rotation,btad,0,4,3,0.5829123870431917,0.9605608085871058,0.7049425708699902
anomalydino_canvas_rotation,btad,1,1,3,0.5732606966290998,0.9659869711574872,0.7049425708699902
anomalydino_canvas_rotation,btad,1,4,3,0.5917765065368944,0.9676127327585724,0.7049425708699902
anomalydino_canvas_rotation,mpdd,0,1,6,0.2929164267215206,0.9470888807437677,0.765625
anomalydino_canvas_rotation,mpdd,0,4,6,0.32616463960144315,0.9605858390337615,0.765625
anomalydino_canvas_rotation,mpdd,1,1,6,0.3100896338274474,0.9484340209405054,0.765625
anomalydino_canvas_rotation,mpdd,1,4,6,0.35648156613597354,0.959765774496499,0.765625
anomalydino_canvas_rotation,mvtec,0,1,15,0.5581686085348394,0.9496657199563181,0.765625
anomalydino_canvas_rotation,mvtec,0,4,15,0.5759789437722946,0.9595124061584911,0.765625
anomalydino_canvas_rotation,mvtec,1,1,15,0.5489456261846631,0.953389287188723,0.765625
anomalydino_canvas_rotation,mvtec,1,4,15,0.5717516220776397,0.9615983633095284,0.765625
anomalydino_canvas_rotation,visa,0,1,12,0.3255714933550185,0.9549073796491524,0.5907414218025969
anomalydino_canvas_rotation,visa,1,1,12,0.31487208159393687,0.9537267610559191,0.5907414218025969
controlled_A1_J,btad,0,1,3,0.6173676138600402,0.97215443938113,0.7049425708699902
controlled_A1_J,btad,0,4,3,0.6501205567846227,0.9747398980933938,0.7049425708699902
controlled_A1_J,btad,1,1,3,0.6346178380077676,0.9722468931073766,0.7049425708699902
controlled_A1_J,btad,1,4,3,0.6497326731166263,0.9753612141185423,0.7049425708699902
controlled_A1_J,mpdd,0,1,6,0.3123057267586114,0.9497404703306165,0.765625
controlled_A1_J,mpdd,0,4,6,0.3909217353141006,0.9618862859476378,0.765625
controlled_A1_J,mpdd,1,1,6,0.3367165551035287,0.9552005463854091,0.765625
controlled_A1_J,mpdd,1,4,6,0.4046517911717052,0.9645950895221126,0.765625
controlled_A1_J,mvtec,0,1,15,0.5582187462967028,0.9553490927660349,0.765625
controlled_A1_J,mvtec,0,4,15,0.5776366356111872,0.96376429162826,0.765625
controlled_A1_J,mvtec,1,1,15,0.5262128631601091,0.9525515891720437,0.765625
controlled_A1_J,mvtec,1,4,15,0.5499465166379419,0.9636420162341778,0.765625
controlled_A1_J,visa,0,1,12,0.3438802819793771,0.9543635578701292,0.5907414218025969
controlled_A1_J,visa,0,4,12,0.3909102461685459,0.9686407939864794,0.5907414218025969
controlled_A1_J,visa,1,1,12,0.35476303143502114,0.9589664349570762,0.5907414218025969
controlled_A1_J,visa,1,4,12,0.39549101363383454,0.969515673722423,0.5907414218025969
controlled_A1_L,btad,0,1,3,0.6278035600840499,0.9737629078126006,0.7049425708699902
controlled_A1_L,btad,0,4,3,0.6625974830115159,0.9756374215563498,0.7049425708699902
controlled_A1_L,btad,1,1,3,0.64265033134998,0.9735932426703564,0.7049425708699902
controlled_A1_L,btad,1,4,3,0.6564140905632876,0.9761484023785728,0.7049425708699902
controlled_A1_L,mpdd,0,1,6,0.31673668213329864,0.9526660583325776,0.765625
controlled_A1_L,mpdd,0,4,6,0.4015839988936609,0.9657900723158622,0.765625
controlled_A1_L,mpdd,1,1,6,0.34495717186417313,0.9578886871472019,0.765625
controlled_A1_L,mpdd,1,4,6,0.41605454870479136,0.9683617032385009,0.765625
controlled_A1_L,mvtec,0,1,15,0.561234392646611,0.9569803282325526,0.765625
controlled_A1_L,mvtec,0,4,15,0.5781443161513283,0.9651178638409929,0.765625
controlled_A1_L,mvtec,1,1,15,0.5340275820324245,0.954551150128047,0.765625
controlled_A1_L,mvtec,1,4,15,0.5547464521030548,0.9656920630820944,0.765625
controlled_A1_L,visa,0,1,12,0.34927251192708725,0.9579466532393375,0.5907414218025969
controlled_A1_L,visa,0,4,12,0.39337761138372523,0.9722695674899132,0.5907414218025969
controlled_A1_L,visa,1,1,12,0.3597904689067773,0.9628205117065995,0.5907414218025969
controlled_A1_L,visa,1,4,12,0.4025983926397743,0.973255669776402,0.5907414218025969
