method,dataset,seed,shot,n_categories,macro_pixel_ap,macro_pixel_auroc,interval_pixel_ap_lo,interval_pixel_ap_hi
PatchCore_harmonised448,btad,0,1,3,0.372538629590534,0.9587102746092064,0.3314551838406603,0.42897257714260995
PatchCore_harmonised448,mpdd,0,1,6,0.21096606878233548,0.9465751920234817,0.1977894308189996,0.2271922974303406
PatchCore_harmonised448,mvtec,0,1,15,0.5050103778616779,0.922834266348623,0.48602178149608427,0.5245955927716455
PatchCore_harmonised448,visa,0,1,12,0.3227581103913803,0.9525320419837374,0.2959542236834185,0.3468050601669489
anomalydino_canvas,btad,0,1,3,0.5576405756869365,0.9617089694029612,0.49916555368380133,0.6057692818265782
anomalydino_canvas,mpdd,0,1,6,0.28463390434321917,0.9459925553337749,0.2675956671267432,0.3114785206730723
anomalydino_canvas,mvtec,0,1,15,0.5611157241817953,0.9506182088370181,0.5399639926848087,0.5827494598291233
anomalydino_canvas,visa,0,1,12,0.30321910915171724,0.9530164589233455,0.27544807531560206,0.32784209220964017
anomalydino_canvas_rotation,btad,0,1,3,0.588080050012414,0.9655044177125084,0.5353936046560717,0.6315376669235431
anomalydino_canvas_rotation,mpdd,0,1,6,0.2929164267215206,0.9470888807437677,0.27627742833093855,0.3195354558076317
anomalydino_canvas_rotation,mvtec,0,1,15,0.5581686085348394,0.9496657199563181,0.5393746664208483,0.581084752141905
anomalydino_canvas_rotation,visa,0,1,12,0.3255715226069216,0.9549073879454032,0.29781812492097054,0.35022303847731506
controlled_A1_J,btad,0,1,3,0.6173676138600402,0.97215443938113,0.5594157779501024,0.6641634612287853
controlled_A1_J,mpdd,0,1,6,0.3123057267586114,0.9497404703306165,0.29346695115300986,0.33661220935623903
controlled_A1_J,mvtec,0,1,15,0.5582187462967028,0.9553490927660349,0.5412668720987879,0.5782945766477247
controlled_A1_J,visa,0,1,12,0.3438802819793771,0.9543635578701292,0.31662555660863656,0.36709397337963945
controlled_A1_L,btad,0,1,3,0.6278035600840499,0.9737629078126006,0.5701374119973555,0.6735179609000145
controlled_A1_L,mpdd,0,1,6,0.31673668213329864,0.9526660583325776,0.2980052900685473,0.3408554315797044
controlled_A1_L,mvtec,0,1,15,0.561234392646611,0.9569803282325526,0.5445909365637631,0.5816912995043633
controlled_A1_L,visa,0,1,12,0.34927251192708725,0.9579466532393375,0.3214685585956513,0.37210048056229394
