method,dataset,seed,shot,category,n_images,grid,image_size,checkpoint,zero_shot,seeds_per_unit,shots_per_unit,seconds,s_per_image,peak_gpu_mb,map_key
anomalyclip_zeroshot_518,mpdd,0,1,bracket_black,79,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,55.67,0.7046,2626.6,patch_maps
anomalyclip_zeroshot_518,mpdd,0,1,bracket_brown,77,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,55.23,0.7173,2626.6,patch_maps
anomalyclip_zeroshot_518,mpdd,0,1,bracket_white,60,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,43.69,0.7282,2626.6,patch_maps
anomalyclip_zeroshot_518,mpdd,0,1,connector,44,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,32.04,0.7282,2626.6,patch_maps
anomalyclip_zeroshot_518,mpdd,0,1,metal_plate,97,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,69.51,0.7166,2626.6,patch_maps
anomalyclip_zeroshot_518,mpdd,0,1,tubes,101,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,71.95,0.7124,2626.6,patch_maps
anomalyclip_zeroshot_518,btad,0,1,01,70,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,49.08,0.7011,2626.6,patch_maps
anomalyclip_zeroshot_518,btad,0,1,02,230,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,157.39,0.6843,2626.6,patch_maps
anomalyclip_zeroshot_518,btad,0,1,03,441,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,301.92,0.6846,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,cable,150,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,108.98,0.7265,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,capsule,132,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,94.78,0.718,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,carpet,117,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,84.55,0.7226,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,grid,78,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,54.54,0.6993,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,hazelnut,110,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,79.16,0.7196,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,leather,124,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,88.94,0.7173,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,metal_nut,115,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,80.0,0.6956,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,pill,167,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,117.53,0.7038,2626.6,patch_maps
