method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,any_tie,both_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,20,bracket_brown/test/good/003.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,bracket_brown/test/good/004.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,bracket_brown/test/good/005.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,bracket_brown/test/good/006.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,bracket_brown/test/good/007.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,bracket_brown/test/good/008.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,bracket_brown/test/good/009.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,27,bracket_brown/test/good/010.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,28,bracket_brown/test/good/011.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,29,bracket_brown/test/good/012.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,30,bracket_brown/test/good/013.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,31,bracket_brown/test/good/014.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,32,bracket_brown/test/good/015.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,33,bracket_brown/test/good/016.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,34,bracket_brown/test/good/017.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,35,bracket_brown/test/good/018.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,36,bracket_brown/test/good/019.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,37,bracket_brown/test/good/020.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,38,bracket_brown/test/good/021.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,39,bracket_brown/test/good/022.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,40,bracket_brown/test/good/023.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,41,bracket_brown/test/good/024.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,42,bracket_brown/test/good/025.png,0,0,0,0,0,0,0,0,0,0,0,,,,
A1,image,43,bracket_brown/test/parts_mismatch/000.png,256,255,253,2,0,253,1,0,0,0,0,0.99609375,0.98828125,0.0078125,0.0
A1,image,44,bracket_brown/test/parts_mismatch/001.png,384,352,351,7,6,345,26,0,0,0,0,0.9166666666666666,0.9140625,0.018229166666666668,0.015625
A1,image,45,bracket_brown/test/parts_mismatch/002.png,128,128,126,2,0,126,0,0,0,0,0,1.0,0.984375,0.015625,0.0
A1,image,46,bracket_brown/test/parts_mismatch/003.png,256,250,250,0,0,250,6,0,0,0,0,0.9765625,0.9765625,0.0,0.0
A1,image,47,bracket_brown/test/parts_mismatch/004.png,320,287,300,5,18,282,15,0,0,0,0,0.896875,0.9375,0.015625,0.05625
A1,image,48,bracket_brown/test/parts_mismatch/005.png,256,215,211,5,1,210,40,0,0,0,0,0.83984375,0.82421875,0.01953125,0.00390625
A1,image,49,bracket_brown/test/parts_mismatch/006.png,256,230,229,7,6,223,20,0,0,0,0,0.8984375,0.89453125,0.02734375,0.0234375
A1,image,50,bracket_brown/test/parts_mismatch/007.png,384,335,337,14,16,321,33,0,0,0,0,0.8723958333333334,0.8776041666666666,0.036458333333333336,0.041666666666666664
A1,image,51,bracket_brown/test/parts_mismatch/008.png,256,245,241,6,2,239,9,0,0,0,0,0.95703125,0.94140625,0.0234375,0.0078125
A1,image,52,bracket_brown/test/parts_mismatch/009.png,512,445,441,13,9,432,58,0,0,0,0,0.869140625,0.861328125,0.025390625,0.017578125
A1,image,53,bracket_brown/test/parts_mismatch/010.png,640,584,548,48,12,536,44,0,0,0,0,0.9125,0.85625,0.075,0.01875
A1,image,54,bracket_brown/test/parts_mismatch/011.png,320,318,319,0,1,318,1,0,0,0,0,0.99375,0.996875,0.0,0.003125
A1,image,55,bracket_brown/test/parts_mismatch/012.png,576,474,507,2,35,472,67,0,0,0,0,0.8229166666666666,0.8802083333333334,0.003472222222222222,0.06076388888888889
A1,image,56,bracket_brown/test/parts_mismatch/013.png,576,540,546,5,11,535,25,0,0,0,0,0.9375,0.9479166666666666,0.008680555555555556,0.019097222222222224
A1,image,57,bracket_brown/test/parts_mismatch/014.png,512,510,505,5,0,505,2,0,0,0,0,0.99609375,0.986328125,0.009765625,0.0
A1,image,58,bracket_brown/test/parts_mismatch/015.png,640,611,609,9,7,602,22,0,0,0,0,0.9546875,0.9515625,0.0140625,0.0109375
A1,image,59,bracket_brown/test/parts_mismatch/016.png,768,736,737,3,4,733,28,0,0,0,0,0.9583333333333334,0.9596354166666666,0.00390625,0.005208333333333333
A1,image,60,bracket_brown/test/parts_mismatch/017.png,576,544,543,5,4,539,28,0,0,0,0,0.9444444444444444,0.9427083333333334,0.008680555555555556,0.006944444444444444
A1,image,61,bracket_brown/test/parts_mismatch/018.png,832,771,775,10,14,761,47,0,0,0,0,0.9266826923076923,0.9314903846153846,0.01201923076923077,0.016826923076923076
A1,image,62,bracket_brown/test/parts_mismatch/019.png,704,658,652,13,7,645,39,0,0,0,0,0.9346590909090909,0.9261363636363636,0.018465909090909092,0.009943181818181818
A1,image,63,bracket_brown/test/parts_mismatch/020.png,768,744,718,26,0,718,24,0,0,0,0,0.96875,0.9348958333333334,0.033854166666666664,0.0
A1,image,64,bracket_brown/test/parts_mismatch/021.png,704,685,688,1,4,684,15,0,0,0,0,0.9730113636363636,0.9772727272727273,0.0014204545454545455,0.005681818181818182
