dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.037661179269835254,0.03815343605034575,0.027093798315545897,0.052215400856028785,1000,0.005
mpdd,study,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.024790706097232287,0.025623615987882254,0.013829052702165152,0.03872779193212668,1000,0.005
mpdd,study,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.02566210062360437,0.02611086224347037,0.015863748661181114,0.038895785485459855,1000,0.005
mpdd,study,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.017703971906431443,0.018663745340407642,0.007503721306557829,0.03166231661588583,1000,0.005
btad,corrected,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.03888160913553673,0.038494056215424365,0.026402725230904405,0.04960650122346224,1000,0.005
btad,corrected,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.034103259771164324,0.0336130987597038,0.022426378721945674,0.04465206741836091,1000,0.005
btad,corrected,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.019152306537898234,0.018566881163337746,0.005115093541442443,0.03035199868942408,1000,0.005
btad,corrected,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.01467046115377943,0.013915864233103037,-0.0008370121842014406,0.02619408583690238,1000,0.005
btad,study,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,4,s0k1;s0k4;s1k1;s1k4,0.038673986261501675,0.03832263002152436,0.026324870584996156,0.04953821623949344,1000,0.005
btad,study,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,4,s0k1;s0k4;s1k1;s1k4,0.033956620140158295,0.03349552258403895,0.02228826493160051,0.044491509890602986,1000,0.005
btad,study,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,4,s0k1;s0k4;s1k1;s1k4,0.01866283951460951,0.018137738573803228,0.004618581107530414,0.03004796928280322,1000,0.005
btad,study,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,4,s0k1;s0k4;s1k1;s1k4,0.014412892353080936,0.013722800609388578,-0.00039241228022910205,0.025804150712230422,1000,0.005
