seed,shot,name,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero,nested
0,1,I_TRI,0.0010518933641947197,-0.0015983734308273056,0.004047269570222938,-0.002246016953588606,0.00546911796714793,False,False,True
0,1,I_BAL,2.819925670348966e-05,-0.002686066528401839,0.0029551765749351836,-0.0035673808219104856,0.004078496572195711,False,False,True
0,2,I_TRI,-0.000480595954373381,-0.002867399608988285,0.0024126655743824995,-0.003466865322330696,0.003164291322076155,False,False,True
0,2,I_BAL,-0.001428252029755618,-0.0036722557155806908,0.0010712316769673315,-0.004318811718220746,0.002063994064743557,False,False,True
0,4,I_TRI,-0.0026942505632863616,-0.004987739979228589,-0.00023671357708517183,-0.005516622418422862,0.0003239693852996912,True,False,True
0,4,I_BAL,-0.0028209287080215653,-0.004973353267206575,-0.0005030747804904066,-0.005562372515847974,-3.369486763333339e-05,True,True,True
0,8,I_TRI,-0.0023925401081047715,-0.004567902204893231,-0.0002576378440784932,-0.005098887042102637,0.00038057080267944407,True,False,True
0,8,I_BAL,-0.0029066095418424976,-0.00490716674011645,-0.0008008213445754817,-0.0055826965977835855,-0.00011201507916134904,True,True,True
1,1,I_TRI,0.0029304568250304347,0.0010785781822548468,0.00524144881918992,0.0008263640414815225,0.005805981181478507,True,True,True
1,1,I_BAL,0.0017288255625969291,-6.519781227902717e-05,0.004005926586425471,-0.0003884003205576152,0.004680241985288515,False,False,True
1,2,I_TRI,0.0023163939669384377,0.0001937682506784168,0.005041599292776462,-0.00037581380449625164,0.005643959320697298,True,False,True
1,2,I_BAL,0.0013406178302916405,-0.000807855084699438,0.003939358910267757,-0.0013911139385949993,0.004631935417879983,False,False,True
1,4,I_TRI,-0.000140253420098846,-0.0022914725395879712,0.0025270195758280516,-0.0027749165239347832,0.00335811786855465,False,False,True
1,4,I_BAL,-0.0010198648414282737,-0.0032357648796268344,0.001762838052410911,-0.0036278449236515917,0.0026156238532148495,False,False,True
1,8,I_TRI,-0.002250991765267375,-0.0041988027920584646,-0.00017419876828804207,-0.004773314888306419,0.0005123180797756226,True,False,True
1,8,I_BAL,-0.002078413930577555,-0.004007072826055558,4.474123313619994e-05,-0.004621205463715466,0.0008640258769116747,False,False,True
